cell_type,rigidity_score,avg_mean_expr,hk_ratio_human,hk_ratio_mouse,lineage,is_progenitor,n_active_tfs_human,n_active_tfs_mouse,entropy_human,entropy_mouse,mean_interdonor_var,human_count,mouse_count,min_count,mean_phastCons,n_genes_detected,cell_cycle_fraction,within_type_heterogeneity,tissue_breadth,n_marker_genes,mean_marker_seq_divergence,n_markers_with_dnds,germ_layer,is_endoderm,is_ectoderm,mean_hk_ratio,mean_n_active_tfs,mean_entropy,log_min_count
stromal cell,16.984601860305755,0.1496478858808313,2.266176312937586,2.4321607289516773,Stromal,False,224.0,176.0,7.718978061960572,7.585205297283108,327.6317138671875,3458,3123,3123,0.1868362322097065,8483.0,0.2995,318.88751220703125,7.0,1301.0,13.416476500000002,100.0,mesoderm,0,0,2.3491685209446316,200.0,7.65209167962184,3.4945719842301988
epithelial cell,16.26737024211543,0.1642307449048562,1.9269342520982544,2.660821020431481,Epithelial,False,244.0,176.0,7.732460118044573,7.536972084529206,447.34173583984375,1675,764,764,0.1300193670456734,7545.0,0.21791044776119403,267.9419250488281,5.0,1423.0,18.3758165,100.0,endoderm,1,0,2.2938776362648676,210.0,7.634716101286889,2.8830933585756897
hematopoietic precursor cell,15.353906527873232,0.1751098111416146,2.195550702093229,3.042260998034775,Immune,True,239.0,146.0,7.688217043846573,7.572027525405981,164.4614028930664,2140,2144,2140,0.2155835108839656,8901.0,0.873,384.5357971191406,9.0,1903.0,15.466275500000002,100.0,mesoderm,0,0,2.618905850064002,192.5,7.630122284626277,3.330413773349191
hematopoietic stem cell,14.948369450470636,0.1952806091204347,2.384675211123592,3.0251140407278445,Immune,True,212.0,179.0,7.647902488693602,7.636607185541704,240.2833709716797,858,3342,858,0.1895068915418376,8906.0,0.5442890442890443,242.00180053710938,3.0,1995.0,12.5819815,100.0,mesoderm,0,0,2.7048946259257183,195.5,7.642254837117653,2.9334872878487053
pancreatic acinar cell,12.837687041017809,0.0849180534631717,2.138136268228694,2.1479254122691875,Epithelial,False,199.0,43.0,7.651848150092932,7.381203852964857,117.9596462249756,5482,2717,2717,0.1316194821848051,9207.0,0.027,224.8754425048828,1.0,863.0,16.328087500000002,100.0,endoderm,1,0,2.143030840248941,121.0,7.516526001528895,3.4340896384178907
basal cell,12.766119903451395,0.1872381734067625,2.099934539356551,2.7537564466812765,Epithelial,True,254.0,182.0,7.747961086204851,7.552362335275954,238.472900390625,33526,3726,3726,0.1688229298969253,9417.0,0.3565,259.4503479003906,4.0,1982.0,14.7978575,100.0,ectoderm,0,1,2.426845493018914,218.0,7.650161710740402,3.571242850560224
T cell,11.669230240557653,0.138750815966298,2.18737457468038,2.915519139754135,Immune,False,231.0,148.0,7.698506433910961,7.582284092030664,211.46227264404297,6290,12745,6290,0.1744200653359953,5161.0,0.651,339.5567626953125,19.0,588.0,14.513161999999998,100.0,mesoderm,0,0,2.5514468572172575,189.5,7.640395262970812,3.798650645445269
neutrophil,11.597874253364406,0.1183286809911869,1.6603182357859292,2.1403022710078217,Immune,False,246.0,164.0,7.670876303781542,7.5236482449379665,217.28057861328125,69539,705,705,0.1205635994042555,3481.0,0.1555,279.9483337402344,22.0,1099.0,14.7957265,100.0,mesoderm,0,0,1.9003102533968754,205.0,7.597262274359754,2.848189116991399
fibroblast of cardiac tissue,11.5219467495538,0.1755828210002251,1.8041219776533393,2.491404459561282,Stromal,False,238.0,180.0,7.653126958123278,7.661539339646841,207.7020568847656,1947,6335,1947,0.2066647604055433,7937.0,0.055983564458140726,200.8826904296875,1.0,1759.0,13.320673,100.0,mesoderm,0,0,2.147763218607311,209.0,7.657333148885059,3.2893659515200318
myeloid leukocyte,11.50924569568494,0.1616331782417401,1.8857159866803432,2.737066628098337,Immune,False,262.0,181.0,7.7475849367214895,7.597970914635742,306.6057434082031,1002,516,516,0.1472166018636298,6420.0,0.18862275449101795,377.12603759765625,3.0,949.0,15.712689500000002,100.0,mesoderm,0,0,2.31139130738934,221.5,7.672777925678616,2.7126497016272113
mesenchymal stem cell of adipose tissue,11.432484131377624,0.177135778038115,2.030604246480289,2.3859112576380728,Stromal,True,237.0,191.0,7.73200340995943,7.593310457016756,220.9662170410156,3777,6626,3777,0.1476755839880169,8889.0,0.078,291.0201416015625,1.0,1375.0,14.75159,100.0,mesoderm,0,0,2.208257752059181,214.0,7.662656933488092,3.5771469848275252
plasma cell,11.0837158067887,0.1537049598203831,2.565493466733583,3.115603867013704,Immune,False,221.0,146.0,7.687129996661,7.544990369592362,192.61016082763672,27349,1646,1646,0.1837671870327416,8140.0,0.391,279.63983154296875,25.0,1166.0,13.260760500000002,100.0,mesoderm,0,0,2.8405486668736435,183.5,7.616060183126681,3.216429830876251
mesenchymal stem cell,10.340754745994705,0.1677839450038603,1.988457173198472,2.4208174471371713,Stromal,True,249.0,177.0,7.737520779870993,7.567236075964813,209.25249481201172,23499,16142,16142,0.1970316714601906,8218.0,0.0565,181.95033264160156,2.0,1581.0,13.487899,100.0,mesoderm,0,0,2.2046373101678216,213.0,7.652378427917903,4.207957342972937
