feature,column,spearman_rho,p_value,n,abs_rho
Is progenitor,is_progenitor,0.4284796042308549,0.010226919440366146,35,0.4284796042308549
Cell cycle fraction,cell_cycle_fraction,0.3002801120448179,0.07965936496906849,35,0.3002801120448179
TF entropy,mean_entropy,-0.26750700280112044,0.120283597610087,35,0.26750700280112044
Marker seq divergence,mean_marker_seq_divergence,-0.2411764705882353,0.16280406091548505,35,0.2411764705882353
Mean active TFs,mean_n_active_tfs,-0.18954890068784086,0.27545564238175835,35,0.18954890068784086
Within-type heterogeneity,within_type_heterogeneity,0.15070028011204484,0.3875184948819068,35,0.15070028011204484
Mean HK ratio,mean_hk_ratio,0.13725490196078433,0.4317194394371776,35,0.13725490196078433
Tissue breadth,tissue_breadth,-0.12728090116069235,0.4662290185334355,35,0.12728090116069235
Inter-donor variance,mean_interdonor_var,-0.12661064425770308,0.4685992146369083,35,0.12661064425770308
Transcriptomic complexity,n_genes_detected,0.10532212885154063,0.5470785497307052,35,0.10532212885154063
Is endoderm,is_endoderm,-0.07779730694816728,0.656887745136732,35,0.07779730694816728
Mean expression level,avg_mean_expr,-0.059383753501400564,0.7347157128994547,35,0.059383753501400564
Chromatin conservation,mean_phastCons,0.05826330532212886,0.7395459178859107,35,0.05826330532212886
Log min cell count,log_min_count,-0.03333333333333334,0.8492359169416057,35,0.03333333333333334
N marker genes,n_marker_genes,-0.014005602240896357,0.9363542779496525,35,0.014005602240896357
