cell_type,original_rank,median_rank,mean_rank,ci_lower,ci_upper,ci_width,sd_rank,frac_top10_rigid,frac_bottom10_flexible,mean_residual_mag,sd_residual_mag,category
stromal cell,1,1.0,1.007,1.0,1.0,0.0,0.08337265738837882,1.0,0.0,16.98746425819563,0.21229139950022488,STABLE_FLEXIBLE
epithelial cell,2,2.0,1.993,2.0,2.0,0.0,0.08337265738837882,1.0,0.0,16.274234537766272,0.1884402447626799,STABLE_FLEXIBLE
hematopoietic precursor cell,3,3.0,3.021,3.0,3.0,0.0,0.14338409953687334,1.0,0.0,15.35646738611656,0.1739626002309515,STABLE_FLEXIBLE
hematopoietic stem cell,4,4.0,3.979,4.0,4.0,0.0,0.14338409953687334,1.0,0.0,14.909119740634821,0.1728333479176584,STABLE_FLEXIBLE
pancreatic acinar cell,5,5.0,5.44,5.0,6.0,1.0,0.49638694583963433,1.0,0.0,12.843657859725347,0.14892161737988874,STABLE_FLEXIBLE
basal cell,6,6.0,5.568,5.0,6.0,1.0,0.5132017147282343,1.0,0.0,12.77492094249015,0.29010049437052554,STABLE_FLEXIBLE
T cell,7,8.0,8.195,7.0,11.0,4.0,1.1937231672376978,0.951,0.0,11.683579751261838,0.1504671617371653,STABLE_FLEXIBLE
neutrophil,8,9.0,8.914,7.0,11.0,4.0,1.2932919237357048,0.872,0.0,11.590030390771899,0.16228898828563254,STABLE_FLEXIBLE
myeloid leukocyte,10,9.0,9.174,7.0,12.0,5.0,1.7388858501925881,0.699,0.0,11.551644942599276,0.3083046263243757,STABLE_FLEXIBLE
fibroblast of cardiac tissue,9,9.0,9.185,7.0,12.0,5.0,1.379411106233381,0.808,0.0,11.546043759260796,0.20225754873080665,STABLE_FLEXIBLE
mesenchymal stem cell of adipose tissue,11,10.0,9.93,7.0,12.0,5.0,1.4082258341615521,0.582,0.0,11.441310455735659,0.2214563103124183,STABLE_FLEXIBLE
plasma cell,12,12.0,11.597,9.0,12.0,3.0,0.8500535277263427,0.088,0.0,11.102726485446837,0.23066144168241698,STABLE_FLEXIBLE
mesenchymal stem cell,13,13.0,13.369,13.0,15.0,2.0,0.6378393214595663,0.0,0.0,10.349333814375715,0.17096837148122732,STABLE_MIDDLE
"CD4-positive, alpha-beta T cell",14,14.0,13.905,13.0,16.0,3.0,0.7042549254353853,0.0,0.0,10.222779034054877,0.1393592160811712,STABLE_MIDDLE
macrophage,16,16.0,16.111,14.0,19.0,5.0,1.2808899250130745,0.0,0.0,9.894101897690188,0.17874544401082768,STABLE_MIDDLE
B cell,17,16.0,16.441,15.0,18.0,3.0,0.975970798743487,0.0,0.0,9.855536477491194,0.10680355332327142,STABLE_MIDDLE
classical monocyte,15,16.0,15.637,14.0,18.0,4.0,1.069219809019642,0.0,0.0,9.952144139269324,0.14792286641569216,STABLE_MIDDLE
luminal epithelial cell of mammary gland,18,18.0,17.809,16.0,19.0,3.0,0.8176301119699543,0.0,0.0,9.68062387202354,0.11384695331452545,STABLE_MIDDLE
large intestine goblet cell,19,19.0,19.101,17.0,21.0,4.0,0.8299391543962725,0.0,0.0,9.46090188131061,0.16447761694515228,STABLE_MIDDLE
enterocyte of epithelium of large intestine,20,20.0,19.935,19.0,21.0,2.0,0.6330679268451371,0.0,0.0,9.317863255920361,0.14411296568010362,STABLE_MIDDLE
myeloid dendritic cell,21,21.0,21.647,18.0,25.0,7.0,1.6329087543399354,0.0,0.022,8.907877435630304,0.35910508524938295,STABLE_MIDDLE
natural killer cell,23,22.0,22.396,21.0,24.0,3.0,0.9493071157428454,0.0,0.008,8.70573836563075,0.1527090843814513,STABLE_MIDDLE
monocyte,22,22.0,22.268,20.975,25.0,4.024999999999999,1.258640536451929,0.0,0.023,8.752773128602948,0.2484600180430503,STABLE_MIDDLE
intermediate monocyte,24,24.0,24.165,23.0,26.0,3.0,0.9020947843768969,0.0,0.077,8.43403029942292,0.1251846830308599,STABLE_MIDDLE
mature NK T cell,25,25.0,25.18,23.0,27.0,4.0,0.9217374897442329,0.0,0.349,8.290393317875514,0.11397309290197552,STABLE_MIDDLE
adventitial cell,26,26.0,26.002,23.975,27.0,3.0249999999999986,1.0295610715251429,0.0,0.769,8.110398375961132,0.2270200290609047,STABLE_MIDDLE
granulocyte,27,27.0,26.324,22.0,29.0,7.0,1.7340772762480914,0.0,0.752,7.977272088494397,0.4314553600478639,STABLE_MIDDLE
fibroblast,28,28.0,28.129,27.0,29.0,2.0,0.6590591779195552,0.0,1.0,7.526823370069459,0.17640932091281436,STABLE_RIGID
bladder urothelial cell,29,29.0,28.586,27.0,29.0,2.0,0.574981738840461,0.0,1.0,7.415212443719354,0.12577397080404767,STABLE_RIGID
pancreatic ductal cell,30,30.0,30.369,30.0,31.0,1.0,0.48666107302721473,0.0,1.0,6.783241285908916,0.13336830898531543,STABLE_RIGID
smooth muscle cell,31,31.0,30.625,30.0,31.0,1.0,0.50037485948037,0.0,1.0,6.716184129466827,0.13540059791844114,STABLE_RIGID
hepatocyte,32,32.0,32.583,32.0,34.0,2.0,0.7328785711152974,0.0,1.0,6.0667173202781415,0.15567412687291926,STABLE_RIGID
endothelial cell,33,33.0,33.004,32.0,34.0,2.0,0.766801147625641,0.0,1.0,5.982474538324775,0.15089928693653964,STABLE_RIGID
non-classical monocyte,34,34.0,33.418,32.0,34.0,2.0,0.7438252482942482,0.0,1.0,5.908328438668265,0.14119198514347858,STABLE_RIGID
"CD8-positive, alpha-beta T cell",35,35.0,34.993,35.0,35.0,0.0,0.08337265738837883,0.0,1.0,5.387173277393695,0.1381234131476971,STABLE_RIGID
