,stromal cell,epithelial cell,hematopoietic precursor cell,hematopoietic stem cell,pancreatic acinar cell,basal cell,T cell,neutrophil,myeloid leukocyte,fibroblast of cardiac tissue,mesenchymal stem cell of adipose tissue,plasma cell,mesenchymal stem cell,"CD4-positive, alpha-beta T cell",macrophage,B cell,classical monocyte,luminal epithelial cell of mammary gland,large intestine goblet cell,enterocyte of epithelium of large intestine,myeloid dendritic cell,natural killer cell,monocyte,intermediate monocyte,mature NK T cell,adventitial cell,granulocyte,fibroblast,bladder urothelial cell,pancreatic ductal cell,smooth muscle cell,hepatocyte,endothelial cell,non-classical monocyte,"CD8-positive, alpha-beta T cell"
stromal cell,0.0,0.993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
epithelial cell,0.007,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hematopoietic precursor cell,0.0,0.0,0.0,0.979,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hematopoietic stem cell,0.0,0.0,0.021,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pancreatic acinar cell,0.0,0.0,0.0,0.0,0.0,0.56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
basal cell,0.0,0.0,0.0,0.0,0.44,0.0,0.998,1.0,0.994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
T cell,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.666,0.651,0.696,0.815,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
neutrophil,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.536,0.559,0.704,0.953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
myeloid leukocyte,0.0,0.0,0.0,0.0,0.0,0.006,0.349,0.464,0.0,0.51,0.628,0.87,1.0,0.999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fibroblast of cardiac tissue,0.0,0.0,0.0,0.0,0.0,0.0,0.304,0.441,0.49,0.0,0.648,0.932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
