cell_type,primary_residual,cellhint_residual,primary_rank,cellhint_rank,signed_rank_diff,abs_rank_diff,primary_rank_in_35
epithelial cell,16.267367119340193,3.04790400545272,1,14,-13,13,2
hepatocyte,6.058641994458259,10.601407356937456,13,1,12,12,32
neutrophil,11.597880291489918,4.40017103622249,3,13,-10,10,8
T cell,11.669226435501992,5.749046757408019,2,11,-9,9,7
fibroblast,7.507943223117857,9.87455856889657,11,2,9,9,28
"CD8-positive, alpha-beta T cell",5.3762488830814785,6.2970353485104145,15,8,7,7,35
B cell,9.84610068589495,5.153071573117836,7,12,-5,5,17
myeloid dendritic cell,8.898935755842247,9.847800467838177,8,3,5,5,21
natural killer cell,8.686951760199305,3.0411804536326623,10,15,-5,5,23
plasma cell,11.083711716328304,5.863024242140228,4,9,-5,5,12
smooth muscle cell,6.705379907369501,7.503897188826186,12,7,5,5,31
endothelial cell,5.971302732274846,5.770897265062862,14,10,4,4,33
monocyte,8.722374107298508,7.996128079850854,9,6,3,3,22
"CD4-positive, alpha-beta T cell",10.21169775481372,9.476759641484726,5,4,1,1,14
macrophage,9.878522208732337,8.395758639145297,6,5,1,1,16
