collection_name,n_datasets_human,total_human_cells,n_datasets_mouse,total_mouse_cells,total_cells
Single-cell roadmap of human gonadal development,5,364425,4,107521,471946
A single-cell atlas of human and mouse white adipose tissue,6,166149,6,197721,363870
A human embryonic limb cell atlas resolved in space and time,3,125955,1,215067,341022
Human skeletal muscle ageing atlas,7,183161,1,96529,279690
Cellular development and evolution of the mammalian cerebellum,1,163283,1,115282,278565
Human and mouse dermal fibroblast atlas,1,84990,1,42301,127291
Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,4,27194,3,62415,89609
Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains,1,19200,1,19847,39047
A transcriptional cross species map of pancreatic islet cells,1,26474,1,0,26474
A single-cell transcriptional roadmap of the mouse and human lymph node lymphatic vasculature,1,4355,1,4252,8607
Cell-type specific analysis of physiological action of estrogen inmouse oviducts,1,1790,1,5440,7230
"Evolution of cellular diversity in primary motor cortex of human, marmoset monkey, and mouse",3,0,3,0,0
Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,3,0,3,0,0
