collection_name,n_datasets_human,total_human_cells,n_datasets_mouse,total_mouse_cells,total_cells,n_shared_primary_types,shared_types
Single-cell roadmap of human gonadal development,5,364425,4,107521,471946,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
A single-cell atlas of human and mouse white adipose tissue,6,166149,6,197721,363870,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
A human embryonic limb cell atlas resolved in space and time,3,125955,1,215067,341022,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
Human skeletal muscle ageing atlas,7,183161,1,96529,279690,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
Cellular development and evolution of the mammalian cerebellum,1,163283,1,115282,278565,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
Human and mouse dermal fibroblast atlas,1,84990,1,42301,127291,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
Single cell analysis of mouse and human prostate reveals novel fibroblasts with specialized distribution and microenvironment interactions,4,27194,3,62415,89609,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
Epithelial zonation along the mammalian small intestine defines five discrete metabolic domains,1,19200,1,19847,39047,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
A transcriptional cross species map of pancreatic islet cells,1,26474,1,0,26474,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
A single-cell transcriptional roadmap of the mouse and human lymph node lymphatic vasculature,1,4355,1,4252,8607,35.0,"B cell; CD4-positive, alpha-beta T cell; CD8-positive, alpha-beta T cell; T cell; adventitial cell; basal cell; bladder urothelial cell; classical monocyte; endothelial cell; enterocyte of epithelium of large intestine; epithelial cell; fibroblast; fibroblast of cardiac tissue; granulocyte; hematopoietic precursor cell; hematopoietic stem cell; hepatocyte; intermediate monocyte; large intestine goblet cell; luminal epithelial cell of mammary gland; macrophage; mature NK T cell; mesenchymal stem cell; mesenchymal stem cell of adipose tissue; monocyte; myeloid dendritic cell; myeloid leukocyte; natural killer cell; neutrophil; non-classical monocyte; pancreatic acinar cell; pancreatic ductal cell; plasma cell; smooth muscle cell; stromal cell"
