cell_type,primary_residual,replication_residual,primary_rank,replication_rank,rank_shift
stromal cell,16.984603696210993,7.7897320113780335,1,19,18
epithelial cell,16.267367119340193,9.284447533959197,2,13,11
basal cell,12.766119470797328,6.20986433601364,3,22,19
T cell,11.669226435501992,11.168719144924083,4,11,7
neutrophil,11.597880291489918,18.49965113341275,5,2,3
fibroblast of cardiac tissue,11.521942001663705,25.401465264385937,6,1,5
myeloid leukocyte,11.509243348794332,14.706115311114218,7,7,0
plasma cell,11.083711716328304,12.09024519668958,8,8,0
mesenchymal stem cell,10.340755101730728,9.168971997877387,9,14,5
"CD4-positive, alpha-beta T cell",10.21169775481372,11.637380459576175,10,9,1
macrophage,9.878522208732337,7.552092297240031,11,20,9
B cell,9.84610068589495,9.532312367785705,12,12,0
monocyte,8.722374107298508,8.195670515853564,13,18,5
natural killer cell,8.686951760199305,8.730979572505834,14,16,2
mature NK T cell,8.274654323291125,17.25811126814268,15,4,11
granulocyte,7.932489173190314,15.463599063982846,16,6,10
fibroblast,7.507943223117857,9.040557683266032,17,15,2
pancreatic ductal cell,6.787640413838285,17.848396959631042,18,3,15
smooth muscle cell,6.705379907369501,6.321043768568404,19,21,2
hepatocyte,6.058641994458259,16.217812187441673,20,5,15
endothelial cell,5.971302732274846,8.709031168237178,21,17,4
"CD8-positive, alpha-beta T cell",5.3762488830814785,11.40887261445079,22,10,12
