rank,cell_type,residual_magnitude,primary_residual
1,fibroblast of cardiac tissue,25.401465264385937,11.521942001663705
2,neutrophil,18.49965113341275,11.597880291489918
3,pancreatic ductal cell,17.848396959631042,6.787640413838285
4,mature NK T cell,17.25811126814268,8.274654323291125
5,hepatocyte,16.217812187441673,6.058641994458259
6,granulocyte,15.463599063982846,7.932489173190314
7,myeloid leukocyte,14.706115311114218,11.509243348794332
8,plasma cell,12.09024519668958,11.083711716328304
9,"CD4-positive, alpha-beta T cell",11.637380459576175,10.21169775481372
10,"CD8-positive, alpha-beta T cell",11.40887261445079,5.3762488830814785
11,T cell,11.168719144924083,11.669226435501992
12,B cell,9.532312367785705,9.84610068589495
13,epithelial cell,9.284447533959197,16.267367119340193
14,mesenchymal stem cell,9.168971997877387,10.340755101730728
15,fibroblast,9.040557683266032,7.507943223117857
16,natural killer cell,8.730979572505834,8.686951760199305
17,endothelial cell,8.709031168237178,5.971302732274846
18,monocyte,8.195670515853564,8.722374107298508
19,stromal cell,7.7897320113780335,16.984603696210993
20,macrophage,7.552092297240031,9.878522208732337
21,smooth muscle cell,6.321043768568404,6.705379907369501
22,basal cell,6.20986433601364,12.766119470797328
