gene_id,symbol,C_pearson,mean_expression,breadth_human,breadth_mouse,breadth_min
ENSG00000000003,TSPAN6,0.5212868699981198,0.08535135079142855,35,34,34
ENSG00000000005,TNMD,0.474063511859014,0.004091452384628572,24,21,21
ENSG00000000419,DPM1,0.22532971036044505,0.2830789414285714,35,35,35
ENSG00000000457,SCYL3,0.4971406120996313,0.09518282534285714,35,35,35
ENSG00000000460,FIRRM,0.31515571273373566,0.06998365162857144,35,35,35
ENSG00000000938,FGR,0.8799773042869254,0.3246487519571429,35,35,35
ENSG00000001036,FUCA2,0.0755055056806715,0.1812754969428571,35,35,35
ENSG00000001084,GCLC,0.6898722323592282,0.31077207754285724,35,35,35
ENSG00000001167,NFYA,0.08776956268044862,0.1431449689142857,35,35,35
ENSG00000001460,STPG1,0.3661165518615692,0.0465484674,35,17,17
ENSG00000001461,NIPAL3,0.3898407320393252,0.1334176975142857,35,34,34
ENSG00000001497,LAS1L,0.5462504749218944,0.11250774802857144,35,35,35
ENSG00000001561,ENPP4,0.26472836663698857,0.09861132974285713,35,35,35
ENSG00000001617,SEMA3F,0.7526251365638006,0.03198160385,35,35,35
ENSG00000001626,CFTR,0.8685095651758474,0.17778679328571428,35,24,24
ENSG00000001629,ANKIB1,0.29819556962127886,0.47194537257142855,35,35,35
ENSG00000001630,CYP51A1,0.2838470424240955,0.05110360662857143,35,35,35
ENSG00000001631,KRIT1,0.4737760699623076,0.16711083291428572,35,35,35
ENSG00000002016,RAD52,0.5282449308735476,0.08762430774285712,35,35,35
ENSG00000002330,BAD,0.45813851363331337,0.19045689377142858,35,35,35
ENSG00000002549,LAP3,0.016129447172721807,0.3180492065142857,35,35,35
ENSG00000002587,HS3ST1,0.8404251476858244,0.09351213660571428,35,35,35
ENSG00000002745,WNT16,0.09922669723526668,0.003298900198428571,32,15,15
ENSG00000002746,HECW1,0.12887782106933085,0.015177633028571431,35,23,23
ENSG00000002822,MAD1L1,0.24310627831949244,0.013189059482857143,35,35,35
