split,seed,n_half1_donors,n_half2_donors,n_types_ws,ws_obs_distance,ws_null_mean,ws_obs_null_ratio,ws_p_value,n_types_cs,cs_obs_distance,cs_null_mean,cs_obs_null_ratio,cs_p_value,delta_obs_null
1,1608637542,15,9,31,40.38516608702146,108.29481781173322,0.37261050473299717,0.000999000999000999,31,59.0066364920976,111.24013369385554,0.5296755377554434,0.000999000999000999,0.15706503302244623
2,1273642419,16,8,30,43.40044663797788,102.85323829633792,0.4214680235236018,0.000999000999000999,30,58.84365148685419,105.53235751983046,0.5569024150664802,0.000999000999000999,0.1354343915428784
3,1935803228,8,16,30,38.43814730968689,104.09487465847916,0.36870354513814874,0.000999000999000999,30,59.128778886599996,106.14906450710906,0.556114348153424,0.000999000999000999,0.18741080301527524
4,787846414,9,15,29,36.82171409890896,100.06249544322515,0.3670979997303091,0.000999000999000999,29,52.16617286127437,102.12208492326445,0.5099156710510108,0.000999000999000999,0.14281767132070167
5,996406378,15,9,31,42.19784496125766,105.54593425060636,0.39947063824891965,0.000999000999000999,31,65.58521554873397,108.20434302392898,0.605421158153188,0.000999000999000999,0.20595051990426833
6,1201263687,9,15,31,45.11414196586418,108.74154382297246,0.41411560479191467,0.000999000999000999,31,58.27514783894609,112.13596366343735,0.5190474627806907,0.000999000999000999,0.10493185798877602
7,423734972,10,14,30,44.347333063770044,106.48794940037043,0.4157295726793189,0.000999000999000999,30,59.050474632665356,109.23748349841897,0.5394613029171332,0.000999000999000999,0.12373173023781431
8,415968276,15,9,30,32.49213139716187,103.12691717846249,0.314411849261495,0.000999000999000999,30,55.4917761596741,105.4531367791918,0.5255119260706861,0.000999000999000999,0.21110007680919107
9,670094950,9,15,31,40.65056920401826,108.82223409929401,0.37291261518047086,0.000999000999000999,31,62.385886941307824,112.54825443871198,0.5533991485496211,0.000999000999000999,0.18048653336915027
10,1914837113,19,5,30,30.731311126935395,103.0298830670702,0.29758982563154734,0.000999000999000999,30,55.106891074657995,105.2917049121805,0.5226167609510941,0.000999000999000999,0.22502693531954676
11,669991378,13,11,31,41.69424364697352,108.56456451931481,0.38338868331140963,0.000999000999000999,31,63.16798111690022,110.29582851539855,0.5717660806267723,0.000999000999000999,0.18837739731536263
12,429389014,10,14,31,41.7391141863039,110.09964324653018,0.37874220133094944,0.000999000999000999,31,56.87993588868238,113.10487358352516,0.5019424242597325,0.000999000999000999,0.12320022292878302
13,249467210,12,12,29,38.5923077346013,103.99056879293987,0.37053833913066275,0.000999000999000999,29,57.4982871092121,106.86564891374424,0.5366409240033856,0.000999000999000999,0.16610258487272284
14,1972458954,16,8,31,39.78457362707108,108.26047130721548,0.3673113560928503,0.000999000999000999,31,58.174574087836675,110.90473970437681,0.5237464852706357,0.000999000999000999,0.1564351291777854
15,1572714583,12,12,31,42.00453922442917,109.60889662389403,0.38296107195413354,0.000999000999000999,31,54.265383025151316,112.7559373019209,0.48136384654272313,0.000999000999000999,0.09840277458858959
16,1433267572,9,15,31,40.831824734838655,109.24750036467125,0.37334633895143937,0.000999000999000999,31,57.9647042905342,112.59387937315738,0.5137482994528457,0.000999000999000999,0.14040196050140635
17,434285667,9,15,29,38.417546578503675,103.37358695112515,0.3711994570265876,0.000999000999000999,29,51.89728592179433,105.98028443006909,0.48873261365331516,0.000999000999000999,0.11753315662672759
18,613608295,8,16,31,43.85547967716527,108.25656132480593,0.40407038845899246,0.000999000999000999,31,58.60473388181024,111.6458366405773,0.5238554245678262,0.000999000999000999,0.11978503610883373
19,893664919,15,9,31,42.96106230113385,104.50718640750722,0.4104232680433576,0.000999000999000999,31,63.53954810732639,107.4727182702741,0.5903899277256459,0.000999000999000999,0.1799666596822883
20,648061058,11,13,30,36.54043376732136,104.86535925171425,0.3476836048360318,0.000999000999000999,30,56.84099522414209,106.78303488356619,0.530601829865365,0.000999000999000999,0.1829182250293332
21,88409749,9,15,31,42.36573280287191,109.8412966130722,0.38528624515846266,0.000999000999000999,31,58.502177889299745,113.06633292057276,0.5166365510179345,0.000999000999000999,0.13135030585947183
22,242285876,11,13,31,47.04800309035904,108.01263088983674,0.43507405382341424,0.000999000999000999,31,59.738597718198875,110.6633375612532,0.5387975153347097,0.000999000999000999,0.10372346151129541
23,2018247425,10,14,31,36.39014539218995,104.2252023055937,0.3487125175360434,0.000999000999000999,31,62.15683789866988,107.89062263819517,0.5748621955524362,0.000999000999000999,0.22614967801639285
24,953477463,9,15,31,43.77826034559991,109.56707412535663,0.3989830227369476,0.000999000999000999,31,57.05878664024295,111.95553639829131,0.5092879133202358,0.000999000999000999,0.11030489058328824
25,1427830251,9,15,28,33.68081374329886,98.54092103312736,0.3414057604985706,0.000999000999000999,28,52.51873503157413,99.13093167385065,0.5291195818087236,0.000999000999000999,0.18771382131015307
26,1883569565,15,9,31,40.32787497543309,106.78793213398667,0.3770603140629579,0.000999000999000999,31,56.750942495016034,110.02828214580428,0.5151605344787313,0.000999000999000999,0.1381002204157734
27,911989541,13,11,31,39.2319598018746,107.10941078026222,0.365462305539471,0.000999000999000999,31,59.00319938397876,109.62511905445825,0.5373938213785153,0.000999000999000999,0.1719315158390443
28,3344769,13,11,30,41.88703718995842,102.17958940173965,0.40946997117764816,0.000999000999000999,30,62.274623173186164,105.04121315813947,0.5920125801781349,0.000999000999000999,0.1825426090004867
29,780932287,14,10,32,45.24573484031025,110.62110183751189,0.4082198184327883,0.000999000999000999,32,59.534274162299255,113.15698632053315,0.5254891921367066,0.000999000999000999,0.11726937370391832
30,2114032571,11,13,32,42.829959732974864,111.50475173779755,0.38343792963392115,0.000999000999000999,32,60.40258455963626,114.9101780754734,0.5246843721344574,0.000999000999000999,0.14124644250053625
31,787716372,9,15,32,41.90802465938409,109.51757438595415,0.3826096992671335,0.000999000999000999,32,65.9015223880585,112.6941711378403,0.583759357485364,0.000999000999000999,0.2011496582182305
32,504579232,15,9,32,42.62014365127495,109.29605021198283,0.3894756677529804,0.000999000999000999,32,63.14058605530956,112.49642099144204,0.5601127204604746,0.000999000999000999,0.17063705270749413
33,1306710475,10,14,32,43.68788316463527,110.67316293786013,0.39404165561619947,0.000999000999000999,32,64.57087184376861,112.86467079260406,0.5710564024845142,0.000999000999000999,0.1770147468683147
34,479546681,14,10,31,43.527665964616936,108.30997432914035,0.4011799212261924,0.000999000999000999,31,57.3312429705395,111.34609155822086,0.5142706538364444,0.000999000999000999,0.11309073261025204
35,106328085,15,9,31,36.936177050321376,109.325576926454,0.33714338114735565,0.000999000999000999,31,58.29143257765353,112.40241836889349,0.5177011229510339,0.000999000999000999,0.18055774180367823
36,30349564,10,14,30,45.043413555911904,105.5628048340324,0.4259958421268167,0.000999000999000999,30,59.38661392580583,108.74509369295876,0.545242206245935,0.000999000999000999,0.11924636411911832
37,1855189739,11,13,29,38.67028935025745,101.60272625229662,0.37998756191113975,0.000999000999000999,29,60.19231466002964,102.77732834517336,0.5842764735642407,0.000999000999000999,0.20428891165310098
38,99052376,12,12,31,35.421183510066726,106.371691207133,0.33230702808828433,0.000999000999000999,31,59.98498114478568,109.22532651934543,0.5482775290931104,0.000999000999000999,0.21597050100482612
39,1250819632,13,11,30,40.73008586261374,102.9266543724942,0.3947545603110457,0.000999000999000999,30,57.523604496622504,104.91442191961407,0.547045530150222,0.000999000999000999,0.15229096983917623
40,106406362,8,16,31,38.352790673801735,105.91080212928325,0.361468585980165,0.000999000999000999,31,57.68919376669331,109.11561669319467,0.5278858090986354,0.000999000999000999,0.16641722311847035
41,480404538,13,11,32,40.99591592662343,111.4863482293665,0.3669793357874924,0.000999000999000999,32,60.170205250103535,114.47418757400779,0.5247018000986653,0.000999000999000999,0.15772246431117287
42,1717389822,12,12,32,41.862897949806005,110.32251375301148,0.3790760877068455,0.000999000999000999,32,59.60505050326138,113.59666228188048,0.5240095894745551,0.000999000999000999,0.14493350176770964
43,599121577,16,8,31,41.6045795991216,103.46136893655151,0.40123168133466036,0.000999000999000999,31,61.69122819097029,106.7304752059964,0.5774963708714015,0.000999000999000999,0.17626468953674113
44,200427519,12,12,30,40.77851280032824,106.9516256018961,0.3803152112285842,0.000999000999000999,30,54.48332486658399,109.1357301921268,0.4985440759301313,0.000999000999000999,0.11822886470154709
45,1254751707,12,12,31,42.635289584210746,108.10456723948055,0.3939219339811623,0.000999000999000999,31,58.96971746237401,111.25507877756597,0.5300233181574183,0.000999000999000999,0.136101384176256
46,2034764475,13,11,31,40.76381545106081,108.51601244467084,0.3752323083545931,0.000999000999000999,31,55.95073996306625,111.45601069834993,0.5013385164551454,0.000999000999000999,0.1261062081005523
47,1573512143,11,13,32,44.14900327281014,110.30509134015963,0.4000256267546882,0.000999000999000999,32,57.595990732262145,113.22072594265869,0.5077060995005072,0.000999000999000999,0.10768047274581893
48,999745294,17,7,31,44.59438502452711,107.24059056831673,0.4152612282614193,0.000999000999000999,31,58.15545974449308,110.16233454094552,0.526638140065649,0.000999000999000999,0.1113769118042297
49,1958805693,10,14,31,42.04671771077815,110.39555413248705,0.38053222483015287,0.000999000999000999,31,57.15168981938777,113.47587219031607,0.5030771401918395,0.000999000999000999,0.1225449153616866
50,389151677,13,11,30,36.40854565963047,101.65535915488546,0.3574565530179506,0.000999000999000999,30,59.530406159442094,104.34812007775955,0.5694036939115711,0.000999000999000999,0.2119471408936205
51,1224821422,15,9,31,36.76528378081127,106.15255498519853,0.3457893257521163,0.000999000999000999,31,60.22865965617914,108.91104366163363,0.552585850555133,0.000999000999000999,0.2067965248030167
52,508464061,10,14,30,31.004538346799816,107.33618836973761,0.2883977195484042,0.000999000999000999,30,57.63254836160976,109.39401927372049,0.5256273933976995,0.000999000999000999,0.23722967384929528
53,857592370,12,12,30,41.87308241096967,104.77703836403178,0.3991613523449233,0.000999000999000999,30,59.05967113326566,107.93958767775841,0.5461795040138038,0.000999000999000999,0.1470181516688805
54,1642661739,11,13,32,44.08907539872647,108.81215684944301,0.4042409938257397,0.000999000999000999,32,62.11422384452692,112.01609201508766,0.5536225849401873,0.000999000999000999,0.14938159111444765
55,61136438,8,16,30,38.41719264422587,105.31899562064075,0.3640757336286238,0.000999000999000999,30,55.077549388224675,107.23775536543859,0.5129433166386648,0.000999000999000999,0.148867583010041
56,2075460851,13,11,31,41.16044952829445,104.72909808063687,0.39296628427274855,0.000999000999000999,31,62.18709548406373,107.82355502237898,0.5766864286638668,0.000999000999000999,0.18372014439111822
57,396917567,8,16,30,39.86270584256953,105.33992986343223,0.3780095708792528,0.000999000999000999,30,61.5262068750007,107.59022224434172,0.5709149369091747,0.000999000999000999,0.19290536602992192
58,2004731384,10,14,31,42.21037461778427,108.47590559020968,0.38870647680252535,0.000999000999000999,31,61.85368264797883,110.25914412579232,0.5596866841110409,0.000999000999000999,0.1709802073085156
59,199502978,11,13,29,35.741793557335285,104.93923663494995,0.3399352745791712,0.000999000999000999,29,51.63205911054724,106.37839011750391,0.4841680244599399,0.000999000999000999,0.14423274988076867
60,1545932260,10,14,27,36.29613868348025,100.62292987997397,0.36014285142219743,0.000999000999000999,27,48.33419609651552,102.11732964685632,0.4723108356183922,0.000999000999000999,0.11216798419619478
61,461901618,10,14,30,35.83008072622201,107.07697880176906,0.33440778907158936,0.000999000999000999,30,57.63249048601001,109.90237823409875,0.5236322400074697,0.000999000999000999,0.1892244509358803
62,774414982,5,19,31,35.972391420825495,109.91645736409376,0.32655479133093485,0.000999000999000999,31,57.392446373396375,112.84237624561389,0.5076614639522596,0.000999000999000999,0.1811066726213248
63,732395540,10,14,32,38.25500339210531,108.64224389543968,0.35175604535007454,0.000999000999000999,32,62.351512208592816,111.55773016383718,0.5579126341797712,0.000999000999000999,0.20615658882969667
64,1934879560,15,9,32,42.23475825167792,109.08097257883836,0.38701609819632254,0.000999000999000999,32,63.96217102400867,112.23505094038998,0.568962278484051,0.000999000999000999,0.18194618028772847
65,279394470,11,13,30,39.61463602411268,107.15693071218446,0.36891208465940245,0.000999000999000999,30,56.0806193918898,109.89187593322931,0.5092774078046947,0.000999000999000999,0.1403653231452922
66,56972561,13,11,30,40.774002195592686,105.33649524266238,0.3866985416150982,0.000999000999000999,30,58.70099154735014,108.21364062005398,0.5412312814034486,0.000999000999000999,0.15453273978835036
67,1927948675,14,10,30,40.82949699412924,106.3605182113461,0.38335452237873346,0.000999000999000999,30,56.50686060248295,108.89327290098521,0.5185009882548458,0.000999000999000999,0.13514646587611234
68,1899242072,12,12,31,40.59997838657503,108.14127086388861,0.3751295596579586,0.000999000999000999,31,55.75898283823816,110.28350232513091,0.5049987853211919,0.000999000999000999,0.12986922566323333
69,1999874363,11,13,30,35.62284464736477,107.72554593117935,0.3304345622583367,0.000999000999000999,30,54.71806187560268,110.05579972165498,0.496751241956469,0.000999000999000999,0.16631667969813235
70,271820813,9,15,31,41.58231562341071,108.40624283375438,0.38315917034620767,0.000999000999000999,31,61.52994448783762,110.1588347429269,0.5576480680294867,0.000999000999000999,0.17448889768327908
71,1324556529,10,14,30,36.41793585137635,104.15092586422419,0.34894997823786583,0.000999000999000999,30,56.08768153993871,107.17385099303613,0.5226372697819741,0.000999000999000999,0.17368729154410828
72,1655351289,14,10,32,46.322586816206716,111.36537004368618,0.4155648064997477,0.000999000999000999,32,59.7206155072587,114.08659245228094,0.5226097745061637,0.000999000999000999,0.10704496800641605
