split,seed,n_half1_donors,n_half2_donors,n_types,n_pca_components,ws_obs_distance,ws_null_mean,ws_obs_null_ratio,ws_p_value,cs_obs_distance,cs_null_mean,cs_obs_null_ratio,cs_p_value,delta_obs_null
1,1608637542,15,9,31,32,40.25775527409114,108.19763444945967,0.3717487556860087,0.000999000999000999,57.72740465260601,111.22983150358972,0.5182817259357642,0.000999000999000999,0.14653297024975548
2,1273642419,16,8,30,31,44.11861305627098,102.69088319870913,0.4289993746453098,0.000999000999000999,58.192589995586694,105.41203417233697,0.5513021727044817,0.000999000999000999,0.12230279805917188
3,1935803228,8,16,30,30,37.447406051776106,103.83189734956163,0.36000973037462747,0.000999000999000999,58.44070255361003,106.09352056648018,0.5498983092246043,0.000999000999000999,0.18988857884997679
4,787846414,9,15,29,30,35.643781137252134,100.08646400847086,0.355269046755893,0.000999000999000999,51.893426875195644,102.22870984593442,0.5063909154735245,0.000999000999000999,0.15112186871763156
5,996406378,15,9,31,33,41.08766266881284,105.46814682700507,0.38914387766990244,0.000999000999000999,63.786662418403765,107.78789269280895,0.5909451906222105,0.000999000999000999,0.20180131295230808
6,1201263687,9,15,31,33,43.93479154510183,108.67954204548059,0.4036162050822294,0.000999000999000999,56.39034765895334,111.90934249798893,0.5032175003136315,0.000999000999000999,0.09960129523140215
7,423734972,10,14,30,31,44.81315754606484,106.76297335300075,0.4190801150911826,0.000999000999000999,57.68194136721893,108.78846382383837,0.5292543455254848,0.000999000999000999,0.11017423043430219
8,415968276,15,9,30,31,32.250420066551435,103.02756769049925,0.31246580984929634,0.000999000999000999,55.211189308176586,105.35334927736868,0.5232804336587028,0.000999000999000999,0.21081462380940647
9,670094950,9,15,31,33,40.29135219901341,109.46157703000922,0.3673930567653855,0.000999000999000999,60.72914243099166,112.30522530592707,0.539676464240592,0.000999000999000999,0.17228340747520654
10,1914837113,19,5,30,31,30.5566780902679,102.9488958745184,0.29632312832825247,0.000999000999000999,55.1079997041184,105.19675299994192,0.5229207165699974,0.000999000999000999,0.22659758824174492
11,669991378,13,11,31,33,40.92637938492006,108.52320434433074,0.3764095370882387,0.000999000999000999,61.5278149735641,110.14005654497161,0.5576159276650752,0.000999000999000999,0.18120639057683646
12,429389014,10,14,31,33,41.69584461095323,110.06401106497496,0.3782547413078519,0.000999000999000999,56.07684703153196,113.05327466464001,0.49511870122552387,0.000999000999000999,0.11686395991767196
13,249467210,12,12,29,29,38.366300844435806,104.29590829874174,0.36718676957018154,0.000999000999000999,56.64452257454756,106.70689666541327,0.5292759268675951,0.000999000999000999,0.16208915729741352
14,1972458954,16,8,31,32,40.53770684063156,108.51214957459233,0.37323265001658196,0.000999000999000999,57.27053145404293,110.64538809053448,0.5169279810317182,0.000999000999000999,0.14369533101513626
15,1572714583,12,12,31,32,40.78204845029469,109.83095009423987,0.3711503776949172,0.000999000999000999,54.52526195893458,112.61980867472758,0.4841485759120741,0.000999000999000999,0.1129981982171569
16,1433267572,9,15,31,33,40.13736489208558,109.35739108229066,0.36648623129152347,0.000999000999000999,56.5528441303702,112.46467818086647,0.5015611768044472,0.000999000999000999,0.13507494551292376
17,434285667,9,15,29,30,38.52152010980447,103.80846266469968,0.370539700187552,0.000999000999000999,51.660345380933585,105.98673849365889,0.48643065150524745,0.000999000999000999,0.11589095131769545
18,613608295,8,16,31,32,41.73227041655228,108.33317145580914,0.3843563848596482,0.000999000999000999,57.25568548954746,111.22107072607236,0.5140246872121704,0.000999000999000999,0.12966830235252225
19,893664919,15,9,31,34,42.096235733200146,104.38401368990164,0.4025491016757024,0.000999000999000999,62.476418553960684,107.09291852069755,0.5825661413558061,0.000999000999000999,0.18001703968010369
20,648061058,11,13,30,32,38.20859015441433,104.9171967296274,0.36331364938858374,0.000999000999000999,56.40833402431715,106.79708733241054,0.5268081216415769,0.000999000999000999,0.16349447225299313
21,88409749,9,15,31,33,41.91464404948524,109.40849045616218,0.3826015056132854,0.000999000999000999,58.38939158543529,112.72830125762505,0.5171545914263973,0.000999000999000999,0.13455308581311193
22,242285876,11,13,31,33,47.62735599803712,108.07874767747192,0.44011689657048914,0.000999000999000999,58.76101159428711,110.52343228969086,0.530817842227742,0.000999000999000999,0.09070094565725284
23,2018247425,10,14,31,32,35.74428909987791,104.65142301053473,0.3411979616305685,0.000999000999000999,60.66165613450628,107.50315978192921,0.5631862147948986,0.000999000999000999,0.22198825316433013
24,953477463,9,15,31,32,42.26082688779636,109.19752088146014,0.3863405106043303,0.000999000999000999,56.43917359738054,111.8148989243152,0.5042419778788108,0.000999000999000999,0.11790146727448048
25,1427830251,9,15,28,29,32.469718945528314,98.45788720114311,0.3293926035499107,0.000999000999000999,52.25800816529528,99.27710081039311,0.5255883994377477,0.000999000999000999,0.19619579588783703
26,1883569565,15,9,31,32,39.327774239408235,106.73319468888859,0.3678745551834804,0.000999000999000999,56.04171054014657,110.05126897339724,0.5085862159781634,0.000999000999000999,0.14071166079468306
27,911989541,13,11,31,32,37.92367418139658,106.95987108078286,0.35381710138575884,0.000999000999000999,58.00886455509613,109.39292395929503,0.5294614441918772,0.000999000999000999,0.1756443428061184
28,3344769,13,11,30,32,40.85419186448386,102.00831110038543,0.4001703206278624,0.000999000999000999,61.73436974541781,104.90203353078434,0.5875419466027026,0.000999000999000999,0.18737162597484025
29,780932287,14,10,32,33,43.76231950816321,110.47507414911978,0.3953496149233701,0.000999000999000999,57.72473595237662,112.92167622962653,0.5105429745508112,0.000999000999000999,0.1151933596274411
30,2114032571,11,13,32,34,42.63685709943809,111.57484948675288,0.38141464632193206,0.000999000999000999,58.80513573029852,114.76732757838862,0.5114426728990428,0.000999000999000999,0.1300280265771107
31,787716372,9,15,32,33,41.40779415180936,109.7085112144412,0.3773390069063471,0.000999000999000999,64.8437097160293,112.60829321158506,0.5752224349372788,0.000999000999000999,0.19788342803093167
32,504579232,15,9,32,34,42.30978814281601,109.23491216096684,0.3868120668606381,0.000999000999000999,61.96721750563982,112.24707174732995,0.5512495727295813,0.000999000999000999,0.16443750586894318
33,1306710475,10,14,32,32,42.546192816621684,110.7326539650292,0.38346650536245275,0.000999000999000999,63.369277578932156,112.93890664723513,0.5602210005578809,0.000999000999000999,0.17675449519542819
34,479546681,14,10,31,34,43.70360109208998,108.21172527096957,0.40303835566800233,0.000999000999000999,55.07533706473723,111.45651772702806,0.4933399126652368,0.000999000999000999,0.09030155699723447
35,106328085,15,9,31,32,35.5324136878741,109.68560911252135,0.3233000391259788,0.000999000999000999,57.50802721048023,112.15646145394756,0.5119550110114449,0.000999000999000999,0.1886549718854661
36,30349564,10,14,30,32,45.17625784716591,105.69614446588835,0.4267792408919907,0.000999000999000999,58.02532714792454,108.46718699814336,0.5341654101130948,0.000999000999000999,0.10738616922110411
37,1855189739,11,13,29,30,37.059992740999974,101.2642224033311,0.3653690039067975,0.000999000999000999,59.20341968696741,102.77508213176829,0.574538490870269,0.000999000999000999,0.20916948696347148
38,99052376,12,12,31,34,35.54317853701726,106.2143545812639,0.33392847084379684,0.000999000999000999,58.94184296046114,108.99409528298531,0.5397043301664496,0.000999000999000999,0.20577585932265274
39,1250819632,13,11,30,31,39.784460050579455,102.85830900156425,0.385957797918422,0.000999000999000999,56.92827218849975,104.73887433819691,0.5425150555486623,0.000999000999000999,0.1565572576302403
40,106406362,8,16,31,32,37.17512136953799,106.37147216287417,0.34891832409600104,0.000999000999000999,56.17479516573179,108.78842910179041,0.5153174403175721,0.000999000999000999,0.16639911622157105
41,480404538,13,11,32,34,40.71698948997667,111.2778654315371,0.36519189487155784,0.000999000999000999,59.50101573734449,114.43451431587108,0.5192301231862868,0.000999000999000999,0.15403822831472896
42,1717389822,12,12,32,34,41.43188598826349,110.26462733573082,0.3751457729445183,0.000999000999000999,58.79697818695195,113.43466028838107,0.517753908368412,0.000999000999000999,0.14260813542389367
43,599121577,16,8,31,32,39.721761136809484,103.73620271620902,0.38235446231895304,0.000999000999000999,60.599957974599434,106.43407871390535,0.5687525436670707,0.000999000999000999,0.1863980813481177
44,200427519,12,12,30,32,41.13366655544277,106.81242423002895,0.38420051547758727,0.000999000999000999,52.915330635155904,108.90446564833937,0.4853160997754706,0.000999000999000999,0.10111558429788331
45,1254751707,12,12,31,32,40.753436677877325,108.21769813484171,0.37608020644207546,0.000999000999000999,58.44951151870991,111.12247231008278,0.525820862496353,0.000999000999000999,0.1497406560542775
46,2034764475,13,11,31,33,40.785009750276494,108.27572318417593,0.3761677245348896,0.000999000999000999,55.16875121121835,111.47682817345343,0.49431174052029525,0.000999000999000999,0.11814401598540564
47,1573512143,11,13,32,34,43.352262135870674,110.1214594571324,0.39348015219291416,0.000999000999000999,57.75640109806837,113.24138579755396,0.5091291868334354,0.000999000999000999,0.11564903464052129
48,999745294,17,7,31,33,44.62133207354806,107.31581306575701,0.41529564299798727,0.000999000999000999,57.02896036875522,109.9749376972586,0.5169972422931172,0.000999000999000999,0.1017015992951299
49,1958805693,10,14,31,32,40.61427284728166,110.6000154431269,0.3667938087692243,0.000999000999000999,56.59810900391444,113.34937273196648,0.49892374341930945,0.000999000999000999,0.13212993465008516
50,389151677,13,11,30,32,35.439216519390314,101.35287913135555,0.34879868703886796,0.000999000999000999,58.274227887503095,104.1691977517151,0.558301347375479,0.000999000999000999,0.20950266033661102
51,1224821422,15,9,31,34,36.74000350945445,106.02408843884312,0.3458683178057157,0.000999000999000999,59.2062068011805,108.65867273428894,0.544554367523556,0.000999000999000999,0.19868604971784032
52,508464061,10,14,30,31,31.463358397767227,107.32621643696588,0.29249893810997063,0.000999000999000999,56.36893580781176,109.59071766129418,0.5134346816995125,0.000999000999000999,0.22093574358954182
53,857592370,12,12,30,32,42.400467346259205,104.66020532016233,0.4046665130746688,0.000999000999000999,58.304925338085134,107.74301559853537,0.5403870497353818,0.000999000999000999,0.135720536660713
54,1642661739,11,13,32,34,43.34459480266713,108.77580556010928,0.3977097734125594,0.000999000999000999,60.57582485127261,111.78509399813365,0.5411056093958448,0.000999000999000999,0.14339583598328542
55,61136438,8,16,30,31,37.79242601194076,105.54685964349777,0.3574739950210945,0.000999000999000999,54.949262163365525,107.15755569608787,0.5119675123867811,0.000999000999000999,0.15449351736568656
56,2075460851,13,11,31,32,40.673346510321174,104.54811867238402,0.389039350033215,0.000999000999000999,61.231962458879856,107.59234567583367,0.5689752558765371,0.000999000999000999,0.17993590584332209
57,396917567,8,16,30,32,39.11306757204306,105.1768982394326,0.37153544819127926,0.000999000999000999,59.94963519788161,107.29154676912569,0.5578494575428334,0.000999000999000999,0.18631400935155418
58,2004731384,10,14,31,32,40.86192247896604,108.15886697637839,0.3773697886018171,0.000999000999000999,60.003880148645116,110.19366053369961,0.5434111555170954,0.000999000999000999,0.16604136691527832
59,199502978,11,13,29,31,36.23009894208246,104.9527112871024,0.3444988091367667,0.000999000999000999,50.68437359676072,106.50590531012153,0.4748118028111403,0.000999000999000999,0.1303129936743736
60,1545932260,10,14,27,28,34.8557676649193,100.81271759289247,0.3451503191465101,0.000999000999000999,47.621055315226776,102.20407258655308,0.4650990189049386,0.000999000999000999,0.11994869975842848
61,461901618,10,14,30,32,36.437370539068226,107.33433307413608,0.3390063158418809,0.000999000999000999,56.090294184034214,109.87372751561934,0.5096536823321836,0.000999000999000999,0.17064736649030265
