cell_type,total_cells,n_donors,cells_per_donor_min,cells_per_donor_median,cells_per_donor_max,n_tissues,tissues,mean_tissues_per_donor,balanced_split_smaller_half,balanced_split_larger_half,status,reason
pancreatic acinar cell,2000,2,265,1000.0,1735,1,pancreas,1.0,265,1735,INFEASIBLE,only 2 donor(s)
luminal epithelial cell of mammary gland,2000,2,633,1000.0,1367,1,exocrine gland,1.0,633,1367,INFEASIBLE,only 2 donor(s)
pancreatic ductal cell,2000,3,11,719.0,1270,1,pancreas,1.0,730,1270,INFEASIBLE,only 3 donor(s)
large intestine goblet cell,1557,4,206,377.5,596,2,colon; large intestine,1.0,755,802,FEASIBLE,
hepatocyte,2000,4,5,269.5,1456,1,liver,1.0,544,1456,FEASIBLE,
enterocyte of epithelium of large intestine,2000,5,2,266.0,1137,2,colon; large intestine,1.2,863,1137,FEASIBLE,
mesenchymal stem cell,2000,6,65,266.0,696,2,adipose tissue; musculature,1.2,983,1017,FEASIBLE,
adventitial cell,1045,6,4,180.5,329,3,exocrine gland; lung; uterus,1.2,493,552,FEASIBLE,
bladder urothelial cell,2000,6,71,239.5,747,1,bladder organ,1.0,975,1025,FEASIBLE,
fibroblast of cardiac tissue,1947,6,1,232.5,1174,1,heart,1.0,773,1174,FEASIBLE,
mesenchymal stem cell of adipose tissue,2000,6,2,80.0,1520,1,adipose tissue,1.0,480,1520,FEASIBLE,
epithelial cell,1675,8,5,18.5,892,5,mucosa; musculature; ovary; skin of body; stomach,1.4,783,892,FEASIBLE,
myeloid leukocyte,1002,8,2,11.5,634,3,colon; eye; large intestine,1.0,368,634,FEASIBLE,
granulocyte,769,9,1,17.0,487,4,bone marrow; musculature; respiratory system; uterus,1.4,282,487,FEASIBLE,
basal cell,2000,9,5,179.0,686,4,exocrine gland; lung; respiratory system; tongue,2.2,995,1005,FEASIBLE,
stromal cell,2000,9,1,20.0,1129,7,eye; lymph node; ovary; peripheral nervous system; sensory system; skin of body; testis,1.2,871,1129,FEASIBLE,
hematopoietic stem cell,858,10,2,49.5,281,3,blood; bone marrow; spleen,1.4,428,430,FEASIBLE,
hematopoietic precursor cell,2000,13,1,41.0,807,9,adipose tissue; blood; bone marrow; endocrine gland; exocrine gland; liver; lymph node; ovary; spleen,2.6,1000,1000,FEASIBLE,
non-classical monocyte,1284,13,1,32.0,642,14,adipose tissue; blood; bone marrow; exocrine gland; eye; heart; kidney; liver; lung; lymph node; musculature; pancreas; respiratory system; spleen,2.8,642,642,FEASIBLE,
classical monocyte,2000,14,1,45.0,436,11,blood; bone marrow; exocrine gland; eye; liver; lung; lymph node; ovary; pancreas; spleen; vasculature,2.8,999,1001,FEASIBLE,
smooth muscle cell,2000,14,3,58.5,670,12,adipose tissue; bladder organ; endocrine gland; eye; heart; musculature; ovary; prostate gland; respiratory system; skin of body; stomach; vasculature,3.4,999,1001,FEASIBLE,
neutrophil,2000,15,1,19.0,870,22,adipose tissue; bladder organ; blood; bone marrow; endocrine gland; exocrine gland; heart; kidney; liver; lung; lymph node; musculature; ovary; prostate gland; respiratory system; skin of body; small intestine; spleen; stomach; tongue; uterus; vasculature,4.3,1000,1000,FEASIBLE,
