cell_type,n_splits,median_ratio,mean_ratio,ci_lower,ci_upper,iqr,median_ws_residual,median_cs_residual,ratio_rank,raw_rank
B cell,100,4.34636823962172,4.467793305056606,3.0598243864191232,6.591853771629378,1.0796864173916494,2.424998727778097,10.737913786091099,1,17
"CD4-positive, alpha-beta T cell",100,3.295377790290204,3.2946954842809997,2.3589034457031333,4.402945869816395,0.8614600043790395,3.087183732778319,9.964973358236877,2,14
T cell,100,3.2179762886386625,3.2203368985881884,1.8651547918749116,4.9509465874531084,1.3755972260159113,3.690001485211452,12.012138693787549,3,7
natural killer cell,100,3.180436254217141,3.2478573014531933,2.2650891416452956,4.6465106486198895,0.8027492797071782,2.7939683180741866,8.907398199202508,4,23
mature NK T cell,100,2.9828061411494238,2.9920963709938486,1.882329624138473,4.433018732797602,0.9803276979664415,3.028528699220059,8.992783892897577,5,25
endothelial cell,100,2.91402167878882,2.988233780987254,1.903872758908236,4.557596984906145,0.7722689282835433,2.3179156535477494,6.77746688533132,6,33
hematopoietic precursor cell,100,2.5797919386804775,2.6290800704843265,1.954126823473803,3.6378847315713796,0.44615732132115715,5.606538543925456,14.408867046552059,7,3
hematopoietic stem cell,100,2.5685594505525025,2.6638720450116717,1.872627492635537,3.8754838139698817,0.6465718950815225,5.043549006415203,12.68944641972947,8,4
"CD8-positive, alpha-beta T cell",100,2.5650001402098797,2.6424625748397914,1.7892639759878615,3.8519677639791627,0.787160436898708,1.9456186075028623,4.951742093980301,9,35
classical monocyte,100,2.5177212885631843,2.6287171427274836,1.6883717340290143,4.434980078363309,0.8171679389598161,3.6126458769443426,9.030175564792941,10,15
plasma cell,100,2.436375632467001,2.5324988220863,1.455564149938331,3.8795911856172283,1.367717884248698,4.49456911375402,11.131456549542808,11,12
epithelial cell,73,2.3357531326843612,2.3453631064007476,2.1075304453159114,2.5936952815141394,0.2144057487602531,7.24315275663779,16.728687830631056,12,2
basal cell,100,2.2509164472592396,2.3121650168499825,1.4932140755805865,3.5759472775066103,0.7466539266918952,3.4472795884847134,7.81975583325427,13,6
macrophage,100,2.2020747978028328,2.2442675234943494,1.5885402426892004,3.1881886576491114,0.7589570030224886,4.753341473160514,10.250623865968965,14,16
smooth muscle cell,100,2.1636042052276387,2.254485738906446,1.4636577780120208,3.521551219913846,0.5988392379573328,3.6945502555558667,7.847588435723177,15,31
mesenchymal stem cell of adipose tissue,89,2.11289570332931,2.08454265123724,1.3691137955306603,2.668911565932562,0.3504649981549206,5.642875229494894,11.364911986855095,16,11
fibroblast of cardiac tissue,94,2.0846499798899822,2.2108319462473793,1.3112227741611315,3.577349664454946,0.763477122019228,6.211610409568342,13.37545016776551,17,9
bladder urothelial cell,100,1.9674208834874618,2.0216371769135058,0.9145190333256409,3.223705328817843,0.7043579734944014,3.419895574898666,6.618574428620592,18,29
neutrophil,100,1.9464546707301977,1.7871489120222304,0.7753700977505106,2.7627054921931706,0.7609889791023934,5.85662938899111,9.967775337109838,19,8
stromal cell,75,1.8877454362264476,1.8679324941859632,1.2476599658575658,2.590401266821656,0.5113285169720787,9.434930457043036,17.16459995502877,20,1
monocyte,100,1.8570412048957374,2.2330950145255675,1.2092847584286075,3.976109768552661,1.3485521777542961,4.795694160065986,8.52191488464291,21,22
fibroblast,100,1.842919889560247,1.9097525315548431,1.1636808513429073,2.8865512748161146,0.7926072964148112,3.5547348928039026,6.660788807385741,22,28
intermediate monocyte,100,1.8201085359516416,1.8225866245360072,1.2009226732106757,2.8210944992277036,0.4500343082191378,4.588360174053539,8.375729997717379,23,24
mesenchymal stem cell,100,1.8101886995068295,1.9376141766474861,0.9177929782398843,3.6415011886472572,1.0588299086900015,5.877900343365598,11.453802768157903,24,13
large intestine goblet cell,100,1.490652955657816,1.554948066611588,0.9011415112064964,2.507229140998231,0.4149542158104518,5.782001621620694,8.855998935465156,25,19
non-classical monocyte,99,1.4368592324903848,1.4831266168219939,0.9741442986979115,2.1585614424956097,0.3486796415456612,4.4554827006868365,6.534756757217162,26,34
myeloid dendritic cell,100,1.1451046518779615,1.1872222857876655,0.7114710769504662,1.7999386390344345,0.4130788224158106,7.591827674734163,8.514736296119647,27,21
enterocyte of epithelium of large intestine,100,1.1150835163438981,1.134791666761879,0.6285302965444125,1.4902484972035261,0.20398495852152232,6.639462952166326,7.697611265913964,28,20
myeloid leukocyte,79,1.0781946535200702,0.9780039758380975,0.4235136424095062,1.469135605501314,0.6231590374462046,15.861965116485724,11.637849061772545,29,10
adventitial cell,99,1.0454632887566604,1.0280454846060814,0.46123315852177776,1.6167773302569255,0.39669137676765565,8.772773864219648,8.548486458385026,30,26
hepatocyte,69,0.5878636895874234,0.640643506281211,0.4092238342941949,1.181495688032645,0.20254907845025572,9.277435643488177,5.398192926501601,31,32
granulocyte,96,0.5641189773007287,0.5581382541369456,0.3625628993830612,0.8244173584096889,0.18466777845131638,22.839466564559586,12.801560709972327,32,27
