cell_type,primary_raw,primary_ratio,census_raw,cellhint_raw,n_datasets,n_raw_datasets,median_raw_rank,iqr_raw_rank,min_raw_rank,max_raw_rank,median_ratio_rank,consensus_rank,stability,position
neutrophil,8,19.0,2.0,,3,2,5.0,3.0,2.0,8.0,19.0,1,stable,consistently_flexible
fibroblast of cardiac tissue,9,17.0,1.0,,3,2,5.0,4.0,1.0,9.0,17.0,2,moderate,consistently_flexible
hepatocyte,32,31.0,5.0,1.0,4,3,5.0,15.5,1.0,32.0,31.0,3,unstable,consistently_flexible
epithelial cell,2,12.0,13.0,,3,2,7.5,5.5,2.0,13.0,12.0,4,moderate,consistently_flexible
plasma cell,12,11.0,8.0,8.0,4,3,8.0,2.0,8.0,12.0,11.0,5,stable,consistently_flexible
myeloid leukocyte,10,29.0,7.0,,3,2,8.5,1.5,7.0,10.0,29.0,6,stable,middle
"CD4-positive, alpha-beta T cell",14,2.0,9.0,4.0,4,3,9.0,5.0,4.0,14.0,2.0,7,moderate,middle
T cell,7,3.0,11.0,,3,2,9.0,2.0,7.0,11.0,3.0,8,stable,middle
stromal cell,1,20.0,19.0,,3,2,10.0,9.0,1.0,19.0,20.0,9,unstable,middle
"CD8-positive, alpha-beta T cell",35,9.0,10.0,11.0,4,3,11.0,12.5,10.0,35.0,9.0,10,unstable,middle
myeloid dendritic cell,21,27.0,,3.0,3,2,12.0,9.0,3.0,21.0,27.0,11,unstable,middle
B cell,17,1.0,12.0,10.0,4,3,12.0,3.5,10.0,17.0,1.0,12,moderate,middle
mesenchymal stem cell,13,24.0,14.0,,3,2,13.5,0.5,13.0,14.0,24.0,13,stable,middle
basal cell,6,13.0,22.0,,3,2,14.0,8.0,6.0,22.0,13.0,14,unstable,middle
mature NK T cell,25,5.0,4.0,,3,2,14.5,10.5,4.0,25.0,5.0,15,unstable,middle
fibroblast,28,22.0,15.0,2.0,4,3,15.0,13.0,2.0,28.0,22.0,16,unstable,middle
natural killer cell,23,4.0,16.0,12.0,4,3,16.0,5.5,12.0,23.0,4.0,17,moderate,middle
macrophage,16,14.0,20.0,5.0,4,3,16.0,7.5,5.0,20.0,14.0,18,unstable,middle
granulocyte,27,32.0,6.0,,3,2,16.5,10.5,6.0,27.0,32.0,19,unstable,middle
pancreatic ductal cell,30,,3.0,,2,2,16.5,13.5,3.0,30.0,,20,unstable,middle
endothelial cell,33,6.0,17.0,9.0,4,3,17.0,12.0,9.0,33.0,6.0,21,unstable,middle
monocyte,22,21.0,18.0,7.0,4,3,18.0,7.5,7.0,22.0,21.0,22,unstable,middle
smooth muscle cell,31,15.0,21.0,6.0,4,3,21.0,12.5,6.0,31.0,15.0,23,unstable,middle
