pair_id,species,tissue_a,tissue_b,n_types,n_pca,distance,null_median,obs_to_null_ratio,p_value,significant_001
human_adipose tissue_vs_bladder organ,human,adipose tissue,bladder organ,6,6,16.612218839120775,34.910513410742986,0.4758514618123235,0.009299070092990702,True
human_adipose tissue_vs_blood,human,adipose tissue,blood,8,9,15.070679786185872,39.91327203122931,0.37758567562173634,9.999000099990002e-05,True
human_adipose tissue_vs_endocrine gland,human,adipose tissue,endocrine gland,6,7,10.377330419870747,29.445188917535187,0.35242872609626363,0.001999800019998,True
human_adipose tissue_vs_exocrine gland,human,adipose tissue,exocrine gland,6,7,11.114435871093686,26.263335413102478,0.4231920925606738,0.0022997700229977,True
human_adipose tissue_vs_lymph node,human,adipose tissue,lymph node,8,8,17.07787279956249,34.968960394733756,0.4883723338293573,0.0004999500049995,True
human_adipose tissue_vs_spleen,human,adipose tissue,spleen,11,12,20.66694596181069,48.486991482053945,0.42623692108139893,9.999000099990002e-05,True
human_blood_vs_bone marrow,human,blood,bone marrow,9,9,24.037216071861607,46.565738766037285,0.5161996074545938,9.999000099990002e-05,True
human_blood_vs_endocrine gland,human,blood,endocrine gland,6,7,17.06044735975048,24.021170336316153,0.7102254853069262,0.0410958904109589,False
human_blood_vs_liver,human,blood,liver,6,6,7.305926414479694,35.41561079196491,0.20629113125834503,0.0046995300469953,True
human_blood_vs_lung,human,blood,lung,6,6,13.696598543045472,36.18760215445525,0.3784887013122866,0.0736926307369263,False
human_blood_vs_lymph node,human,blood,lymph node,10,9,25.964645791636087,48.24745908381556,0.5381557139937725,0.00029997000299970003,True
human_blood_vs_spleen,human,blood,spleen,12,10,15.54277000930781,57.859467815939155,0.26862967455476805,9.999000099990002e-05,True
human_bone marrow_vs_liver,human,bone marrow,liver,6,8,12.756193187188913,27.616581538820164,0.46190341006752583,0.011398860113988602,False
human_bone marrow_vs_lymph node,human,bone marrow,lymph node,7,9,13.698220992925057,30.29676893894868,0.45213471510867964,0.0028997100289971,True
human_bone marrow_vs_spleen,human,bone marrow,spleen,8,8,20.122305489760404,38.70352872237527,0.5199088081632026,0.00029997000299970003,True
human_endocrine gland_vs_spleen,human,endocrine gland,spleen,6,6,17.458807664125292,33.2079997580504,0.5257410199749495,9.999000099990002e-05,True
human_exocrine gland_vs_spleen,human,exocrine gland,spleen,6,8,16.316451382279883,20.46487199291483,0.7972906641159946,0.16318368163183683,False
human_liver_vs_lymph node,human,liver,lymph node,8,9,22.770199320779305,34.967806100217786,0.6511760919606989,0.007499250074992501,True
human_liver_vs_spleen,human,liver,spleen,8,8,10.467572435788524,38.146888368522326,0.274401737165699,9.999000099990002e-05,True
human_lung_vs_lymph node,human,lung,lymph node,7,7,11.190845664514082,36.35544065676166,0.3078176323089822,0.0013998600139986002,True
human_lung_vs_spleen,human,lung,spleen,7,7,9.60021610068245,36.17249204880259,0.26540101488529444,0.00019998000199980003,True
human_lymph node_vs_spleen,human,lymph node,spleen,12,10,21.501213685268063,50.19028152713321,0.4283939645495784,9.999000099990002e-05,True
mouse_adipose tissue_vs_spleen,mouse,adipose tissue,spleen,6,6,15.303008707446196,22.07547749532845,0.693213032908782,0.0012998700129987,True
mouse_lung_vs_spleen,mouse,lung,spleen,6,5,15.78592030963628,24.71092891368198,0.6388234276735713,0.009299070092990702,True
