cell_type,cellhint_tissues,primary_tissues_all,primary_tissues_matched,n_cellhint_tissues,n_primary_tissues_all,n_intersection,n_primary_cells_all,n_primary_cells_matched,n_cellhint_cells,status
B cell,"Blood, Intestine, Kidney, Liver, Lung, Lymph_node","adipose tissue, bladder organ, blood, bone marrow, colon, endocrine gland, exocrine gland, eye, heart, kidney, large intestine, liver, lung, lymph node, respiratory system, skin of body, small intestine, spleen, stomach, tongue","blood, colon, kidney, large intestine, liver, lung, lymph node, small intestine",6,20,8,2000,1079,22597,keep
"CD4-positive, alpha-beta T cell","Blood, Intestine, Liver, Lung, Lymph_node","adipose tissue, bladder organ, blood, bone marrow, colon, endocrine gland, exocrine gland, eye, heart, kidney, large intestine, liver, lung, lymph node, musculature, prostate gland, respiratory system, skin of body, small intestine, spleen, stomach, tongue, uterus, vasculature","blood, colon, large intestine, liver, lung, lymph node, small intestine",5,24,7,2000,1138,24577,keep
"CD8-positive, alpha-beta T cell","Blood, Intestine, Liver, Lung, Lymph_node","adipose tissue, bladder organ, blood, bone marrow, colon, endocrine gland, exocrine gland, eye, heart, kidney, large intestine, liver, lung, lymph node, mucosa, musculature, ovary, pancreas, prostate gland, respiratory system, skin of body, small intestine, spleen, stomach, testis, tongue, uterus, vasculature","blood, colon, large intestine, liver, lung, lymph node, small intestine",5,28,7,2000,735,24308,keep
T cell,"Blood, Heart, Hippocampus, Intestine, Kidney, Liver, Lung, Lymph_node","adipose tissue, bladder organ, bone marrow, exocrine gland, eye, heart, kidney, liver, lymph node, musculature, ovary, prostate gland, respiratory system, skin of body, spleen, stomach, tongue, uterus, vasculature","heart, kidney, liver, lymph node",8,19,4,2000,418,24012,keep
endothelial cell,"Heart, Hippocampus, Intestine, Kidney, Liver, Lung, Lymph_node, Pancreas","adipose tissue, bladder organ, exocrine gland, heart, kidney, liver, lymph node, mucosa, musculature, ovary, pancreas, prostate gland, respiratory system, skin of body, spleen, testis, tongue, uterus, vasculature","heart, kidney, liver, lymph node, pancreas",8,19,5,2000,276,28666,keep
epithelial cell,"Intestine, Kidney, Lung","mucosa, musculature, ovary, skin of body, stomach",,3,5,0,1675,0,9537,excluded_low_overlap
fibroblast,"Heart, Intestine, Kidney, Liver, Lung","adipose tissue, bladder organ, colon, endocrine gland, exocrine gland, eye, heart, large intestine, liver, mucosa, pancreas, prostate gland, respiratory system, skin of body, small intestine, spleen, stomach, tongue, uterus, vasculature","colon, heart, large intestine, liver, small intestine",5,20,5,2000,144,16537,keep
hepatocyte,Liver,liver,liver,1,1,1,2000,2000,3568,keep
macrophage,"Hippocampus, Intestine, Liver, Lung, Lymph_node, Pancreas","adipose tissue, bladder organ, blood, bone marrow, endocrine gland, exocrine gland, eye, heart, kidney, liver, lung, lymph node, mucosa, musculature, ovary, pancreas, prostate gland, respiratory system, sensory system, skin of body, small intestine, spleen, stomach, testis, tongue, uterus, vasculature","liver, lung, lymph node, pancreas, small intestine",6,27,5,2000,675,19599,keep
monocyte,"Blood, Intestine, Kidney, Liver, Lung, Lymph_node","adipose tissue, bladder organ, blood, bone marrow, colon, endocrine gland, exocrine gland, eye, heart, kidney, large intestine, liver, lung, lymph node, musculature, ovary, pancreas, respiratory system, small intestine, spleen, stomach, tongue, uterus, vasculature","blood, colon, kidney, large intestine, liver, lung, lymph node, small intestine",6,24,8,2000,979,16295,keep
myeloid dendritic cell,"Blood, Intestine, Kidney, Liver, Lung, Lymph_node","adipose tissue, blood, bone marrow, colon, exocrine gland, eye, large intestine, liver, lung, lymph node, musculature, ovary, respiratory system, skin of body, small intestine, spleen, tongue, uterus, vasculature","blood, colon, large intestine, liver, lung, lymph node, small intestine",6,19,7,571,263,13728,keep
natural killer cell,"Blood, Heart, Intestine, Kidney, Liver, Lung, Lymph_node","adipose tissue, bladder organ, blood, bone marrow, endocrine gland, exocrine gland, eye, heart, kidney, large intestine, liver, lung, lymph node, musculature, pancreas, respiratory system, skin of body, small intestine, spleen, stomach, uterus, vasculature","blood, heart, kidney, large intestine, liver, lung, lymph node, small intestine",7,22,8,2000,972,22213,keep
neutrophil,Liver,"adipose tissue, bladder organ, blood, bone marrow, endocrine gland, exocrine gland, heart, kidney, liver, lung, lymph node, musculature, ovary, prostate gland, respiratory system, skin of body, small intestine, spleen, stomach, tongue, uterus, vasculature",liver,1,22,1,2000,22,2885,excluded_low_overlap
plasma cell,"Blood, Intestine, Liver, Lung, Lymph_node","adipose tissue, bladder organ, blood, bone marrow, colon, endocrine gland, exocrine gland, eye, heart, kidney, large intestine, liver, lung, lymph node, musculature, ovary, pancreas, respiratory system, skin of body, small intestine, spleen, stomach, tongue, uterus, vasculature","blood, colon, large intestine, liver, lung, lymph node, small intestine",5,25,7,2000,868,9493,keep
smooth muscle cell,"Heart, Hippocampus, Kidney, Lung","adipose tissue, bladder organ, endocrine gland, eye, heart, musculature, ovary, prostate gland, respiratory system, skin of body, stomach, vasculature",heart,4,12,1,2000,484,12420,keep
