rank,cell_type,residual_magnitude,pct_of_ssr,joint_rank,rank_delta
1,hematopoietic stem cell,14.07450165513982,7.128244597663418,4,-3
2,hematopoietic precursor cell,13.413158346628267,6.474088679609875,3,-1
3,stromal cell,13.3685429346976,6.431091535595504,1,2
4,pancreatic acinar cell,12.616578524209482,5.727956759136946,5,-1
5,epithelial cell,12.199754380420206,5.355730494671711,2,3
6,mesenchymal stem cell of adipose tissue,10.764665132339116,4.169822700804414,11,-5
7,T cell,10.742241145535823,4.1524683923454075,7,0
8,plasma cell,10.166233584370612,3.7190901764839737,12,-4
9,neutrophil,10.127093263641806,3.690508074069347,8,1
10,myeloid leukocyte,10.089704649737545,3.6633081134274557,10,0
11,monocyte,9.633350247559513,3.33942152239429,22,-11
12,macrophage,9.404231741222176,3.18246170065122,16,-4
13,fibroblast of cardiac tissue,9.287836853585091,3.1041714267969316,9,4
14,mesenchymal stem cell,9.25012127906426,3.0790120913602532,13,1
15,classical monocyte,9.059497787936664,2.953417114967559,15,0
16,"CD4-positive, alpha-beta T cell",8.58467433503588,2.651943028142414,14,2
17,basal cell,8.45088855908818,2.569929976720228,6,11
18,mature NK T cell,8.350148447430985,2.509024680890737,25,-7
19,intermediate monocyte,8.313717384473733,2.487179072511751,24,-5
20,large intestine goblet cell,8.0024638887594,2.3044324748390457,19,1
21,B cell,7.873528580024791,2.2307728861535,17,4
22,enterocyte of epithelium of large intestine,7.245546283521796,1.8891168020756992,20,2
23,fibroblast,7.239129357945281,1.8857721394484006,28,-5
24,myeloid dendritic cell,6.816905515828875,1.6722110537342387,21,3
25,luminal epithelial cell of mammary gland,6.65921192082346,1.5957402980815445,18,7
26,natural killer cell,6.644245536023533,1.588575598698146,23,3
27,granulocyte,6.572958445495339,1.5546703430566904,27,0
28,smooth muscle cell,6.058226421767696,1.3207102310677687,31,-3
29,non-classical monocyte,5.97357961940172,1.2840615862793072,34,-5
30,bladder urothelial cell,5.941111194972891,1.2701409036582927,29,1
31,pancreatic ductal cell,5.6875618452520165,1.1640424140301955,30,1
32,adventitial cell,5.479513418996378,1.0804396918051922,26,6
33,hepatocyte,5.399770476566897,1.0492214020549588,32,1
34,endothelial cell,4.892109358603329,0.8612095838314647,33,1
35,"CD8-positive, alpha-beta T cell",4.888708019388492,0.8600124529421204,35,0
