rank,cell_type,residual_magnitude,pct_of_ssr
1,T cell,9.84419680800865,20.45679882118458
2,endothelial cell,9.235492164093724,18.00516838284585
3,monocyte,6.537530668954944,9.022036450251855
4,B cell,6.220927165784162,8.169346788515002
5,neutrophil,5.877403307131646,7.292023924765094
6,mesenchymal stem cell,5.495860597769291,6.376003041309223
7,natural killer cell,5.325170425156211,5.986102122526033
8,"CD4-positive, alpha-beta T cell",5.160481788560844,5.621569682928511
9,enterocyte of epithelium of large intestine,4.899318723517461,5.066971778261966
10,mature NK T cell,3.961976989422945,3.3136069821630825
11,pancreatic acinar cell,3.9596515835294817,3.309718408386
12,macrophage,3.605034361852422,2.743442840336028
13,"CD8-positive, alpha-beta T cell",2.9575405197899065,1.8464540550727568
14,plasma cell,2.7616485928418193,1.6099557162859726
15,fibroblast,2.3651016313633106,1.1808010051680637
