cell_type,primary_residual,lemur_residual,primary_rank,lemur_rank,rank_shift
pancreatic acinar cell,12.837688508209771,3.9596515835294817,1,11,10
T cell,11.669226435501992,9.84419680800865,2,1,1
neutrophil,11.597880291489918,5.877403307131646,3,5,2
plasma cell,11.083711716328304,2.7616485928418193,4,14,10
mesenchymal stem cell,10.340755101730728,5.495860597769291,5,6,1
"CD4-positive, alpha-beta T cell",10.21169775481372,5.160481788560844,6,8,2
macrophage,9.878522208732337,3.605034361852422,7,12,5
B cell,9.84610068589495,6.220927165784162,8,4,4
enterocyte of epithelium of large intestine,9.297263435043051,4.899318723517461,9,9,0
monocyte,8.722374107298508,6.537530668954944,10,3,7
natural killer cell,8.686951760199305,5.325170425156211,11,7,4
mature NK T cell,8.274654323291125,3.961976989422945,12,10,2
fibroblast,7.507943223117857,2.3651016313633106,13,15,2
endothelial cell,5.971302732274846,9.235492164093724,14,2,12
"CD8-positive, alpha-beta T cell",5.3762488830814785,2.9575405197899065,15,13,2
