cell_type,old_top1_ensembl,old_top1_symbol,old_top1_was_ribosomal,new_top1_ensembl,new_top1_symbol,new_top1_loading
B cell,ENSG00000182899,RPL35A,True,ENSG00000198840,MT-ND3,-0.0929993528671347
"CD4-positive, alpha-beta T cell",ENSG00000182899,RPL35A,True,ENSG00000198840,MT-ND3,-0.08137514047636538
"CD8-positive, alpha-beta T cell",ENSG00000182899,RPL35A,True,ENSG00000149806,FAU,0.08968890724418781
T cell,ENSG00000142937,RPS8,True,ENSG00000198840,MT-ND3,-0.08492595199834346
adventitial cell,ENSG00000198918,RPL39,True,ENSG00000198840,MT-ND3,-0.11273928638573724
basal cell,ENSG00000182899,RPL35A,True,ENSG00000149806,FAU,0.10244139771641417
bladder urothelial cell,ENSG00000182899,RPL35A,True,ENSG00000204628,RACK1,0.10951386028811144
classical monocyte,ENSG00000196154,S100A4,False,ENSG00000196154,S100A4,-0.07824683804501012
endothelial cell,ENSG00000182899,RPL35A,True,ENSG00000187514,PTMA,0.09693658173873425
enterocyte of epithelium of large intestine,ENSG00000233927,RPS28,True,ENSG00000170421,KRT8,-0.09214019367777426
epithelial cell,ENSG00000182899,RPL35A,True,ENSG00000198840,MT-ND3,-0.08553012825260567
fibroblast,ENSG00000182899,RPL35A,True,ENSG00000011465,DCN,-0.14190982622316933
fibroblast of cardiac tissue,ENSG00000182899,RPL35A,True,ENSG00000149806,FAU,0.13116242119942592
granulocyte,ENSG00000142937,RPS8,True,ENSG00000115590,IL1R2,-0.0858929258872265
hematopoietic precursor cell,ENSG00000147403,RPL10,True,ENSG00000233276,GPX1,0.0786333896292421
hematopoietic stem cell,ENSG00000113648,MACROH2A1,False,ENSG00000113648,MACROH2A1,-0.07957735135564797
hepatocyte,ENSG00000167996,FTH1,False,ENSG00000167996,FTH1,0.07708567405612886
intermediate monocyte,ENSG00000188641,DPYD,False,ENSG00000090382,LYZ,-0.07109049935939793
large intestine goblet cell,ENSG00000106541,AGR2,False,ENSG00000106541,AGR2,-0.08693194795056036
luminal epithelial cell of mammary gland,ENSG00000182899,RPL35A,True,ENSG00000149806,FAU,0.11334192432036876
macrophage,ENSG00000182899,RPL35A,True,ENSG00000143546,S100A8,0.07847888767020689
mature NK T cell,ENSG00000151883,PARP8,False,ENSG00000151883,PARP8,-0.07112044587759746
mesenchymal stem cell,ENSG00000198918,RPL39,True,ENSG00000198840,MT-ND3,-0.08305993223551145
mesenchymal stem cell of adipose tissue,ENSG00000182899,RPL35A,True,ENSG00000198840,MT-ND3,-0.08893708525142839
monocyte,ENSG00000143546,S100A8,False,ENSG00000143546,S100A8,0.1602333172510015
myeloid dendritic cell,ENSG00000198918,RPL39,True,ENSG00000196154,S100A4,-0.08506597402609542
myeloid leukocyte,ENSG00000182899,RPL35A,True,ENSG00000143546,S100A8,0.09537032061327493
natural killer cell,ENSG00000182899,RPL35A,True,ENSG00000198840,MT-ND3,-0.07062026587932024
neutrophil,ENSG00000105835,NAMPT,False,ENSG00000105835,NAMPT,0.10693920216441483
non-classical monocyte,ENSG00000198918,RPL39,True,ENSG00000196154,S100A4,-0.08224701714647069
pancreatic acinar cell,ENSG00000147403,RPL10,True,ENSG00000198840,MT-ND3,-0.0994646694656908
pancreatic ductal cell,ENSG00000147403,RPL10,True,ENSG00000075624,ACTB,0.07597395169651397
plasma cell,ENSG00000180879,SSR4,False,ENSG00000180879,SSR4,-0.08434652502526466
smooth muscle cell,ENSG00000147403,RPL10,True,ENSG00000125740,FOSB,-0.08585690086886077
stromal cell,ENSG00000197766,CFD,False,ENSG00000197766,CFD,-0.06595879152407232
