cell_type,human_mt_fraction,mouse_mt_fraction,combined_mt_fraction,rigidity_rank
B cell,0.08034215867519379,0.0,0.04017107933759689,17
"CD4-positive, alpha-beta T cell",0.06067410111427307,0.0,0.030337050557136536,14
"CD8-positive, alpha-beta T cell",0.07511071115732193,0.0,0.037555355578660965,35
T cell,0.07332564145326614,0.0,0.03666282072663307,7
adventitial cell,0.07366441190242767,0.0,0.03683220595121384,26
basal cell,0.12133574485778809,0.0,0.06066787242889404,6
bladder urothelial cell,0.1444585919380188,0.0,0.0722292959690094,29
classical monocyte,0.05645829066634178,0.0,0.02822914533317089,15
endothelial cell,0.07896634191274643,0.0,0.039483170956373215,33
enterocyte of epithelium of large intestine,0.5693932771682739,0.0,0.28469663858413696,20
epithelial cell,0.16634495556354523,0.0,0.08317247778177261,2
fibroblast,0.07774728536605835,0.0,0.038873642683029175,28
fibroblast of cardiac tissue,0.12801270186901093,0.0,0.06400635093450546,9
granulocyte,0.0514814518392086,0.0,0.0257407259196043,27
hematopoietic precursor cell,0.06536535173654556,0.0,0.03268267586827278,3
hematopoietic stem cell,0.05733947828412056,0.0,0.02866973914206028,4
hepatocyte,0.2657262682914734,0.0,0.1328631341457367,32
intermediate monocyte,0.06364833563566208,0.0,0.03182416781783104,24
large intestine goblet cell,0.32546141743659973,0.0,0.16273070871829987,19
luminal epithelial cell of mammary gland,0.06795953959226608,0.0,0.03397976979613304,18
macrophage,0.09867336601018906,0.0,0.04933668300509453,16
mature NK T cell,0.10932435095310211,0.0,0.054662175476551056,25
mesenchymal stem cell,0.07701511681079865,0.0,0.03850755840539932,13
mesenchymal stem cell of adipose tissue,0.08206940442323685,0.0,0.04103470221161842,11
monocyte,0.06540488451719284,0.0,0.03270244225859642,22
myeloid dendritic cell,0.0779963955283165,0.0,0.03899819776415825,21
myeloid leukocyte,0.13862602412700653,0.0,0.06931301206350327,10
natural killer cell,0.07458756119012833,0.0,0.03729378059506416,23
neutrophil,0.033741340041160583,0.0,0.016870670020580292,8
non-classical monocyte,0.07825685292482376,0.0,0.03912842646241188,34
pancreatic acinar cell,0.1129562184214592,0.0,0.0564781092107296,5
pancreatic ductal cell,0.19590020179748535,0.0,0.09795010089874268,30
plasma cell,0.06267078220844269,0.0,0.031335391104221344,12
smooth muscle cell,0.09368009120225906,0.0,0.04684004560112953,31
stromal cell,0.08313854783773422,0.0,0.04156927391886711,1
