cell_type,n_markers,markers,n_retained_1to1,retention_fraction,residual_magnitude
"CD8-positive, alpha-beta T cell",2,CD8A;CD8B,1,0.5,5.376
endothelial cell,2,PECAM1;VWF,2,1.0,5.971
non-classical monocyte,1,FCGR3A,0,0.0,5.893
hepatocyte,2,ALB;CPS1,2,1.0,6.059
smooth muscle cell,2,ACTA2;MYH11,2,1.0,6.705
pancreatic ductal cell,1,KRT19,1,1.0,6.788
bladder urothelial cell,1,UPK1A,1,1.0,7.398
fibroblast,2,COL1A1;DCN,2,1.0,7.508
granulocyte,0,,0,,7.932
adventitial cell,0,,0,,8.08
mature NK T cell,0,,0,,8.275
intermediate monocyte,0,,0,,8.428
natural killer cell,2,NCR1;KLRD1,2,1.0,8.687
monocyte,1,CD14,1,1.0,8.722
myeloid dendritic cell,2,ITGAX;HLA-DRA,2,1.0,8.899
enterocyte of epithelium of large intestine,1,FABP2,1,1.0,9.297
large intestine goblet cell,1,MUC2,0,0.0,9.467
luminal epithelial cell of mammary gland,2,KRT18;EPCAM,2,1.0,9.654
B cell,2,CD74;CD79A,2,1.0,9.846
macrophage,2,CD163;CD68,1,0.5,9.879
classical monocyte,2,CD14;LYZ,2,1.0,9.929
"CD4-positive, alpha-beta T cell",2,PTPRC;CD4,2,1.0,10.212
mesenchymal stem cell,0,,0,,10.341
plasma cell,2,SDC1;MZB1,2,1.0,11.084
mesenchymal stem cell of adipose tissue,0,,0,,11.432
myeloid leukocyte,0,,0,,11.509
fibroblast of cardiac tissue,0,,0,,11.522
neutrophil,2,S100A8;S100A9,1,0.5,11.598
T cell,2,CD3D;CD3E,2,1.0,11.669
basal cell,2,KRT5;TP63,1,0.5,12.766
pancreatic acinar cell,1,PRSS1,0,0.0,12.838
hematopoietic stem cell,1,CD34,1,1.0,14.948
hematopoietic precursor cell,0,,0,,15.354
epithelial cell,1,EPCAM,1,1.0,16.267
stromal cell,0,,0,,16.985
