dataset_id,species,collection_id,collection_name,dataset_title,dataset_version_id,dataset_total_cell_count,collection_doi,citation,census_version
047d57f2-4d14-45de-aa98-336c6f583750,Mus musculus,48d354f5-a5ca-4f35-a3bb-fa3687502252,"LungMAP — The genomic, epigenomic and biophysical cues controlling the emergence of the gas exchange niche in the lung.",Developmental single-cell atlas of the murine lung,5d0145c4-d9f4-4938-80fb-387c84cb8cbb,67794,10.1126/science.abc3172,Publication: https://doi.org/10.1126/science.abc3172 Dataset Version: https://datasets.cellxgene.cziscience.com/5d0145c4-d9f4-4938-80fb-387c84cb8cbb.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/48d354f5-a5ca-4f35-a3bb-fa3687502252,2025-11-08
25818bf7-e2a7-41ec-8ff2-bc369c0ff4f5,Mus musculus,30af2f92-7d2d-440e-b81c-e66079b5728b,Multi-omic and spatial analysis of mouse kidneys highlights sex-specific differences in gene regulation across the lifespan,Multi-omic and spatial analysis of mouse kidneys highlights sex-specific differences in gene regulation across the lifespan,7797cff2-2490-4976-90ec-abf564c52124,203139,10.1038/s41588-025-02161-x,Publication: https://doi.org/10.1038/s41588-025-02161-x Dataset Version: https://datasets.cellxgene.cziscience.com/7797cff2-2490-4976-90ec-abf564c52124.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/30af2f92-7d2d-440e-b81c-e66079b5728b,2025-11-08
49e4ffcc-5444-406d-bdee-577127404ba8,Mus musculus,296237e2-393d-4e31-b590-b03f74ac5070,"Mouse pancreatic islet scRNA-seq atlas across sexes, ages, and stress conditions including diabetes","Mouse pancreatic islet scRNA-seq atlas across sexes, ages, and stress conditions including diabetes",49243c50-bf0c-4b10-87f8-55ec9f455399,301796,10.1038/s42255-023-00876-x,Publication: https://doi.org/10.1038/s42255-023-00876-x Dataset Version: https://datasets.cellxgene.cziscience.com/49243c50-bf0c-4b10-87f8-55ec9f455399.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/296237e2-393d-4e31-b590-b03f74ac5070,2025-11-08
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670,Mus musculus,4fefa187-5d14-4f1e-915b-c892ed320aab,A human embryonic limb cell atlas resolved in space and time,mouse_limb_scRNAseq,c3fb3c96-981f-422c-bfd0-1651cee7e2c0,215067,10.1038/s41586-023-06806-x,Publication: https://doi.org/10.1038/s41586-023-06806-x Dataset Version: https://datasets.cellxgene.cziscience.com/c3fb3c96-981f-422c-bfd0-1651cee7e2c0.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/4fefa187-5d14-4f1e-915b-c892ed320aab,2025-11-08
58b01044-c5e5-4b0f-8a2d-6ebf951e01ff,Mus musculus,e9eec7f5-8519-42f6-99b4-6dbd9cc5ef03,Humoral immunity at the brain borders in homeostasis,A scRNA-seq atlas of immune cells at the CNS borders,266e302b-3f58-49bb-bad8-9d12963973ea,130908,10.1016/j.coi.2022.102188,Publication: https://doi.org/10.1016/j.coi.2022.102188 Dataset Version: https://datasets.cellxgene.cziscience.com/266e302b-3f58-49bb-bad8-9d12963973ea.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/e9eec7f5-8519-42f6-99b4-6dbd9cc5ef03,2025-11-08
6c6b4c47-096d-4084-97e7-714ee10c556c,Mus musculus,bae2ee8c-b49c-41d0-9097-960d18a39e20,Time-resolved single-cell analysis of Brca1 associated mammary tumourigenesis reveals aberrant differentiation of luminal progenitors,Time-resolved single-cell analysis of Brca1 associated mammary tumourigenesis reveals aberrant differentiation of luminal progenitors,ecf3b34d-161f-4ad9-986b-124579babfe1,197896,10.1038/s41467-021-21783-3,Publication: https://doi.org/10.1038/s41467-021-21783-3 Dataset Version: https://datasets.cellxgene.cziscience.com/ecf3b34d-161f-4ad9-986b-124579babfe1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bae2ee8c-b49c-41d0-9097-960d18a39e20,2025-11-08
731e0ae7-e600-470f-a6dc-8c35c28d6c3d,Mus musculus,613f5480-4957-4f80-b804-0e2b85ac454c,Mouse perinatal heart maturation scRNA-seq,Mouse perinatal heart maturation scRNA-seq,2ab199f4-8b57-4ecf-827d-ac23819446b1,49769,10.1101/2024.03.05.583423,Publication: https://doi.org/10.1101/2024.03.05.583423 Dataset Version: https://datasets.cellxgene.cziscience.com/2ab199f4-8b57-4ecf-827d-ac23819446b1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/613f5480-4957-4f80-b804-0e2b85ac454c,2025-11-08
7b6bab5a-f9c4-4a56-9ed4-3b9079b14867,Mus musculus,24e324a1-b42d-4438-9bb5-cf5233fa90b0,Single cell transcriptomic analyses of the dynamic local and systemic response to cardiac injury in mice and zebrafish.,Mouse -- all cells,0f1d964f-af91-4a44-b834-c816242ae74b,194315,10.1038/s42003-024-07315-x,Publication: https://doi.org/10.1038/s42003-024-07315-x Dataset Version: https://datasets.cellxgene.cziscience.com/0f1d964f-af91-4a44-b834-c816242ae74b.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/24e324a1-b42d-4438-9bb5-cf5233fa90b0,2025-11-08
a2da8d7b-54a8-47d1-a0d3-aafcd0535f00,Mus musculus,fe0e718d-2ee9-42cc-894b-0b490f437dfd,A single-cell atlas of human and mouse white adipose tissue,A Single-Cell Atlas of Mouse White Adipose Tissue,6903db70-02fc-4a83-b98f-672a053c8cc8,197721,10.1038/s41586-022-04518-2,Publication: https://doi.org/10.1038/s41586-022-04518-2 Dataset Version: https://datasets.cellxgene.cziscience.com/6903db70-02fc-4a83-b98f-672a053c8cc8.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fe0e718d-2ee9-42cc-894b-0b490f437dfd,2025-11-08
2adb1f8a-a6b1-4909-8ee8-484814e2d4bf,Homo sapiens,38833785-fac5-48fd-944a-0f62a4c23ed1,Construction of a human cell landscape at single-cell level,Construction of a human cell landscape at single-cell level,74c3403a-451c-4a62-84e0-d8a8e45c7ea7,598266,10.1038/s41586-020-2157-4,Publication: https://doi.org/10.1038/s41586-020-2157-4 Dataset Version: https://datasets.cellxgene.cziscience.com/74c3403a-451c-4a62-84e0-d8a8e45c7ea7.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/38833785-fac5-48fd-944a-0f62a4c23ed1,2025-11-08
