pair,weighting,k,retained_dimension_p,chance_level_k_over_p,S_pre,null_mean_pre,margin_pre,p_pre,S_post,null_mean_post,margin_post,p_post
Human-Macaque,W0_unscaled,1,37,0.027,0.9213391341173681,0.8305156905992188,0.0908234435181493,9.999000099990002e-05,0.5799916341870501,0.5345641123881498,0.045427521798900306,9.999000099990002e-05
Human-Macaque,W0_unscaled,3,37,0.0811,0.7322442201640471,0.5249081628718082,0.20733605729223892,9.999000099990002e-05,0.48992577989638625,0.3660012077825646,0.12392457211382163,9.999000099990002e-05
Human-Macaque,W0_unscaled,5,37,0.1351,0.7363170488854334,0.4931430715172375,0.24317397736819585,9.999000099990002e-05,0.5194230730860797,0.3677787764591187,0.151644296626961,9.999000099990002e-05
Human-Macaque,W2_schemeB,1,48,0.0208,0.8764498014055147,0.6785324148849278,0.19791738652058688,9.999000099990002e-05,0.4775909812720924,0.38806968324563684,0.08952129802645553,9.999000099990002e-05
Human-Macaque,W2_schemeB,3,48,0.0625,0.7338929549928178,0.4456896697780909,0.28820328521472693,9.999000099990002e-05,0.4229164432477111,0.25776886949500394,0.16514757375270717,9.999000099990002e-05
Human-Macaque,W2_schemeB,5,48,0.1042,0.7216277074650997,0.40567164458993626,0.3159560628751635,9.999000099990002e-05,0.4534224725784531,0.2603572110724347,0.19306526150601838,9.999000099990002e-05
Human-Marmoset,W0_unscaled,1,40,0.025,0.8882495872197859,0.8435624556733825,0.04468713154640336,9.999000099990002e-05,0.46379170192068864,0.4501373867141636,0.013654315206525047,9.999000099990002e-05
Human-Marmoset,W0_unscaled,3,40,0.075,0.7151051038898418,0.5803100903939795,0.13479501349586231,9.999000099990002e-05,0.41187100074031957,0.358644777576306,0.0532262231640136,9.999000099990002e-05
Human-Marmoset,W0_unscaled,5,40,0.125,0.6874039273816114,0.5271590714771994,0.16024485590441195,9.999000099990002e-05,0.4307067129551005,0.3564555268194819,0.0742511861356186,9.999000099990002e-05
Human-Marmoset,W2_schemeB,1,49,0.0204,0.8518011596880434,0.7256574399381284,0.126143719749915,9.999000099990002e-05,0.4471726482044174,0.39753173692315397,0.04964091128126341,9.999000099990002e-05
Human-Marmoset,W2_schemeB,3,49,0.0612,0.7132036299484052,0.5147308669892499,0.1984727629591554,9.999000099990002e-05,0.3607039095172563,0.28107282884288737,0.07963108067436891,9.999000099990002e-05
Human-Marmoset,W2_schemeB,5,49,0.102,0.6832139029840401,0.45620463248260346,0.2270092705014366,9.999000099990002e-05,0.4055356022637694,0.29144151464130874,0.11409408762246065,9.999000099990002e-05
Macaque-Marmoset,W0_unscaled,1,39,0.0256,0.9155370578776628,0.8314271204254845,0.08410993745217832,9.999000099990002e-05,0.7898291455456548,0.7324186045658203,0.057410540979834446,9.999000099990002e-05
Macaque-Marmoset,W0_unscaled,3,39,0.0769,0.7061451021645032,0.5570696222272771,0.14907547993722614,9.999000099990002e-05,0.5122885613864901,0.42690528881249246,0.08538327257399769,9.999000099990002e-05
Macaque-Marmoset,W0_unscaled,5,39,0.1282,0.7017586664286827,0.5236966366560312,0.1780620297726515,9.999000099990002e-05,0.497450006708949,0.3892207206489562,0.10822928605999282,9.999000099990002e-05
Macaque-Marmoset,W2_schemeB,1,47,0.0213,0.8817185703071159,0.7206053161738175,0.16111325413329836,9.999000099990002e-05,0.7607887964933628,0.6585738171207066,0.10221497937265622,9.999000099990002e-05
Macaque-Marmoset,W2_schemeB,3,47,0.0638,0.6819778136779705,0.4951019316475189,0.18687588203045158,9.999000099990002e-05,0.4955166859902134,0.39823942111904764,0.09727726487116578,9.999000099990002e-05
Macaque-Marmoset,W2_schemeB,5,47,0.1064,0.6827207992771034,0.4401995435585716,0.24252125571853178,9.999000099990002e-05,0.4805382301058158,0.3400633531800604,0.1404748769257554,9.999000099990002e-05
