cell_type,residual_magnitude,distance_from_centroid_of_centroids,distance_mouse_aligned,distance_mean
stromal cell,16.9846041341348,19.138823,16.818632344349687,19.405325998835
epithelial cell,16.267367489353877,22.657503,15.279811255672529,17.88540333138851
hematopoietic precursor cell,15.353904408818458,19.032955,16.34275752487576,17.909198434068742
hematopoietic stem cell,14.948363283377729,20.054192,15.837618083347346,17.7908402535267
pancreatic acinar cell,12.837688594878431,27.737808,22.18980396308746,23.228901806067654
basal cell,12.766120106567772,17.689234,24.70495467362366,21.197094226765444
T cell,11.6692269067686,19.744062,23.932051714900478,25.78937962484526
neutrophil,11.597880471619911,35.80583,17.950375768740702,20.879929171601795
fibroblast of cardiac tissue,11.521942098067845,26.65076,18.90037011803226,20.013741730158706
myeloid leukocyte,11.509243430236452,20.318193,28.759319101503102,27.285316365326747
mesenchymal stem cell of adipose tissue,11.432483543303087,21.304985,9.662825855113573,16.160164491582666
plasma cell,11.08371214465073,20.866985,17.0306103556203,19.414212839248137
mesenchymal stem cell,10.340754391560042,25.635105,22.070031122624055,24.360395886629412
"CD4-positive, alpha-beta T cell",10.211698563463658,20.490995,22.361906419993325,24.670116608739338
classical monocyte,9.928629071770706,23.809483,16.071063674681493,17.552009422179616
macrophage,9.878521596512742,17.4724,27.082128428168502,23.568160008761986
B cell,9.84610112138252,21.99202,33.97384101037011,36.097577243466304
luminal epithelial cell of mammary gland,9.654116563262326,22.8519,18.906043298809116,20.63040507225612
large intestine goblet cell,9.466734638660926,26.528563,28.0115893056194,27.27007592569788
enterocyte of epithelium of large intestine,9.297263662454778,25.811314,17.175615446363775,20.013757773535893
myeloid dendritic cell,8.89893574968405,14.624282,10.445527425734776,13.958964045508989
monocyte,8.722374361155943,19.6006,18.399208658619518,18.80141001626044
natural killer cell,8.686952230151256,21.905851,20.44873242985406,23.04191878145535
intermediate monocyte,8.427985804097924,22.354767,23.87997046980671,22.592477758096713
mature NK T cell,8.274654318351216,19.203611,15.367112224699145,17.483855756819786
adventitial cell,8.080278959398049,24.268,17.840383444013487,16.232332663626615
granulocyte,7.932489397373834,26.978327,14.6702951723453,17.494244304007122
fibroblast,7.507943061646416,21.797815,15.127064783638819,18.51645807388728
bladder urothelial cell,7.3981094146785225,27.646708,27.019882059757407,31.412855077119914
pancreatic ductal cell,6.78764077363287,26.603418,18.415293785834024,19.239954517733906
smooth muscle cell,6.705380128970208,23.62395,33.04501127589898,30.39140975171902
hepatocyte,6.058641729291517,38.221313,22.67579366337337,24.639606006796548
endothelial cell,5.971302543183916,21.127113,17.531942061678354,19.199463691361636
non-classical monocyte,5.892877370758778,20.064615,20.81772726642419,22.220838158663753
"CD8-positive, alpha-beta T cell",5.376250347634783,19.47564,20.814006750060507,19.97641465280125
