drug_name,deformation,deformation_std,n_replicates
"1,2,3,4,5,6-hexabromocyclohexane",13071.601,1641.6604515776485,3
"1,2-dichlorobenzene",12993.255,2079.0988662979466,3
1-benzylimidazole,13362.269,319.7256221962945,3
1-monopalmitin,18900.344,13188.651889932744,3
1-phenylbiguanide,11406.78,1955.8638317867449,3
10-hydroxycamptothecin,11642.234,738.0025401073858,3
15-delta-prostaglandin-j2,13639.324,1922.850730202309,6
"16,16-dimethylprostaglandin-e2",19204.781,4831.145696528155,3
17-hydroxyprogesterone-caproate,12669.757,783.9544823977647,3
"2',5'-dideoxyadenosine",15240.401,5100.001715416371,3
2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol,14937.737,421.53543245416915,3
2-aminopurine,9830.289,796.5142932424762,3
"3,3'-diindolylmethane",10770.03,1413.2801425034636,6
"3,6-dimethoxyflavone",11449.219,2683.0883693197484,2
3-matida,13015.204,3660.373341224575,3
3-methyl-gaba,15315.151,9376.749382846574,3
"4,5,6,7-tetrabromobenzotriazole",16910.314,8388.559662688534,2
4-(2-amino-ethyl)-benzenesulfonamide,15383.925,478.63018506139764,3
4-carboxy-3-hydroxyphenylglycine-(rs),9102.839,1979.8767027769825,3
4-hydroxy-2-nonenal,12919.148,1805.0882422269053,2
4-hydroxyretinoic-acid,11211.663,2464.7428293756143,3
5-iodotubercidin,22941.062,3501.1033269349014,3
5-methoxytryptamine,14132.906,2313.8238345386817,6
5-methylhydantoin,11779.028,2914.676029099124,3
5-nonyloxytryptamine,11198.884,773.3242940229175,3
6-hydroxytropinone,17161.42,2133.890496202077,3
"7,4'-dihydroxyflavone",11353.13,2372.6593187952944,3
"7,8-dihydro-l-biopterin",9554.617,1216.4947333859157,3
7-hydroxy-pipat,11954.511,2650.0327201703603,3
7-nitroindazole,13366.489,221.19831222907172,3
7b-cis,13402.36,2213.526554861555,3
"9-methyl-5h-6-thia-4,5-diaza-chrysene-6,6-dioxide",13863.739,5053.030328223651,3
a-23187,27023.02,3751.407950474937,4
a-443644,17714.291,2291.6279208754004,3
abt-751,15018.016,3022.4358107655335,3
ac-55649,15148.481,5546.057521804894,3
acadesine,13698.86,1409.550744505035,3
acamprosate,13233.481,2116.1779278494637,3
acarbose,13358.066,2060.178320919452,6
acepromazine,13128.575,2964.8580761186067,3
acetyl-farnesyl-cysteine,13591.464,317.5196452979065,3
acetyl-geranygeranyl-cysteine,9690.855,845.0122280140856,3
acetyl-geranyl-cysteine,22472.28,13822.219504627767,3
acitretin,15383.087,4719.904626103878,3
acyclovir,10592.101,1594.5169687371026,3
adipiodone,11825.131,4380.782697552049,2
afatinib,11365.097,224.88316983120646,3
ag-370,10665.042,3745.532510961357,3
ag-490,13218.742,3012.6084124702156,6
ag-494,14285.915,2385.430243046558,3
ag-592,20774.111,6912.699824974562,3
ag-957,15876.11,4302.542398854175,6
agk-2,13255.273,2634.032953925319,3
aica-ribonucleotide,13828.901,4459.407579678787,3
akt-inhibitor-iv,15477.254,2802.7911261210384,3
alaproclate,14285.781,4836.173249397948,5
albendazole,12449.735,3528.385368892778,5
alclometasone,12538.174,3154.736546186521,5
alfadolone-acetate,15162.278,7922.372420780733,3
alfuzosin,14185.208,3839.568094510941,5
alisertib,20919.781,4724.508486188479,3
aliskiren,15649.591,3552.763816320056,5
alitretinoin,10578.235,2156.786575672949,3
aloisine,15318.772,8896.333951670102,6
alpha-estradiol,19087.93,1181.4526596212029,3
alpha-linolenic-acid,23040.555,19402.633044213428,2
alprenolol,15855.266,5803.797766205213,6
alprostadil,13272.574,6181.782133352232,3
alrestatin,16413.328,5711.385496797373,6
altanserin,13043.8955,3467.1590818566133,3
altrenogest,13466.411,4967.482919371785,5
altretamine,15499.653,3092.9734802837693,6
alverine,10565.79,1201.3965183228563,2
alvespimycin,21172.818,6839.2536539267,3
alvocidib,13948.829,364.244849816303,6
alw-ii-38-3,12438.167,2758.017937273911,3
alw-ii-49-7,11661.8545,560.6570494493554,3
am-251,16441.268,5058.716573400001,6
am-404,13126.398,1790.9859586998975,3
am-580,12482.023,2636.6132533118707,6
am-630,19033.139,10510.080064436974,3
am-92016,14117.3955,2783.9915533570247,3
amantadine,15169.08,6493.070856836379,2
ambroxol,16220.748,4736.7843597071915,5
amcinonide,12116.712,2269.0141806353113,5
amg-9810,15650.674,4787.571720879462,5
amiloride,13580.883,3183.878746577807,3
aminogenistein,14348.181,4688.9391320611,3
aminoglutethimide,12156.045,3956.9424213887983,8
aminoindazole,10986.526,692.2528370608183,3
aminomethyltransferase,13609.946,3099.610352076985,3
aminopentamide,14907.701,5566.37125309221,5
aminopurvalanol-a,17682.252,8194.62261108445,3
amiodarone,13214.987,1835.445284538193,9
amitriptyline,11186.402,1636.4170346232056,2
amlodipine,14733.325,4863.84562376725,5
amn-082,15002.569,8531.51025052375,3
amodiaquine,24705.867,8083.864200289542,4
amonafide,11724.95,740.6444654743325,3
amoxapine,13502.882,4942.77547932998,6
amperozide,14533.935,4702.614339614879,5
amsacrine,16586.121,3289.404894108079,4
amthamine,12789.091,1843.65624352891,3
anabasine,10371.306,489.5030392954101,3
anagrelide,13918.231,5793.121235471822,5
anandamide,12964.692,2331.2544520079005,5
anastrozole,10758.984,1360.7549550319407,3
andarine,10346.946,1784.6777913272067,3
"androsta-1,4-dien-3,17-dione",12670.162,5334.529566977603,2
androstanol,9246.87,990.1692605185027,3
androstenedione,10102.949,2439.4767313692105,3
androstenol,9440.739,762.8301225553266,3
angiogenesis-inhibitor,13502.849,1818.6547518431753,3
aniracetam,16259.309,6241.869791751926,2
anisomycin,18580.283,2604.8517723630102,3
anthothecol,20068.799,4458.215372756568,6
antimycin-a,12085.171,150.82623556132523,3
apafant,16059.974,7213.216740481551,3
apha-compound-8,14256.891,4261.06237439395,3
apicidin,19232.516,7381.524930566781,6
apigenin,13354.602,5617.877345605076,12
apoptosis-activator-ii,22427.443,10621.089020327941,3
