compound_name,dili_class,matched_name,drug_name,deformation,deformation_std,n_replicates
Acamprosate calcium,less-concern,acamprosate,acamprosate,13233.481,2116.1779278494637,3
Acarbose,most-concern,acarbose,acarbose,13358.066,2060.178320919452,6
Acitretin,most-concern,acitretin,acitretin,15383.087,4719.904626103878,3
Acyclovir,less-concern,acyclovir,acyclovir,10592.101,1594.5169687371026,3
Afatinib dimaleate,ambiguous,afatinib,afatinib,11365.097,224.88316983120646,3
Alaproclate,most-concern,alaproclate,alaproclate,14285.781,4836.173249397948,5
Albendazole,most-concern,albendazole,albendazole,12449.735,3528.385368892778,5
Alfuzosin hydrochloride,less-concern,alfuzosin,alfuzosin,14185.208,3839.568094510941,5
Altretamine,ambiguous,altretamine,altretamine,15499.653,3092.9734802837693,6
Amantadine hydrochloride,ambiguous,amantadine,amantadine,15169.08,6493.070856836379,2
Amiloride hydrochloride,less-concern,amiloride,amiloride,13580.883,3183.878746577807,3
Amiodarone hydrochloride,most-concern,amiodarone,amiodarone,13214.987,1835.445284538193,9
Amitriptyline hydrochloride,less-concern,amitriptyline,amitriptyline,11186.402,1636.4170346232056,2
Amlodipine besylate,less-concern,amlodipine,amlodipine,14733.325,4863.84562376725,5
Amoxapine,ambiguous,amoxapine,amoxapine,13502.882,4942.77547932998,6
Anagrelide hydrochloride,ambiguous,anagrelide,anagrelide,13918.231,5793.121235471822,5
Anastrozole,less-concern,anastrozole,anastrozole,10758.984,1360.7549550319407,3
Aprepitant,ambiguous,aprepitant,aprepitant,16667.518,11267.413310513273,3
Artesunate,ambiguous,artesunate,artesunate,13512.989,3652.664121336647,3
Atomoxetine hydrochloride,most-concern,atomoxetine,atomoxetine,17337.748,8891.387666263652,3
Atorvastatin calcium,most-concern,atorvastatin,atorvastatin,17680.955,4091.9657025210254,9
Auranofin,less-concern,auranofin,auranofin,20026.826,2674.0769873451877,3
Axitinib,ambiguous,axitinib,axitinib,11131.617,155.2092544429335,3
Azithromycin,less-concern,azithromycin,azithromycin,10927.776,906.6873931444693,3
Balsalazide disodium,ambiguous,balsalazide,balsalazide,14880.082,2800.35280035429,3
Belinostat,ambiguous,belinostat,belinostat,13291.683,847.3381428507663,3
Benazepril hydrochloride,less-concern,benazepril,benazepril,15726.741,4682.778280751294,6
Bendroflumethiazide,less-concern,bendroflumethiazide,bendroflumethiazide,15621.583,5586.231255662119,6
Benzbromarone,most-concern,benzbromarone,benzbromarone,12281.763,1659.7811993270757,3
Benzonatate,less-concern,benzonatate,benzonatate,20956.795,5701.326102408291,5
Betaxolol hydrochloride,ambiguous,betaxolol,betaxolol,11219.875,2103.3395296189037,2
Bicalutamide,most-concern,bicalutamide,bicalutamide,13069.705,3154.858412756784,2
Biperiden hydrochloride,no-concern,biperiden,biperiden,13461.771,3532.8482807169216,7
Bisacodyl,no-concern,bisacodyl,bisacodyl,12900.181,1339.3532099475335,5
Bisoprolol fumarate,ambiguous,bisoprolol,bisoprolol,12776.494,5714.713389093534,4
Bosutinib monohydrate,most-concern,bosutinib,bosutinib,12180.966,3350.168655092478,3
Bromocriptine mesylate,less-concern,bromocriptine,bromocriptine,14012.859,5290.312667511809,8
Brompheniramine maleate,no-concern,brompheniramine,brompheniramine,12483.891,3060.8375179192703,5
Budesonide,no-concern,budesonide,budesonide,15449.589,3668.295435157774,6
Bumetanide,ambiguous,bumetanide,bumetanide,18767.691,9508.232176668962,2
Bupropion hydrochloride,less-concern,bupropion,bupropion,15626.822,4823.207141244234,5
Buspirone hydrochloride,ambiguous,buspirone,buspirone,14668.552,4022.7948038154627,6
Cabergoline,no-concern,cabergoline,cabergoline,15220.825,5713.742127671903,6
Caffeine citrate,no-concern,caffeine,caffeine,15752.529,5405.337528415394,5
Calcitriol,no-concern,calcitriol,calcitriol,11992.527,5988.073878658171,3
