compound_name,dili_class,matched_name,match_type
Acamprosate calcium,less-concern,acamprosate,base
Acarbose,most-concern,acarbose,base
Acitretin,most-concern,acitretin,base
Acyclovir,less-concern,acyclovir,base
Afatinib dimaleate,ambiguous,afatinib,base
Alaproclate,most-concern,alaproclate,base
Albendazole,most-concern,albendazole,base
Alfuzosin hydrochloride,less-concern,alfuzosin,base
Altretamine,ambiguous,altretamine,base
Amantadine hydrochloride,ambiguous,amantadine,base
Amiloride hydrochloride,less-concern,amiloride,base
Amiodarone hydrochloride,most-concern,amiodarone,base
Amitriptyline hydrochloride,less-concern,amitriptyline,base
Amlodipine besylate,less-concern,amlodipine,base
Amoxapine,ambiguous,amoxapine,base
Anagrelide hydrochloride,ambiguous,anagrelide,base
Anastrozole,less-concern,anastrozole,base
Aprepitant,ambiguous,aprepitant,base
Artesunate,ambiguous,artesunate,base
Atomoxetine hydrochloride,most-concern,atomoxetine,base
Atorvastatin calcium,most-concern,atorvastatin,base
Auranofin,less-concern,auranofin,base
Axitinib,ambiguous,axitinib,base
Azithromycin,less-concern,azithromycin,base
Balsalazide disodium,ambiguous,balsalazide,base
Belinostat,ambiguous,belinostat,base
Benazepril hydrochloride,less-concern,benazepril,base
Bendroflumethiazide,less-concern,bendroflumethiazide,base
Benzbromarone,most-concern,benzbromarone,base
Benzonatate,less-concern,benzonatate,base
Betaxolol hydrochloride,ambiguous,betaxolol,base
Bicalutamide,most-concern,bicalutamide,base
Biperiden hydrochloride,no-concern,biperiden,base
Bisacodyl,no-concern,bisacodyl,base
Bisoprolol fumarate,ambiguous,bisoprolol,base
Bosutinib monohydrate,most-concern,bosutinib,base
Bromocriptine mesylate,less-concern,bromocriptine,base
Brompheniramine maleate,no-concern,brompheniramine,base
Budesonide,no-concern,budesonide,base
Bumetanide,ambiguous,bumetanide,base
Bupropion hydrochloride,less-concern,bupropion,base
Buspirone hydrochloride,ambiguous,buspirone,base
Cabergoline,no-concern,cabergoline,base
Caffeine citrate,no-concern,caffeine,base
Calcitriol,no-concern,calcitriol,base
Capecitabine,less-concern,capecitabine,base
Carbamazepine,most-concern,carbamazepine,base
Carbidopa,ambiguous,carbidopa,base
Carbinoxamine maleate,no-concern,carbinoxamine,base
Carvedilol,less-concern,carvedilol,base
Cefaclor,less-concern,cefaclor,base
Cefdinir,less-concern,cefdinir,base
Cefixime,less-concern,cefixime,base
Cefotaxime sodium,less-concern,cefotaxime,base
Celecoxib,less-concern,celecoxib,base
Cetirizine hydrochloride,less-concern,cetirizine,base
Chlorambucil,less-concern,chlorambucil,base
Chlordiazepoxide hydrochloride,less-concern,chlordiazepoxide,base
Chloroquine phosphate,less-concern,chloroquine,base
Chlorpromazine hydrochloride,less-concern,chlorpromazine,base
Chlorthalidone,ambiguous,chlorthalidone,base
Cilostazol,ambiguous,cilostazol,base
Cimetidine,less-concern,cimetidine,base
Cinacalcet hydrochloride,no-concern,cinacalcet,base
Cladribine,less-concern,cladribine,base
Clemastine fumarate,no-concern,clemastine,base
Clofarabine,ambiguous,clofarabine,base
Clofibrate,less-concern,clofibrate,base
Clomipramine hydrochloride,most-concern,clomipramine,base
Clonidine hydrochloride,ambiguous,clonidine,base
Clozapine,most-concern,clozapine,base
Cortisone acetate,no-concern,cortisone,base
Crizotinib,most-concern,crizotinib,base
Cyproheptadine hydrochloride,less-concern,cyproheptadine,base
Dactinomycin,most-concern,dactinomycin,base
Danazol,most-concern,danazol,base
Dantrolene sodium,most-concern,dantrolene,base
Dasatinib,less-concern,dasatinib,base
Daunorubicin hydrochloride,no-concern,daunorubicin,base
Decitabine,ambiguous,decitabine,base
Desipramine hydrochloride,ambiguous,desipramine,base
Dexamethasone,ambiguous,dexamethasone,base
Dexchlorpheniramine maleate,no-concern,dexchlorpheniramine,base
Dexrazoxane hydrochloride,ambiguous,dexrazoxane,base
Diazoxide,ambiguous,diazoxide,base
Diclofenac sodium,most-concern,diclofenac,base
Dicloxacillin sodium,less-concern,dicloxacillin,base
Diflunisal,most-concern,diflunisal,base
Digoxin,no-concern,digoxin,base
Dihydroergotamine mesylate,no-concern,dihydroergotamine,base
Diltiazem hydrochloride,most-concern,diltiazem,base
Dipyridamole,ambiguous,dipyridamole,base
Disopyramide phosphate,less-concern,disopyramide,base
Dobutamine hydrochloride,no-concern,dobutamine,base
Docetaxel,less-concern,docetaxel,base
Dolasetron mesylate,ambiguous,dolasetron,base
Donepezil hydrochloride,less-concern,donepezil,base
Dopamine hydrochloride,no-concern,dopamine,base
Doxapram hydrochloride,no-concern,doxapram,base
Doxepin hydrochloride,less-concern,doxepin,base
Doxorubicin hydrochloride,less-concern,doxorubicin,base
Doxylamine succinate,no-concern,doxylamine,base
Droperidol,no-concern,droperidol,base
Duloxetine hydrochloride,most-concern,duloxetine,base
Enalapril maleate,less-concern,enalapril,base
Entecavir,ambiguous,entecavir,base
Epirubicin hydrochloride,ambiguous,epirubicin,base
Eplerenone,less-concern,eplerenone,base
Erlotinib hydrochloride,most-concern,erlotinib,base
Escitalopram oxalate,less-concern,escitalopram,base
Estrone,ambiguous,estrone,base
Estropipate,ambiguous,estropipate,base
Ethambutol hydrochloride,most-concern,ethambutol,base
Etodolac,most-concern,etodolac,base
Etomidate,no-concern,etomidate,base
Everolimus,less-concern,everolimus,base
Exemestane,most-concern,exemestane,base
Ezetimibe,less-concern,ezetimibe,base
Famciclovir,ambiguous,famciclovir,base
Febuxostat,most-concern,febuxostat,base
Felbamate,most-concern,felbamate,base
Felodipine,less-concern,felodipine,base
Fenofibrate,less-concern,fenofibrate,base
Fenoldopam mesylate,no-concern,fenoldopam,base
Fexofenadine hydrochloride,no-concern,fexofenadine,base
Finasteride,less-concern,finasteride,base
Flavoxate hydrochloride,less-concern,flavoxate,base
Flecainide acetate,less-concern,flecainide,base
Fluconazole,most-concern,fluconazole,base
Fludarabine phosphate,no-concern,fludarabine,base
Flumazenil,no-concern,flumazenil,base
Fluoxetine hydrochloride,less-concern,fluoxetine,base
Fluphenazine hydrochloride,ambiguous,fluphenazine,base
Flutamide,most-concern,flutamide,base
Fluvastatin sodium,less-concern,fluvastatin,base
Fluvoxamine maleate,ambiguous,fluvoxamine,base
Fostamatinib disodium,ambiguous,fostamatinib,base
Fulvestrant,ambiguous,fulvestrant,base
Gefitinib,most-concern,gefitinib,base
Glimepiride,less-concern,glimepiride,base
Glipizide,less-concern,glipizide,base
Glycopyrrolate,no-concern,glycopyrrolate,base
Goserelin acetate,ambiguous,goserelin,base
Granisetron hydrochloride,ambiguous,granisetron,base
Guanfacine hydrochloride,ambiguous,guanfacine,base
Haloperidol lactate,less-concern,haloperidol,base
Hydralazine hydrochloride,less-concern,hydralazine,base
Hydrocortisone acetate,no-concern,hydrocortisone,base
Iloperidone,ambiguous,iloperidone,base
Imatinib mesylate,most-concern,imatinib,base
Irbesartan,less-concern,irbesartan,base
Irinotecan hydrochloride,less-concern,irinotecan,base
Isocarboxazid,ambiguous,isocarboxazid,base
Isotretinoin,most-concern,isotretinoin,base
Isoxsuprine hydrochloride,no-concern,isoxsuprine,base
Itraconazole,most-concern,itraconazole,base
Ivermectin,less-concern,ivermectin,base
Ixazomib citrate,ambiguous,ixazomib,base
Ketoprofen,less-concern,ketoprofen,base
Ketorolac tromethamine,less-concern,ketorolac,base
Labetalol hydrochloride,most-concern,labetalol,base
Lamivudine,less-concern,lamivudine,base
Lamotrigine,most-concern,lamotrigine,base
Leflunomide,most-concern,leflunomide,base
Lenalidomide,less-concern,lenalidomide,base
Levonorgestrel,no-concern,levonorgestrel,base
Lidocaine,no-concern,lidocaine,base
Linezolid,less-concern,linezolid,base
Lofexidine hydrochloride,no-concern,lofexidine,base
Loperamide hydrochloride,no-concern,loperamide,base
Losartan potassium,less-concern,losartan,base
Lovastatin,less-concern,lovastatin,base
Loxapine succinate,ambiguous,loxapine,base
