cell_type,residual_magnitude_landmark,pct_of_ssr_landmark,rank_landmark
hepatocyte,1.6015969510031491,0.742280867148203,1
endothelial cell,1.8629929808801537,1.0043480413584314,2
fibroblast,2.0749102444279943,1.2458347187646217,3
myeloid dendritic cell,2.1329404237935523,1.3164951089780468,4
non-classical monocyte,2.3296994893405,1.570585590592017,5
smooth muscle cell,2.384039903595979,1.6447081339374496,6
"CD8-positive, alpha-beta T cell",2.4384815715560926,1.7206825537883768,7
monocyte,2.509223123517981,1.8219663926945788,8
mature NK T cell,2.5803089740939384,1.9266606406641191,9
adventitial cell,2.5901618399665227,1.941402574628274,10
large intestine goblet cell,2.634991954558584,2.0091871260663527,11
bladder urothelial cell,2.6858577148670455,2.087506341647494,12
enterocyte of epithelium of large intestine,2.7382210901643314,2.1696956684785436,13
intermediate monocyte,2.7447759124407023,2.1800958454440633,14
granulocyte,2.7923325737555142,2.256296059248972,15
plasma cell,2.805191305110554,2.277124457726766,16
mesenchymal stem cell,2.8945478298741865,2.4245059837627125,17
neutrophil,2.9814462714543053,2.5722653905351938,18
pancreatic ductal cell,3.0482426374735603,2.688814656216698,19
classical monocyte,3.0671381541805647,2.7222529475223456,20
natural killer cell,3.151600405440629,2.874247055100816,21
fibroblast of cardiac tissue,3.1848942580766026,2.9352955450611895,22
luminal epithelial cell of mammary gland,3.1921760594550364,2.9487331489310336,23
"CD4-positive, alpha-beta T cell",3.2281671408285386,3.0156006262633555,24
mesenchymal stem cell of adipose tissue,3.2539686855916554,3.0639984278813275,25
B cell,3.376613000948351,3.299319518594875,26
hematopoietic stem cell,3.384110137552403,3.3139868253545375,27
myeloid leukocyte,3.3921011159431687,3.329656092789986,28
macrophage,3.4123451630317465,3.3695174359222957,29
epithelial cell,3.638823514503913,3.8316319391302653,30
T cell,3.7744106595789275,4.122494641743616,31
stromal cell,3.8938054256500365,4.38743092000047,32
hematopoietic precursor cell,4.447186616895311,5.723115463909459,33
basal cell,5.064111828911302,7.421101552962862,34
pancreatic acinar cell,5.271430658148834,8.04116170715066,35
