cell_type,residual_magnitude,residual_magnitude_landmark,rank_full,rank_landmark,rank_diff
stromal cell,16.984603696210993,3.8938054256500365,1,4,3
epithelial cell,16.267367119340193,3.638823514503913,2,6,4
hematopoietic precursor cell,15.353904628472929,4.447186616895311,3,3,0
hematopoietic stem cell,14.94836253134559,3.384110137552403,4,9,5
pancreatic acinar cell,12.837688508209771,5.271430658148834,5,1,4
basal cell,12.766119470797328,5.064111828911302,6,2,4
T cell,11.669226435501992,3.7744106595789275,7,5,2
neutrophil,11.597880291489918,2.9814462714543053,8,18,10
fibroblast of cardiac tissue,11.521942001663705,3.1848942580766026,9,14,5
myeloid leukocyte,11.509243348794332,3.3921011159431687,10,8,2
mesenchymal stem cell of adipose tissue,11.432483678688156,3.2539686855916554,11,11,0
plasma cell,11.083711716328304,2.805191305110554,12,20,8
mesenchymal stem cell,10.340755101730728,2.8945478298741865,13,19,6
"CD4-positive, alpha-beta T cell",10.21169775481372,3.2281671408285386,14,12,2
classical monocyte,9.928629416857593,3.0671381541805647,15,16,1
macrophage,9.878522208732337,3.4123451630317465,16,7,9
B cell,9.84610068589495,3.376613000948351,17,10,7
luminal epithelial cell of mammary gland,9.654116202287025,3.1921760594550364,18,13,5
large intestine goblet cell,9.466734231251584,2.634991954558584,19,25,6
enterocyte of epithelium of large intestine,9.297263435043051,2.7382210901643314,20,23,3
myeloid dendritic cell,8.898935755842247,2.1329404237935523,21,32,11
monocyte,8.722374107298508,2.509223123517981,22,28,6
natural killer cell,8.686951760199305,3.151600405440629,23,15,8
intermediate monocyte,8.427986266571045,2.7447759124407023,24,22,2
mature NK T cell,8.274654323291125,2.5803089740939384,25,27,2
adventitial cell,8.080278679217866,2.5901618399665227,26,26,0
granulocyte,7.932489173190314,2.7923325737555142,27,21,6
fibroblast,7.507943223117857,2.0749102444279943,28,33,5
bladder urothelial cell,7.39810930054472,2.6858577148670455,29,24,5
pancreatic ductal cell,6.787640413838285,3.0482426374735603,30,17,13
smooth muscle cell,6.705379907369501,2.384039903595979,31,30,1
hepatocyte,6.058641994458259,1.6015969510031491,32,35,3
endothelial cell,5.971302732274846,1.8629929808801537,33,34,1
non-classical monocyte,5.89287705793573,2.3296994893405,34,31,3
"CD8-positive, alpha-beta T cell",5.3762488830814785,2.4384815715560926,35,29,6
