cell_type,participation_ratio,pc1_fraction,n_cells,n_genes,n_pca_components
B cell,13.09000703751547,0.22405731296315992,2000,50,50
"CD4-positive, alpha-beta T cell",2.801150211487179,0.5892143209121528,2000,50,50
"CD8-positive, alpha-beta T cell",20.539644341609474,0.12985660092468243,2000,50,50
T cell,11.351816523932223,0.2596282482238106,2000,50,50
adventitial cell,8.946189215259174,0.28233571309453487,1045,50,50
basal cell,10.846562546810725,0.23043248746055087,2000,50,50
bladder urothelial cell,10.609485301118832,0.24923441493368972,2000,50,50
classical monocyte,10.524951038390789,0.25643030309475795,2000,50,50
endothelial cell,14.824932074551429,0.17508487801848194,2000,50,50
enterocyte of epithelium of large intestine,8.130000831428083,0.2968373004199478,2000,50,50
epithelial cell,9.07732964376397,0.26364315423065127,1675,50,50
fibroblast,9.604598660715794,0.27773466335089964,2000,50,50
fibroblast of cardiac tissue,12.405122472078673,0.23112213505566548,1947,50,50
granulocyte,3.467569311898485,0.5176233961215684,769,50,50
hematopoietic precursor cell,7.125712730355451,0.2889488867525706,2000,50,50
hematopoietic stem cell,10.003724187889459,0.25106622984108773,858,50,50
hepatocyte,2.06110589313597,0.6950327142853296,2000,50,50
intermediate monocyte,10.637985803310276,0.24023257579063256,2000,50,50
large intestine goblet cell,4.420518803623905,0.44701700485180446,1557,50,50
luminal epithelial cell of mammary gland,13.6119066490307,0.1914493545117995,2000,50,50
macrophage,11.130477931233488,0.21856753461880304,2000,50,50
mature NK T cell,17.2281457989393,0.15574905546180695,2000,50,50
mesenchymal stem cell,16.829604117203562,0.1627055330384071,2000,50,50
mesenchymal stem cell of adipose tissue,2.0642857115870985,0.6918602553850881,2000,50,50
monocyte,6.305286382570873,0.35762365843287675,2000,50,50
myeloid dendritic cell,9.205733000240773,0.2627834462009657,571,50,50
myeloid leukocyte,6.119200150038544,0.33460810049814543,1002,50,50
natural killer cell,17.49415694445313,0.16207765023920576,2000,50,50
neutrophil,11.726720484138593,0.24788920464025824,2000,50,50
non-classical monocyte,11.75203024054849,0.24397546105555976,1284,50,50
pancreatic acinar cell,4.28651311079632,0.3590023897565955,2000,50,50
pancreatic ductal cell,3.0138645198894434,0.5603375604275636,2000,50,50
plasma cell,12.857648434621934,0.21010830265684785,2000,50,50
smooth muscle cell,11.084832585547867,0.2358142504562153,2000,50,50
stromal cell,6.711899662431515,0.36009988758170886,2000,50,50
