cell_type,density_k3,density_k5,density_k10
B cell,21.801218475241566,22.86521321565879,24.986029067147907
"CD4-positive, alpha-beta T cell",12.722914908168688,15.725387661322793,21.359865203166045
"CD8-positive, alpha-beta T cell",10.732593155781096,13.584861648410627,20.021784837565853
T cell,13.592269567395348,17.01533494877659,22.433461567887598
adventitial cell,15.757349883620428,18.16906161653481,24.993726006266478
basal cell,23.649516659385757,25.3788802905574,27.31164950196195
bladder urothelial cell,26.14494816693426,29.09989123740208,32.028647269522246
classical monocyte,10.153651767802936,14.401336590371795,21.190163149471694
endothelial cell,27.14996832549029,27.43451680586702,28.710693711351432
enterocyte of epithelium of large intestine,25.517803012659485,28.501046638567043,31.379902678286875
epithelial cell,24.967493606698373,26.283519847097097,28.6924813654668
fibroblast,11.109157954279652,15.048409498394175,21.624311953500623
fibroblast of cardiac tissue,22.594122628703293,23.78882312870968,28.43156819485045
granulocyte,26.539971397549625,28.389834831034126,30.546279870588727
hematopoietic precursor cell,21.483374436083995,22.133150561522964,23.885493793703596
hematopoietic stem cell,24.35455995807763,24.92423866882701,26.122192749190653
hepatocyte,39.808034282540575,40.591851046876826,42.2256507325735
intermediate monocyte,8.577204920872429,11.8572350010217,19.37883305207154
large intestine goblet cell,24.78231584214375,28.180709144108015,31.62487748418564
luminal epithelial cell of mammary gland,25.162968869267033,26.791966242959717,28.599129055565168
macrophage,14.090965689581845,15.484678812359999,20.95536942128819
mature NK T cell,12.02211522093244,15.078893823124636,20.659189862277152
mesenchymal stem cell,14.352275359469644,18.467712245038477,25.136975899671256
mesenchymal stem cell of adipose tissue,12.722393561065893,16.639170410653765,22.864779412662372
monocyte,8.552115568391923,11.45400280073146,18.126111513789745
myeloid dendritic cell,17.972710184124782,18.718700451347523,21.435672955660518
myeloid leukocyte,16.564571342084918,18.172250141197047,22.84579874111835
natural killer cell,14.528338252741785,18.00264884709812,22.916635843943737
neutrophil,29.195684636744698,31.814992875129313,34.81803925908635
non-classical monocyte,11.100328560773741,13.883180441104543,19.902810800339708
pancreatic acinar cell,31.479308534232178,32.09388236804029,33.76760097379099
pancreatic ductal cell,29.09383484569302,30.123907675276694,31.932494848980134
plasma cell,25.371932387864025,25.535994264195427,26.701268943014306
smooth muscle cell,24.82226971470808,25.683790324932097,27.772284519110126
stromal cell,20.79038189261237,22.455928652048353,25.30818967370056
