,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",T cell,adventitial cell,basal cell,bladder urothelial cell,classical monocyte,endothelial cell,enterocyte of epithelium of large intestine,epithelial cell,fibroblast,fibroblast of cardiac tissue,granulocyte,hematopoietic precursor cell,hematopoietic stem cell,hepatocyte,intermediate monocyte,large intestine goblet cell,luminal epithelial cell of mammary gland,macrophage,mature NK T cell,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,monocyte,myeloid dendritic cell,myeloid leukocyte,natural killer cell,neutrophil,non-classical monocyte,pancreatic acinar cell,pancreatic ductal cell,plasma cell,smooth muscle cell,stromal cell
B cell,0.0,20.483486944099983,21.97963604427601,23.754975670692364,39.246286915455094,32.242552347449376,38.62860775939013,33.32605598589629,34.031948728249276,38.54559100874069,34.356496407198506,35.98775910569326,39.99658488783219,37.5042337049275,28.935415278379185,25.70509616440144,48.35050650414889,32.05458423932035,38.60404038072727,34.37728823895249,30.581250993557354,22.940532437348697,39.07084161974991,34.34340646299687,30.110341640241217,25.617898596125457,31.567309784593565,25.88333910626069,45.39880916299969,29.39247544801834,37.32185803087793,38.35684283217829,25.167434981876916,36.982335242641135,33.29360881137118
"CD4-positive, alpha-beta T cell",20.483486944099983,0.0,9.887188116063378,12.331378806376096,37.507115423086624,31.125950385332835,37.52840719846336,33.52718788925706,33.03935936558256,37.41571434370719,34.24888778948733,34.268524140452364,39.294886590177576,36.89491211062367,28.891951708747747,24.81072778844334,48.48963841967939,32.42018596677223,37.9598012702303,33.039589962070394,30.842103605139712,15.95017780206659,37.56691164416029,32.65018834286818,29.971819265714895,25.585458110256184,32.36535191775407,19.974706638007923,44.42569661805946,30.125529588681875,36.24047664269303,38.06768582135705,25.711756851884353,35.582632148198265,30.944407192124487
"CD8-positive, alpha-beta T cell",21.97963604427601,9.887188116063378,0.0,12.05783888033279,37.43386111997784,31.43231856964299,37.340176765394645,31.93643029857909,32.55271145219233,36.638922209655675,33.65208023148616,34.449344780845415,38.65301894002032,34.873570769190074,27.247751384094716,25.918379770172173,47.29230247731748,31.004984035243798,36.90415523657387,33.092645044501516,29.42043419489992,10.25275247094712,37.79136099397834,33.27476148242528,28.60942777927078,24.915530774191733,30.599650006671762,13.746892730433826,42.31445873138862,28.84042714853925,37.0807987833568,37.58641472182116,25.602450425875983,35.434694853656424,31.668760171187685
T cell,23.754975670692364,12.331378806376096,12.05783888033279,0.0,37.70194213786942,32.045615388060945,37.57788355203539,33.34176914579726,32.26304836713431,35.17271713242283,33.60375442522684,34.74118899952188,38.16688555554855,32.54440919892071,28.621330072325616,28.83034791338108,45.463633779731595,32.439118477173736,35.58876446502239,33.70962885084727,29.62593076035869,16.387591015477163,37.8686567823472,33.84859665114343,29.816312223336414,25.77749329970113,29.331390828486125,20.54489037100454,40.608637950603985,30.661784538797793,36.86041083149883,37.740171417643325,26.697378821099086,35.726514066512564,31.828555807624898
adventitial cell,39.246286915455094,37.507115423086624,37.43386111997784,37.70194213786942,0.0,33.030766086099085,39.23006056292097,41.205415712415586,31.209679944799074,37.60602106044155,36.304408899913284,13.35234214371226,22.767447435054926,42.38453471066545,38.320073908502096,34.74501023540807,46.5069283275525,39.49458523123965,39.81371142071772,33.98467884811549,34.53671831740796,37.54465184940687,18.312705897074103,15.607001610074919,37.689995489335814,33.808448405385576,38.091685799517755,39.347038190332654,49.938865467009165,38.69447227210293,38.29466573168183,37.52081003984262,35.057066791281514,27.058378695591482,20.80581099675784
basal cell,32.242552347449376,31.125950385332835,31.43231856964299,32.045615388060945,33.030766086099085,0.0,24.380788976957824,36.42236574414737,27.82346062153097,32.87285327813614,25.4417081889847,28.931531835549073,34.11976208429375,40.992898875321245,30.722551936794087,28.12239085309877,43.65429931736089,34.539204235940524,31.897236988292118,21.12605281221474,31.359661062950032,31.870134128627786,32.911649959799746,29.65428935161041,33.0488875509684,30.34697596373821,34.09938690918637,34.12256743265788,49.044332634039016,33.63022687605578,34.157105452070695,28.86842151294681,30.27335668268937,30.153086666128306,28.61476420059788
bladder urothelial cell,38.62860775939013,37.52840719846336,37.340176765394645,37.57788355203539,39.23006056292097,24.380788976957824,0.0,40.864721695180535,34.00003037231738,34.64231000374553,28.10316007182448,35.43522917160451,40.833768589385485,44.43248908063909,37.64310399835523,36.386038623816795,48.21092772286036,39.036885054363026,33.07453550691875,25.95089545202048,35.50251790166526,37.23891610172399,38.89180883280958,36.22731225304709,37.397226993657924,35.352839051893106,37.71810085619322,39.450938015328084,51.27286822432475,38.627406460453486,39.73532223351439,33.99007617928886,36.41740705113054,36.82969078390182,35.35660790865152
classical monocyte,33.32605598589629,33.52718788925706,31.93643029857909,33.34176914579726,41.205415712415586,36.42236574414737,40.864721695180535,0.0,36.165063930872655,42.7463846840722,38.039603879760634,38.248656519650126,42.43380955111518,31.52389592233088,21.364729884184886,32.62180316298373,50.463768431189514,9.279482734836126,42.450850468507355,37.63485998878623,20.18099776426528,31.349335660405114,41.278009992857804,38.024286730136055,8.269113233328714,22.586400296376624,23.212236008945016,31.223080654800306,32.76911125523074,12.912359335243968,44.32788911459974,42.13133935624559,34.99832765380406,39.99962816358499,38.57846891520123
endothelial cell,34.031948728249276,33.03935936558256,32.55271145219233,32.26304836713431,31.209679944799074,27.82346062153097,34.00003037231738,36.165063930872655,0.0,35.9883728581458,31.609561714675788,26.831054878900794,31.300003434477482,38.503501983801705,32.40346091306561,31.430586099694853,44.05112531049878,33.97149558174492,35.02878526679294,28.87096733316178,29.908966491498198,32.283171731913995,29.569702405045852,27.89921843133328,32.67222710613325,30.375036909674314,32.22097326608499,34.27032170267093,46.23836139799956,33.464654338289954,37.15817384976865,33.05657170347042,32.549701833333444,27.103816199497754,27.51503389807231
enterocyte of epithelium of large intestine,38.54559100874069,37.41571434370719,36.638922209655675,35.17271713242283,37.60602106044155,32.87285327813614,34.64231000374553,42.7463846840722,35.9883728581458,0.0,25.706237717231737,37.99121305481609,37.82373470183619,36.698056638136784,38.513261755934685,37.98980751879524,39.14776331624926,41.914411766747584,18.695175624260443,35.70029019307993,36.376237622351496,36.55937579472374,41.20712681133407,38.38576496163205,39.188945308114825,33.653950733773335,35.47805829642729,38.39211612305018,44.82807112383946,40.14059757676828,33.078970876720625,33.954956099375416,33.86985962071647,36.21180744815315,32.151995696486274
