cell_type,k,S_pre,S_post,improvement
B cell,1,0.07768328761640307,0.007634623692224252,-0.07004866392417881
B cell,3,0.33308937712594666,0.1335161218331278,-0.19957325529281886
B cell,5,0.5788752128651494,0.23301184342150377,-0.34586336944364565
"CD4-positive, alpha-beta T cell",1,0.11303842680976321,7.066229071663953e-05,-0.11296776451904657
"CD4-positive, alpha-beta T cell",3,0.3944968185545477,0.16088430897377706,-0.23361250958077065
"CD4-positive, alpha-beta T cell",5,0.5617294037396386,0.2108126801629843,-0.3509167235766544
"CD8-positive, alpha-beta T cell",1,0.08877881274667442,0.003125228498232825,-0.08565358424844159
"CD8-positive, alpha-beta T cell",3,0.47322523497819885,0.17196844648317944,-0.3012567884950194
"CD8-positive, alpha-beta T cell",5,0.4860466382337658,0.20996028594020588,-0.27608635229355993
T cell,1,0.23153067588369747,0.004931179163380388,-0.22659949672031707
T cell,3,0.318410123922565,0.17273606584122916,-0.14567405808133585
T cell,5,0.4782574090222256,0.20494763850086203,-0.2733097705213635
adventitial cell,1,0.08004606741078227,0.07308107716978679,-0.006964990240995478
adventitial cell,3,0.506504598285446,0.18141310726535606,-0.32509149102008994
adventitial cell,5,0.6113101152876261,0.21025361791761213,-0.40105649737001403
basal cell,1,0.11132166261989997,0.0003029330980599802,-0.11101872952183998
basal cell,3,0.33089495334002156,0.08023283173591995,-0.2506621216041016
basal cell,5,0.47816642920404046,0.19348993924410518,-0.2846764899599353
bladder urothelial cell,1,0.04429159001840402,0.0012274441382491617,-0.04306414588015486
bladder urothelial cell,3,0.3329372361288321,0.12023868708005425,-0.21269854904877783
bladder urothelial cell,5,0.5485749149541921,0.15148794303196034,-0.39708697192223175
classical monocyte,1,0.14008313778518036,0.12609395257211517,-0.013989185213065192
classical monocyte,3,0.2629666219096578,0.17836673440727033,-0.08459988750238748
classical monocyte,5,0.3348024361554552,0.2786793318467178,-0.056123104308737404
endothelial cell,1,0.33428533668540217,0.040869625479740775,-0.2934157112056614
endothelial cell,3,0.40725678420935846,0.13136396682163434,-0.2758928173877241
endothelial cell,5,0.5580370334432022,0.25203219809845645,-0.30600483534474576
enterocyte of epithelium of large intestine,1,0.16288379651823315,0.033238989197669495,-0.12964480732056366
enterocyte of epithelium of large intestine,3,0.4633903072874299,0.23373185096549162,-0.2296584563219383
enterocyte of epithelium of large intestine,5,0.6459452252812852,0.311199560564543,-0.33474566471674216
epithelial cell,1,0.23250726201944313,0.013194160412904304,-0.21931310160653883
epithelial cell,3,0.28584804193318475,0.14898622636097272,-0.13686181557221203
epithelial cell,5,0.3776838011886106,0.15553545707942534,-0.22214834410918527
fibroblast,1,0.03299395336531604,0.0029449373236422076,-0.030049016041673832
fibroblast,3,0.3578565238638893,0.09067165972492137,-0.2671848641389679
