cell_type,pearson_r,pearson_p,cosine_sim,l2_distance,human_top1_frac,mouse_top1_frac,human_norm,mouse_norm
B cell,0.9975404488056338,1.5963170126079264e-10,0.9976303607483376,0.053521058172534934,0.5344608212539248,0.580921222789795,"[0.5344608212539248, 0.2140958064639287, 0.09046513570889092, 0.05677670710092298, 0.04291187216930706, 0.01738326631782687, 0.013040651992051398, 0.011521487938556263, 0.011048151109361009, 0.00829609994523014]","[0.580921222789795, 0.19671282357969364, 0.0743525676382313, 0.046521089582676554, 0.038552606962078816, 0.01956987928749634, 0.016035558240065504, 0.01082408168499179, 0.00870434018353366, 0.007805830051437488]"
"CD4-positive, alpha-beta T cell",0.9764122338616988,1.3163732109266464e-06,0.9764307657451506,0.17423499281573956,0.49216547651711523,0.6444788989972525,"[0.49216547651711523, 0.21190988341817196, 0.09999652339629332, 0.08404210425544471, 0.03391028546222663, 0.022597152493425657, 0.018250866599097623, 0.01685005173386436, 0.011144242795119424, 0.009133413329241235]","[0.6444788989972525, 0.15007366509753298, 0.05685994388831025, 0.0460842057938948, 0.035327645599954424, 0.022499802437365213, 0.016618033701266927, 0.014657794257098795, 0.007586927290293724, 0.005813082937030417]"
"CD8-positive, alpha-beta T cell",0.9200073881614304,0.0001625051264861501,0.9154983389734453,0.34713190124552834,0.42057972376467145,0.7316014343122604,"[0.42057972376467145, 0.20823355939474833, 0.16037852567757563, 0.07180129441686235, 0.04483265139098813, 0.02879850235706753, 0.024006038359124453, 0.019092615263974107, 0.011622787797150619, 0.010654301577837274]","[0.7316014343122604, 0.1163069378572678, 0.045721875182778635, 0.03896128713373048, 0.020262777025917056, 0.017893124831282588, 0.010756926969733354, 0.007977381965299634, 0.005512441195014294, 0.005005813526715639]"
T cell,0.9840313937917637,2.79061266699173e-07,0.979332684559794,0.17585946640919678,0.6312817081412698,0.4695491063242036,"[0.6312817081412698, 0.16777079102944673, 0.07605042019537361, 0.03503188806677462, 0.0277344208806572, 0.019850200331258283, 0.013880756546483372, 0.012661026131634874, 0.008381582916238648, 0.007357205760862711]","[0.4695491063242036, 0.19584153979125735, 0.11768524048411289, 0.07442551253879028, 0.045966546463433774, 0.03665759686068583, 0.019604044217963506, 0.015730849598912484, 0.01290228192002683, 0.011637281800613478]"
adventitial cell,0.93987569207667,5.3148928785770414e-05,0.944329424637808,0.26989286066471424,0.4894156583151885,0.715022388704371,"[0.4894156583151885, 0.22533498169740623, 0.14520701381069706, 0.04751355084082426, 0.03743284428392806, 0.019140628881159884, 0.013698886564372171, 0.009568597367565001, 0.006655731618563278, 0.006032106620295578]","[0.715022388704371, 0.09307011353880823, 0.0820380252558012, 0.029263592920828824, 0.026760838546429095, 0.02036481356340506, 0.01075929863371112, 0.010152106145539498, 0.007596957600564486, 0.004971865090541447]"
basal cell,0.9425623482948211,4.441317056029995e-05,0.9418656568313589,0.29631749553534276,0.47642598270356273,0.7375958436653502,"[0.47642598270356273, 0.2514283470303111, 0.07761235437201758, 0.057436628778088694, 0.04706854818435498, 0.03273246871290622, 0.021136673005002764, 0.014209373893557474, 0.013818931819720767, 0.008130691500477754]","[0.7375958436653502, 0.12242219029017924, 0.04871332405428633, 0.030451223435278552, 0.02006181448571059, 0.012081229262191833, 0.010329803259991992, 0.007338333078914968, 0.006262589978888423, 0.004743648489207851]"
bladder urothelial cell,0.9205060444319011,0.00015858848973867234,0.9263320516664516,0.3406497729034456,0.5359060107038146,0.8096185215655632,"[0.5359060107038146, 0.2738387103646168, 0.05265081819190829, 0.03900929826071133, 0.033334299880118205, 0.02349836693801759, 0.013595729103788753, 0.010388073284887996, 0.010167516374913525, 0.007611176897222961]","[0.8096185215655632, 0.07287951468633644, 0.04300081272109632, 0.028019295417622745, 0.01766530188424984, 0.013082829439142005, 0.006930353781238844, 0.0035166198887657124, 0.003038724007729421, 0.00224802660825552]"
classical monocyte,0.9968843543172786,4.107198114654329e-10,0.9975950759201256,0.04403610969367985,0.5189982012273665,0.505458910042299,"[0.5189982012273665, 0.2305075020428989, 0.10667263817447722, 0.07098035792427372, 0.019752952961909955, 0.015070088997440794, 0.012192769268444424, 0.010986162586954373, 0.008059422058328772, 0.006779904757905394]","[0.505458910042299, 0.20151777729369072, 0.1277149321099463, 0.058806632748870644, 0.03321679089173795, 0.02611276502380609, 0.014348022551505501, 0.012913956081767302, 0.010753951215627656, 0.009156262040748691]"
endothelial cell,0.9460262699602411,3.477743804607945e-05,0.9599663942527072,0.1697414298098663,0.40791697600672777,0.5370220014850082,"[0.40791697600672777, 0.2610980581640804, 0.10882458065940305, 0.06697507369852752, 0.05444993242333778, 0.03631723692283491, 0.024535849987621705, 0.015800640862525642, 0.013521443252720785, 0.010560208022220652]","[0.5370220014850082, 0.15370542851517005, 0.12689815040937988, 0.06445867430674962, 0.04356476307669546, 0.027994582612055906, 0.018496426785937294, 0.012822876359974787, 0.007605409886751365, 0.0074316865622773174]"
enterocyte of epithelium of large intestine,0.8887881214936705,0.00058400110486047,0.9196218357036415,0.24095769334338035,0.5692869468249734,0.39569085341471577,"[0.5692869468249734, 0.17946632008149627, 0.12017204029719407, 0.056346404599439764, 0.0230178331659389, 0.021486421435727085, 0.010331395493778496, 0.00871138871736763, 0.006528831493657581, 0.004652417890426864]","[0.39569085341471577, 0.33606618674575695, 0.17514045493792482, 0.04125537507857901, 0.016019450823748792, 0.012437047484947094, 0.011102894303509811, 0.0053178824137166125, 0.003990252725558947, 0.0029796020715421177]"
