scale,cell_type,cpc1_rank,ensembl_id,gene_symbol,loading,cpc1_var_human,cpc1_var_mouse
6type,B cell,1,ENSG00000182899,RPL35A,0.11611805224401703,0.28042845577471187,0.4537439718590054
6type,B cell,2,ENSG00000142937,RPS8,0.10814837246377047,0.28042845577471187,0.4537439718590054
6type,B cell,3,ENSG00000186468,RPS23,0.10769381767555539,0.28042845577471187,0.4537439718590054
6type,B cell,4,ENSG00000197756,RPL37A,0.10759577400437789,0.28042845577471187,0.4537439718590054
6type,B cell,5,ENSG00000198242,RPL23A,0.10672997382142058,0.28042845577471187,0.4537439718590054
6type,"CD4-positive, alpha-beta T cell",1,ENSG00000182899,RPL35A,0.12344057601688221,0.23300038203851983,0.5572616909005779
6type,"CD4-positive, alpha-beta T cell",2,ENSG00000198918,RPL39,0.11731053475724063,0.23300038203851983,0.5572616909005779
6type,"CD4-positive, alpha-beta T cell",3,ENSG00000197756,RPL37A,0.11670183097979567,0.23300038203851983,0.5572616909005779
6type,"CD4-positive, alpha-beta T cell",4,ENSG00000186468,RPS23,0.11519805262677843,0.23300038203851983,0.5572616909005779
6type,"CD4-positive, alpha-beta T cell",5,ENSG00000142937,RPS8,0.11513671780655314,0.23300038203851983,0.5572616909005779
6type,"CD8-positive, alpha-beta T cell",1,ENSG00000182899,RPL35A,0.12874983948191432,0.14739976176784636,0.6720632826195786
6type,"CD8-positive, alpha-beta T cell",2,ENSG00000198918,RPL39,0.12308981271287563,0.14739976176784636,0.6720632826195786
6type,"CD8-positive, alpha-beta T cell",3,ENSG00000142937,RPS8,0.1185356533079378,0.14739976176784636,0.6720632826195786
6type,"CD8-positive, alpha-beta T cell",4,ENSG00000197756,RPL37A,0.11715329154812604,0.14739976176784636,0.6720632826195786
6type,"CD8-positive, alpha-beta T cell",5,ENSG00000186468,RPS23,0.11572294303451519,0.14739976176784636,0.6720632826195786
6type,endothelial cell,1,ENSG00000182899,RPL35A,0.11149292295012042,0.31029158969004544,0.4376055807414755
6type,endothelial cell,2,ENSG00000198918,RPL39,0.11064175997515821,0.31029158969004544,0.4376055807414755
6type,endothelial cell,3,ENSG00000134419,RPS15A,0.10609236782253448,0.31029158969004544,0.4376055807414755
6type,endothelial cell,4,ENSG00000186468,RPS23,0.1058294766401136,0.31029158969004544,0.4376055807414755
6type,endothelial cell,5,ENSG00000142937,RPS8,0.1052143824374608,0.31029158969004544,0.4376055807414755
6type,hepatocyte,1,ENSG00000167996,FTH1,0.07649341888895703,0.7570160665046342,0.13170198974118716
6type,hepatocyte,2,ENSG00000147403,RPL10,0.064735507743076,0.7570160665046342,0.13170198974118716
6type,hepatocyte,3,ENSG00000198840,MT-ND3,-0.06452035889167598,0.7570160665046342,0.13170198974118716
6type,hepatocyte,4,ENSG00000021826,CPS1,-0.061562672547365874,0.7570160665046342,0.13170198974118716
6type,hepatocyte,5,ENSG00000069667,RORA,-0.06133748921358277,0.7570160665046342,0.13170198974118716
6type,macrophage,1,ENSG00000182899,RPL35A,0.09885708802589188,0.28140445756902144,0.2861767639955751
6type,macrophage,2,ENSG00000142937,RPS8,0.09663185102597534,0.28140445756902144,0.2861767639955751
6type,macrophage,3,ENSG00000134419,RPS15A,0.09395769130832894,0.28140445756902144,0.2861767639955751
6type,macrophage,4,ENSG00000198918,RPL39,0.09390431330579878,0.28140445756902144,0.2861767639955751
6type,macrophage,5,ENSG00000186468,RPS23,0.09344659191753613,0.28140445756902144,0.2861767639955751
35type,B cell,1,ENSG00000182899,RPL35A,0.11611805224401703,0.28042845577471187,0.4537439718590054
35type,B cell,2,ENSG00000142937,RPS8,0.10814837246377047,0.28042845577471187,0.4537439718590054
35type,B cell,3,ENSG00000186468,RPS23,0.10769381767555539,0.28042845577471187,0.4537439718590054
35type,B cell,4,ENSG00000197756,RPL37A,0.10759577400437789,0.28042845577471187,0.4537439718590054
35type,B cell,5,ENSG00000198242,RPL23A,0.10672997382142058,0.28042845577471187,0.4537439718590054
35type,"CD4-positive, alpha-beta T cell",1,ENSG00000182899,RPL35A,0.12344057601688221,0.23300038203851983,0.5572616909005779
35type,"CD4-positive, alpha-beta T cell",2,ENSG00000198918,RPL39,0.11731053475724063,0.23300038203851983,0.5572616909005779
35type,"CD4-positive, alpha-beta T cell",3,ENSG00000197756,RPL37A,0.11670183097979567,0.23300038203851983,0.5572616909005779
35type,"CD4-positive, alpha-beta T cell",4,ENSG00000186468,RPS23,0.11519805262677843,0.23300038203851983,0.5572616909005779
35type,"CD4-positive, alpha-beta T cell",5,ENSG00000142937,RPS8,0.11513671780655314,0.23300038203851983,0.5572616909005779
35type,"CD8-positive, alpha-beta T cell",1,ENSG00000182899,RPL35A,0.12874983948191432,0.14739976176784636,0.6720632826195786
35type,"CD8-positive, alpha-beta T cell",2,ENSG00000198918,RPL39,0.12308981271287563,0.14739976176784636,0.6720632826195786
35type,"CD8-positive, alpha-beta T cell",3,ENSG00000142937,RPS8,0.1185356533079378,0.14739976176784636,0.6720632826195786
35type,"CD8-positive, alpha-beta T cell",4,ENSG00000197756,RPL37A,0.11715329154812604,0.14739976176784636,0.6720632826195786
35type,"CD8-positive, alpha-beta T cell",5,ENSG00000186468,RPS23,0.11572294303451519,0.14739976176784636,0.6720632826195786
35type,T cell,1,ENSG00000142937,RPS8,-0.09612748138101551,0.5876453787656135,0.1881657045745823
35type,T cell,2,ENSG00000137154,RPS6,-0.09441914376867241,0.5876453787656135,0.1881657045745823
35type,T cell,3,ENSG00000186468,RPS23,-0.09422125880665441,0.5876453787656135,0.1881657045745823
35type,T cell,4,ENSG00000182899,RPL35A,-0.09390548577268985,0.5876453787656135,0.1881657045745823
35type,T cell,5,ENSG00000231500,RPS18,-0.0930983840533682,0.5876453787656135,0.1881657045745823
35type,adventitial cell,1,ENSG00000198918,RPL39,-0.12667741060443338,0.31310366960727065,0.5170198591438788
35type,adventitial cell,2,ENSG00000182899,RPL35A,-0.11804831753361152,0.31310366960727065,0.5170198591438788
35type,adventitial cell,3,ENSG00000134419,RPS15A,-0.11561493111391874,0.31310366960727065,0.5170198591438788
35type,adventitial cell,4,ENSG00000233927,RPS28,-0.11109165104606573,0.31310366960727065,0.5170198591438788
35type,adventitial cell,5,ENSG00000197756,RPL37A,-0.11085945776980258,0.31310366960727065,0.5170198591438788
35type,basal cell,1,ENSG00000182899,RPL35A,0.11843731548612006,0.20027908527818802,0.6345726123201156
35type,basal cell,2,ENSG00000198918,RPL39,0.11229155410473422,0.20027908527818802,0.6345726123201156
35type,basal cell,3,ENSG00000197756,RPL37A,0.10659539823506227,0.20027908527818802,0.6345726123201156
35type,basal cell,4,ENSG00000221983,UBA52,0.10641387511847178,0.20027908527818802,0.6345726123201156
35type,basal cell,5,ENSG00000149806,FAU,0.10559121429807601,0.20027908527818802,0.6345726123201156
35type,bladder urothelial cell,1,ENSG00000182899,RPL35A,0.12500740539772132,0.17685486328707276,0.7007318965281413
35type,bladder urothelial cell,2,ENSG00000198918,RPL39,0.11991844095199464,0.17685486328707276,0.7007318965281413
35type,bladder urothelial cell,3,ENSG00000134419,RPS15A,0.11234887323067348,0.17685486328707276,0.7007318965281413
35type,bladder urothelial cell,4,ENSG00000197756,RPL37A,0.11176232397047874,0.17685486328707276,0.7007318965281413
35type,bladder urothelial cell,5,ENSG00000142937,RPS8,0.11166635338709704,0.17685486328707276,0.7007318965281413
35type,classical monocyte,1,ENSG00000196154,S100A4,-0.0796920846803003,0.4901806595975628,0.15246225281669942
35type,classical monocyte,2,ENSG00000090382,LYZ,-0.07467027389240592,0.4901806595975628,0.15246225281669942
35type,classical monocyte,3,ENSG00000038427,VCAN,-0.06638223701345922,0.4901806595975628,0.15246225281669942
35type,classical monocyte,4,ENSG00000188641,DPYD,-0.06602656638463568,0.4901806595975628,0.15246225281669942
35type,classical monocyte,5,ENSG00000198840,MT-ND3,-0.06083831020752177,0.4901806595975628,0.15246225281669942
35type,endothelial cell,1,ENSG00000182899,RPL35A,0.11086054920445182,0.30115783454285205,0.436269776032227
35type,endothelial cell,2,ENSG00000198918,RPL39,0.11045352149482884,0.30115783454285205,0.436269776032227
35type,endothelial cell,3,ENSG00000134419,RPS15A,0.10563977990652165,0.30115783454285205,0.436269776032227
35type,endothelial cell,4,ENSG00000186468,RPS23,0.10509531701020916,0.30115783454285205,0.436269776032227
35type,endothelial cell,5,ENSG00000142937,RPS8,0.1042529497857474,0.30115783454285205,0.436269776032227
35type,enterocyte of epithelium of large intestine,1,ENSG00000233927,RPS28,0.07476588018555824,0.44821301414566406,0.2929136473918333
35type,enterocyte of epithelium of large intestine,2,ENSG00000108107,RPL28,0.07259215312789369,0.44821301414566406,0.2929136473918333
35type,enterocyte of epithelium of large intestine,3,ENSG00000198918,RPL39,0.07250431902433592,0.44821301414566406,0.2929136473918333
35type,enterocyte of epithelium of large intestine,4,ENSG00000170421,KRT8,0.07223387465212813,0.44821301414566406,0.2929136473918333
35type,enterocyte of epithelium of large intestine,5,ENSG00000197956,S100A6,0.06971580747296882,0.44821301414566406,0.2929136473918333
35type,epithelial cell,1,ENSG00000182899,RPL35A,0.09803736574895211,0.4397861410151575,0.3056494054555048
35type,epithelial cell,2,ENSG00000147403,RPL10,0.09544155821739259,0.4397861410151575,0.3056494054555048
35type,epithelial cell,3,ENSG00000186468,RPS23,0.09536113705113329,0.4397861410151575,0.3056494054555048
35type,epithelial cell,4,ENSG00000142937,RPS8,0.09522112828055912,0.4397861410151575,0.3056494054555048
35type,epithelial cell,5,ENSG00000134419,RPS15A,0.0907368723475504,0.4397861410151575,0.3056494054555048
