combo,threshold,metric,method,spearman_rho,p_value,fdr_q,significant,n_cell_types
degree_C_identity_t900,900,degree,C_identity,0.2913,0.08957346635290091,0.7561147998119533,False,35
degree_C_identity_t700,700,degree,C_identity,0.2501,0.14739495021980054,0.7561147998119533,False,35
betweenness_C_identity_t900,900,betweenness,C_identity,0.2461,0.15408747284975982,0.7561147998119533,False,35
betweenness_C_identity_t400,400,betweenness,C_identity,0.2427,0.16011612780584045,0.7561147998119533,False,35
betweenness_C_identity_t700,700,betweenness,C_identity,0.2274,0.18888028842111865,0.7561147998119533,False,35
pagerank_C_identity_t900,900,pagerank,C_identity,0.2125,0.2204683736879602,0.7561147998119533,False,35
degree_C_identity_t400,400,degree,C_identity,0.2045,0.23853769511843215,0.7561147998119533,False,35
pagerank_C_identity_t400,400,pagerank,C_identity,0.2009,0.2472564897338366,0.7561147998119533,False,35
pagerank_C_identity_t700,700,pagerank,C_identity,0.1989,0.25203826660398443,0.7561147998119533,False,35
degree_B_deformation_t400,400,degree,B_deformation,-0.0874,0.6176277894480782,0.9554249727611829,False,35
betweenness_A_expressed_t700,700,betweenness,A_expressed,-0.0866,0.6210259577674411,0.9554249727611829,False,35
pagerank_B_deformation_t400,400,pagerank,B_deformation,-0.0711,0.6846333570742377,0.9554249727611829,False,35
betweenness_B_deformation_t700,700,betweenness,B_deformation,-0.0585,0.7383374395409855,0.9554249727611829,False,35
pagerank_B_deformation_t700,700,pagerank,B_deformation,-0.0583,0.7395459178859107,0.9554249727611829,False,35
degree_B_deformation_t700,700,degree,B_deformation,-0.0538,0.7589632076802879,0.9554249727611829,False,35
betweenness_A_expressed_t900,900,betweenness,A_expressed,-0.0504,0.7736226328136038,0.9554249727611829,False,35
betweenness_A_expressed_t400,400,betweenness,A_expressed,-0.0409,0.8155620550919772,0.9554249727611829,False,35
pagerank_A_expressed_t400,400,pagerank,A_expressed,-0.0387,0.8255085005781093,0.9554249727611829,False,35
betweenness_B_deformation_t900,900,betweenness,B_deformation,0.037,0.8329859936808328,0.9554249727611829,False,35
degree_B_deformation_t900,900,degree,B_deformation,-0.0314,0.8580116913438935,0.9554249727611829,False,35
pagerank_B_deformation_t900,900,pagerank,B_deformation,-0.0294,0.8668042331377204,0.9554249727611829,False,35
pagerank_A_expressed_t900,900,pagerank,A_expressed,-0.0263,0.8806525045445801,0.9554249727611829,False,35
degree_A_expressed_t400,400,degree,A_expressed,-0.0235,0.8932722295767842,0.9554249727611829,False,35
pagerank_A_expressed_t700,700,pagerank,A_expressed,-0.023,0.8957993703512938,0.9554249727611829,False,35
degree_A_expressed_t700,700,degree,A_expressed,-0.0196,0.9109825508342876,0.9554249727611829,False,35
degree_A_expressed_t900,900,degree,A_expressed,-0.0101,0.9541527197232413,0.9554249727611829,False,35
betweenness_B_deformation_t400,400,betweenness,B_deformation,-0.0098,0.9554249727611829,0.9554249727611829,False,35
