Number,Context,Source file,Source key/line,DECISION log reference,First appears in section,Verified
0.0001,Primary Procrustes p-value (35 types Tabula),output/phase2/scaled_35types/procrustes_results_35.json,permutation_test.p_value = 9.999e-05,DECISION-021 (Phase 1 GO),All sections,YES
0.004,Bootstrap CV (100 iterations 50% subsample),output/phase3/bootstrap/bootstrap_summary.json,gate_criterion.cv = 0.003966,DECISION-010,All sections,YES
35/35,LOOCV all types better than chance,output/phase3/loocv/loocv_summary.json,n_better_than_chance = 35,DECISION-010,All sections,YES
0.522,Primary Tabula obs/null ratio,output/phase2/scaled_35types/procrustes_results_35.json,distance/null_median = 61.153/117.105,—,Results,YES
0.607,H-vs-H v2 obs/null ratio,output/phase2/negative_control_v2/negctrl_v2_results.json,permutation_test.obs_null_ratio (line 4 comparison_3way.csv) = 0.6066,DECISION-046,Results,YES
0.317,H-vs-M obs/null ratio (6-type),output/phase2/negative_control_v2/comparison_3way.csv,obs_to_null_ratio = 0.3166 (cross-species row),DECISION-046,Results,YES
1.91,H-vs-H / H-vs-M obs/null ratio,DERIVED from comparison_3way.csv,0.6066 / 0.3166 = 1.916,DECISION-046,Results,YES
0.0001,Sun2023 expanded 15-type p-value,output/validation/sun2023_replication_expanded/sun2023_expanded.json,procrustes.p_value = 9.999e-05,DECISION-100,Results,YES
0.554,Sun2023 expanded 15-type obs/null,output/validation/sun2023_replication_expanded/sun2023_expanded.json,procrustes.obs_null_ratio = 0.5535,DECISION-100,Results,YES
0.010,Sun2023 6-type p-value,output/validation/sun2023_replication/sun2023_replication.json,comparison_a.p_value = 0.0099,DECISION-098,Results,YES
0.724,Sun2023 6-type obs/null,output/validation/sun2023_replication/sun2023_replication.json,comparison_a.obs_null_ratio = 0.7240,DECISION-098,Results,YES
0.490,Sun2023 tissue-matched (lung endothelial) obs/null,output/validation/sun2023_issue092_diagnosis/issue092_diagnosis.json,obs_null_ratio = 0.4904,DECISION-101,Results,YES
0.0001,PanSci p-value (16 types),output/validation/pansci_replication/pansci_replication.json,procrustes.p_value = 9.999e-05,DECISION-102,Results,YES
0.552,PanSci obs/null,output/validation/pansci_replication/pansci_replication.json,procrustes.obs_null_ratio = 0.5519,DECISION-102,Results,YES
CAS Beijing,Sun2023 institution,output/validation/sun2023_replication/sun2023_replication.json,dataset.name = "Sun et al. 2023 (Innovation CAS Beijing)",DECISION-098,Methods,YES
Cao lab (Science 2025),PanSci institution,output/validation/pansci_replication/pansci_replication.json,dataset.name = "PanSci (Cao lab Science 2025)",DECISION-102,Methods,YES
Stanford/CZ Biohub,Tabula Sapiens institution (primary),DECISION-098 author overlap check,—,DECISION-098,Methods,YES
0.0001,Centroid position conservation p-value (35-type k=3),output/mechanistic/ellipsoid_alignment/permutation_results.json,35type.label_shuffle_pre.k=3.p_value = 9.999e-05,—,Results,YES
0.0001,Centroid position conservation p-value (35-type k=5),output/mechanistic/ellipsoid_alignment/permutation_results.json,35type.label_shuffle_pre.k=5.p_value = 9.999e-05,—,Results,YES
0.0001,Cloud shape direction conservation p-value (35-type k=3),output/mechanistic/ellipsoid_alignment/permutation_results.json,35type.label_shuffle_post.k=3.p_value = 9.999e-05,—,Results,YES
0.0001,Cloud shape direction conservation p-value (35-type k=5),output/mechanistic/ellipsoid_alignment/permutation_results.json,35type.label_shuffle_post.k=5.p_value = 9.999e-05,—,Results,YES
0.953,Eigenvalue mean Pearson r across 35 types,output/mechanistic/ellipsoid_alignment/35type_eigenvalue_conservation.csv,COMPUTED: mean of pearson_r column = 0.953483,—,Results,YES
0.852,Fractal geometry Spearman rho (L1000 vs full),output/landmark_sensitivity/sensitivity_gate_result.json,spearman_rho = 0.8515,DECISION-128,Results,YES
8.92e-11,Fractal geometry Spearman p-value,output/landmark_sensitivity/sensitivity_gate_result.json,spearman_p_value = 8.92e-11,DECISION-128,Results,YES
35,Fractal geometry n cell types,output/landmark_sensitivity/sensitivity_gate_result.json,n_cell_types = 35,DECISION-128,Results,YES
907/978,Landmark genes in centroids / total L1000,output/landmark_sensitivity/sensitivity_gate_result.json,"landmark_genes_in_centroids=907, l1000_landmark_genes_total=978",DECISION-128,Results,YES
5.3%,Gene space reduction percentage,output/landmark_sensitivity/sensitivity_gate_result.json,gene_space_reduction_pct = 5.3,DECISION-128,Results,YES
0.0002,Human-macaque Procrustes p-value (20 types),output/macaque_pipeline/primary_procrustes_results.json,permutation_test.p_value = 0.00020,DECISION-131,Results,YES
0.841,Human-macaque obs/null ratio,output/macaque_pipeline/primary_procrustes_results.json,permutation_test.obs_null_ratio = 0.8406,DECISION-131,Results,YES
20,Human-macaque n cell types,output/macaque_pipeline/primary_procrustes_results.json,n_types = 20,DECISION-131,Results,YES
0.0002,Macaque sensitivity (RIRA-only 13 types) p-value,output/macaque_pipeline/sensitivity_procrustes_results.json,permutation_test.p_value = 0.00020,DECISION-131,Results,YES
