,B cell,"CD4-positive, alpha-beta T cell","CD8-positive, alpha-beta T cell",T cell,adventitial cell,basal cell,bladder urothelial cell,classical monocyte,endothelial cell,enterocyte of epithelium of large intestine,epithelial cell,fibroblast,fibroblast of cardiac tissue,granulocyte,hematopoietic precursor cell,hematopoietic stem cell,hepatocyte,intermediate monocyte,large intestine goblet cell,luminal epithelial cell of mammary gland,macrophage,mature NK T cell,mesenchymal stem cell,mesenchymal stem cell of adipose tissue,monocyte,myeloid dendritic cell,myeloid leukocyte,natural killer cell,neutrophil,non-classical monocyte,pancreatic acinar cell,pancreatic ductal cell,plasma cell,smooth muscle cell,stromal cell
B cell,0.8976784715613683,0.011880209740995419,0.0,0.03936575868297148,0.0,0.0,0.0,0.0,0.0,0.0,0.015084357907893564,0.0,0.0,0.0,0.012641503416962283,0.00039755281280439043,0.0,0.0,0.0,2.7682519130016616e-05,0.021562132222335034,0.018171270123330793,0.0,0.0,0.0,0.0012947856344823377,0.0034511756112426684,0.010402813469252172,0.0,0.0,0.0,0.0,0.05561969607740695,0.0,0.0
"CD4-positive, alpha-beta T cell",0.0006353998897407529,0.35180820459686485,0.2534093155041081,0.6279167093337138,0.0,0.0,6.163888320983592e-05,0.0,8.419532069191614e-05,0.0018208615403863982,0.00789813150101233,0.0,0.0,0.0007191769675960263,0.10996571826710552,0.00905055153321723,0.0,0.0,0.0,0.000618884394307089,0.0032398973524805307,0.1902394372671538,0.0,0.0004540008766718607,0.0020245539847140066,0.0005722846902077729,0.0005596500444029843,0.044214253970726036,0.0,0.0,0.0008971424036863906,0.0,0.0020774190677834243,0.0,0.0
"CD8-positive, alpha-beta T cell",6.372198709813874e-05,0.19702109577625132,0.4201705033289267,0.24002764325581022,0.0,0.0,0.0,0.0,0.0,0.0,0.011595430189918621,0.0,0.0,0.0017552670950181607,0.24610963622448706,0.0149548936841668,0.0,0.0,0.0,9.23844172086338e-05,0.006455513061810292,0.6432338138614286,0.0,0.0,0.0,7.106557058350087e-05,0.0010470458369028193,0.1346436712561188,0.0011667074622319976,0.0,0.0,0.0,0.0014182051147295198,0.0,0.0
T cell,0.0072499138770938335,0.24918172508162623,0.11378465899616667,0.36700123641777094,0.0,0.0,9.729820062951443e-05,0.00015759331600240193,0.001354307432024435,0.0,0.02530945526229745,0.0004698067364464731,0.00018287315333513095,0.0016133551856084192,0.018318401657961454,0.028172267226681445,0.0,0.0,5.7619000100903605e-05,0.0006547478231417649,0.008221036663618595,0.02426837139869594,0.0,0.0005078275074686783,0.0016095465436563369,0.0003861629246603219,0.002232387184843442,0.015303086394907373,0.001885878569385623,0.0,0.0010579763209962278,6.422031627200859e-05,0.002732783076739739,0.0004312457835135594,0.0
adventitial cell,0.0004505321962655727,8.823638278800258e-05,0.0,4.4371808910757414e-05,0.4781610692575554,0.0,0.0014349517487282583,0.0005203490308042019,0.0001435524282770495,0.0,0.005467188806860031,0.19674265731457727,0.1569848884827833,0.0,0.008015483462247064,0.0,0.0,0.0,0.0,0.00012297641504545074,0.0003492197020819321,0.0,0.08514002027100735,0.5634370227651475,0.0010993710613284337,0.0,9.216020215944841e-05,0.0,0.0,0.0,0.0007257481530110927,0.0,0.00018840437196545256,0.00022435709865315125,0.05290911794468419
basal cell,0.000249693186989459,0.00021493318885034397,0.0004255324965721062,0.0052463655749989445,0.0011453156364175953,0.4826362965064056,0.08046625428414197,0.00020548719016014053,0.00733545205690841,0.00016210123040454074,0.18655539440244945,0.0005582282389350052,0.008258309354263001,9.517736284836942e-05,0.0007335320831279554,0.0,0.0,0.0,3.837139871682545e-05,0.21668106620000369,0.015464934190539986,0.000363599212819365,0.0016721836259823372,0.0019292038577757302,6.108837155955946e-05,9.605347245081021e-05,0.0017394654738287414,0.0007073675135015064,0.00022172854040663478,0.0032273681877812454,0.0001352070780025662,0.0007606362891807595,8.55776512964607e-05,0.004593816074767449,0.0005225232636067434
bladder urothelial cell,0.0005717877027769408,0.00017626414745798439,0.0,7.867456358983027e-05,0.0,0.0020835024522050044,0.9210293908409308,0.0,0.0011227890028581327,0.0,0.07256965982489375,0.0,8.060233413915828e-05,0.0,0.0,0.0,0.0,0.0,0.0001815484287963686,0.0,0.0002868783055566654,8.765010732215286e-05,0.0,0.000593497970184793,0.0028488401994223736,0.000776326793786778,0.00017908509945159276,0.0,0.0014087738721752713,0.0,0.0018577451690338777,0.0,0.0,0.001914412679537849,0.00013757842692564538
classical monocyte,0.0030174208340966605,0.0010615617656646727,0.0002665881664076375,0.000683329085667852,0.0,0.0,0.0,0.21580737369259034,0.005364039791548605,0.0,0.00796372950549334,0.0,0.0,0.006718805077110086,0.0007962289125504156,0.00019654885577163536,0.00027633447041663586,0.07614456576112197,0.0,0.0,0.0462708289414167,0.0002858157639577151,0.0,0.0011585646149151723,0.3492107854639994,0.006091726003484531,0.07926673385758075,0.00028357242126310274,0.055631328274315384,0.02001448449423994,0.0023243565851583403,0.0,0.004172401219490429,0.0002558236855961418,0.0
endothelial cell,0.0024119749269441034,0.0001729758436960417,0.0,0.0002290968591265311,0.007110872063889831,8.730881145121168e-05,0.0,0.00011940622339938584,0.8271267070072537,0.0,0.011436556064394608,0.004146035743777402,0.0033707354441472838,0.0015650562943136058,0.0008749418191780458,0.0,0.004713321187646193,6.476227111063641e-05,0.00017357949307843988,0.0001663613915200732,0.005118844266684815,9.598588214030183e-05,0.0017702286572899993,0.0021956133473823663,0.003920394644406357,0.0,0.013068041555476487,0.0,0.00036579526895245653,0.0009856910282238977,0.0014717654269634113,0.0,0.0012353511017313675,0.09825121406876242,0.0029778639213275193
enterocyte of epithelium of large intestine,0.005164998734379927,0.0021284135323244207,0.0009178286030111961,0.0008144778132624083,0.00014358068927328754,0.0,7.659428997882113e-05,0.0,0.0037798349091245818,0.9393663364907228,0.10788790242246364,0.00036210099264731685,0.0026938790235027125,0.0,0.0,0.0009749885368310606,0.0,0.0,0.07256400836954216,3.451233709994778e-05,0.007483420017476236,0.0,7.201296940969172e-05,0.010634044360537961,0.02800828370963191,0.004746525467354373,0.0012964852448461722,0.0,0.0,0.0,0.024945477420054783,0.00387612096770427,0.0,0.0,0.0
epithelial cell,5.484393502133664e-05,7.81829071098104e-05,0.0,5.695097350979045e-05,0.0006579167888267497,0.02250068564787555,0.0,0.0003218737803079099,0.0006080556721854142,0.04406523017721029,0.049917876447828455,0.00632840003913134,0.002651053032515631,9.785065075717058e-05,0.007247480950800168,0.0,0.0,0.0,0.09051353061212626,0.005570360511076006,0.003659401840229742,0.0,0.003212585069289312,0.002435362765143222,0.0004203151688797615,7.711369224056494e-05,0.0,0.0,0.0,0.0,0.002340948380457197,0.0007866648280131611,0.0,0.0041165045245318745,0.0011492938074052612
fibroblast,0.0004960856713729429,0.0,0.0,1.3495805416374845e-05,0.2234289611524089,0.0036881767233686432,0.005312114585419586,0.0,9.838592246542298e-05,0.0,0.003766480992659405,0.13320591890346775,0.09880869008156293,0.00015871513599302457,0.0,0.0007312908282037225,0.0,0.0,0.0,5.510171248840596e-05,0.006487765439531566,0.0,0.33597829824578695,0.2910130698630608,0.00019165157541524408,0.0,7.913989539756137e-05,0.0,0.0,0.0,0.00018480001972316062,0.0,0.0004662348013857954,0.019996358038891476,0.5040063202545115
