cell_type,rank,residual_magnitude,pct_of_ssr,germ_layer,lineage,progenitor,mki67_human,mki67_mouse,mki67_mean,stemness_human,stemness_mouse,stemness_score
stromal cell,1,16.984603696210993,7.713926494184574,mesoderm,mesenchymal,False,0.0053034797,0.0035628283,0.004433154,-0.032688923079737586,0.2893528425613287,0.12833195974079556
epithelial cell,2,16.267367119340193,7.076185285974046,mixed,epithelial,False,0.2042522,0.0058886386,0.1050704193,-0.013386251517371488,0.5080965666466027,0.24735515756461562
hematopoietic precursor cell,3,15.353904628472929,6.303798719788128,mesoderm,hematopoietic,True,0.94947207,0.3053502,0.627411135,0.023702008850142037,-0.35727035733260104,-0.1667841742412295
hematopoietic stem cell,4,14.94836253134559,5.975192540499263,mesoderm,hematopoietic,True,0.16001846,0.0,0.08000923,0.19337410106069783,0.40894794136134505,0.30116102121102145
pancreatic acinar cell,5,12.837688508209771,4.406952079103269,endoderm,epithelial,False,0.00063075044,0.0,0.00031537522,-0.4352792430538653,-0.49672058968229055,-0.4659999163680779
basal cell,6,12.766119470797328,4.3579522688856365,ectoderm,epithelial,True,0.1821299,0.0065852823,0.09435759115,0.5461612283591047,0.5482678820217181,0.5472145551904114
T cell,7,11.669226435501992,3.6412357228989647,mesoderm,hematopoietic,False,0.04486227,0.042516444,0.043689357,0.05331888403750721,-0.4103438462598774,-0.1785124811111851
neutrophil,8,11.597880291489918,3.596846499346404,mesoderm,hematopoietic,False,0.045419946,0.0034746518,0.0244472989,-0.3671035180954083,0.038727515924705455,-0.16418800108535142
fibroblast of cardiac tissue,9,11.521942001663705,3.549899270270148,mesoderm,mesenchymal,False,9.609688e-05,0.0021181104,0.00110710364,0.05314644562207691,-0.23588798329095553,-0.09137076883443931
myeloid leukocyte,10,11.509243348794332,3.5420786967641096,mesoderm,hematopoietic,False,0.007200703,0.080339074,0.0437698885,-0.23685736792967016,-0.22854590540574005,-0.2327016366677051
mesenchymal stem cell of adipose tissue,11,11.432483678688156,3.4949892196540766,mesoderm,mesenchymal,True,0.008176853,0.0037885618,0.0059827074,0.4848428510507705,0.1560750618108618,0.3204589564308162
plasma cell,12,11.083711716328304,3.284997952556522,mesoderm,hematopoietic,False,0.35050634,0.23272368,0.29161501,-0.011434518186671105,-0.1425517883561,-0.07699315327138555
