rank,cell_type,residual_magnitude,pct_of_ssr,word_count,char_length,specificity_class,cl_descendants
1,stromal cell,16.984603696210993,7.713926494184574,2,12,broad,162
2,epithelial cell,16.267367119340193,7.076185285974046,2,15,broad,696
3,hematopoietic precursor cell,15.353904628472929,6.303798719788128,3,28,specific,105
4,hematopoietic stem cell,14.94836253134559,5.975192540499263,3,23,specific,11
5,pancreatic acinar cell,12.837688508209771,4.406952079103269,3,22,specific,0
6,basal cell,12.766119470797328,4.3579522688856365,2,10,broad,13
7,T cell,11.669226435501992,3.6412357228989647,2,6,broad,171
8,neutrophil,11.597880291489918,3.596846499346404,1,10,broad,6
9,fibroblast of cardiac tissue,11.521942001663705,3.549899270270148,4,28,specific,2
10,myeloid leukocyte,11.509243348794332,3.5420786967641096,2,17,broad,176
11,mesenchymal stem cell of adipose tissue,11.432483678688156,3.4949892196540766,6,39,specific,2
12,plasma cell,11.083711716328304,3.284997952556522,2,11,broad,13
13,mesenchymal stem cell,10.340755101730728,2.8593621647667633,3,21,broad,24
14,"CD4-positive, alpha-beta T cell",10.21169775481372,2.788435252447736,4,31,specific,36
15,classical monocyte,9.928629416857593,2.635986990781183,2,18,specific,5
16,macrophage,9.878522208732337,2.609447847939894,1,10,broad,75
17,B cell,9.84610068589495,2.592347427863209,2,6,broad,97
18,luminal epithelial cell of mammary gland,9.654116202287025,2.49223909427108,6,40,specific,5
19,large intestine goblet cell,9.466734231251584,2.396431559006483,4,27,specific,4
20,enterocyte of epithelium of large intestine,9.297263435043051,2.3113990682504912,6,43,specific,6
21,myeloid dendritic cell,8.898935755842247,2.117584763034715,3,22,specific,7
22,monocyte,8.722374107298508,2.034389380362581,1,8,broad,21
23,natural killer cell,8.686951760199305,2.017899255306074,3,19,broad,33
24,intermediate monocyte,8.427986266571045,1.899381916619565,2,21,specific,7
25,mature NK T cell,8.274654323291125,1.8308989703564151,4,16,specific,14
26,adventitial cell,8.080278679217866,1.7458918557412253,2,16,specific,5
27,granulocyte,7.932489173190314,1.6826106616690824,1,11,broad,20
28,fibroblast,7.507943223117857,1.507324019790829,1,10,broad,103
29,bladder urothelial cell,7.39810930054472,1.463545224973831,3,23,specific,1
30,pancreatic ductal cell,6.787640413838285,1.2319761888115477,3,22,specific,0
31,smooth muscle cell,6.705379907369501,1.2022960987848603,3,18,specific,65
32,hepatocyte,6.058641994458259,0.981556361194393,1,10,specific,3
33,endothelial cell,5.971302732274846,0.9534607935431296,2,16,broad,108
34,non-classical monocyte,5.89287705793573,0.9285802054475302,2,22,specific,6
35,"CD8-positive, alpha-beta T cell",5.3762488830814785,0.7729001491122441,4,31,specific,28
