cell_type,residual,h_mean_expr,h_median_expr,h_detect_rate,h_top100_frac,m_mean_expr,m_median_expr,m_detect_rate,m_top100_frac,avg_mean_expr,avg_detect_rate,avg_top100_frac,norm_residual_by_avg_mean,rank_raw,rank_normalized,rank_delta
stromal cell,16.984601860305755,0.15411747527691938,0.06329236,0.4083377557639012,0.10011977200188618,0.14517829648474329,0.024102714,0.29182145173654106,0.13213382822603734,0.14964788588083133,0.3500796037502211,0.11612680011396176,113.4971052904219,1.0,2.0,1.0
epithelial cell,16.26737024211543,0.1857795549212551,0.06875225,0.43292646972109206,0.07995099707530696,0.14268193488845748,0.049159817,0.3478389055958488,0.09734398192153702,0.16423074490485629,0.3903826876584704,0.088647489498422,99.05191778518449,2.0,3.0,1.0
hematopoietic precursor cell,15.353906527873232,0.2087708974677089,0.064796954,0.4403561530750634,0.07244681392224947,0.14144872481552043,0.017073255,0.2991332036087033,0.14241103942898325,0.17510981114161467,0.36974467834188335,0.10742892667561636,87.68158921407455,3.0,5.0,2.0
hematopoietic stem cell,14.948369450470636,0.1885020449420213,0.071286306,0.44813963087446196,0.09389747028200313,0.2020591732988482,0.040022507,0.4027360103779704,0.0771982347144209,0.19528060912043477,0.42543782062621616,0.08554785249821201,76.54815046818898,4.0,7.0,3.0
pancreatic acinar cell,12.837687041017809,0.12914241566167048,0.04355676,0.3398785305737367,0.13416517685139148,0.0406936912646731,0.00583144,0.061383336281620376,0.3491886697412108,0.08491805346317179,0.20063093342767852,0.24167692329630114,151.1773588473198,5.0,1.0,4.0
basal cell,12.766119903451395,0.20590536557968445,0.085951194,0.47107730408632587,0.081888296487605,0.16857098123384068,0.031299558,0.33580989445132375,0.10211150164802014,0.18723817340676258,0.4034435992688248,0.09199989906781257,68.18118159974698,6.0,12.0,6.0
T cell,11.669230240557653,0.15818314939903697,0.036762513,0.3398195648328321,0.09755813899990473,0.11931848253355905,0.013525612,0.25378854885311636,0.16619033045095002,0.138750815966298,0.29680405684297423,0.13187423472542736,84.10206570166808,7.0,6.0,1.0
neutrophil,11.597874253364406,0.14072003726051666,0.013197251,0.23892918214517364,0.11128705316211933,0.09593732472185719,0.00520155,0.17318238103661773,0.18585047678598055,0.11832868099118693,0.2060557815908957,0.14856876497404994,98.01405843633303,8.0,4.0,4.0
fibroblast of cardiac tissue,11.5219467495538,0.19194474980012688,0.069979385,0.43787959195707293,0.07954781601341823,0.1592208922003233,0.041325163,0.35880653340409224,0.09683039858083922,0.1755828210002251,0.3983430626805826,0.08818910729712873,65.62115065652709,9.0,15.0,6.0
myeloid leukocyte,11.50924569568494,0.1771765045994453,0.0432961,0.36316999823102775,0.08176365999460422,0.146089851884035,0.024039635,0.30579633233091574,0.11872234232931271,0.16163317824174017,0.3344831652809718,0.10024300116195847,71.20596044007499,10.0,10.0,0.0
mesenchymal stem cell of adipose tissue,11.432484131377624,0.1890781078554964,0.0701636,0.4340468187982782,0.09547849759992524,0.16519344822073373,0.041697904,0.3612830945220827,0.09772647714807696,0.17713577803811506,0.3976649566601804,0.0966024873740011,64.5407960943816,11.0,16.0,5.0
plasma cell,11.0837158067887,0.16189070093082686,0.045363132,0.382392829765906,0.09534822431093351,0.14551921870993945,0.015610426,0.2946518072999587,0.12991678767132164,0.15370495982038315,0.33852231853293235,0.11263250599112758,72.11033280735332,12.0,8.0,4.0
mesenchymal stem cell,10.340754745994705,0.1964395369974349,0.06306862,0.41647502800872693,0.09167841955115731,0.13912835301028567,0.022020219,0.2786720915148299,0.13099935101320817,0.1677839450038603,0.3475735597617784,0.11133888528218275,61.63137209437286,13.0,17.0,4.0
"CD4-positive, alpha-beta T cell",10.211698233902776,0.1625833963874951,0.040038776,0.36234447785836427,0.11180760449159585,0.1223839002112024,0.01678832,0.2793796804056843,0.1301069033514248,0.14248364829934876,0.32086207913202425,0.12095725392151033,71.66926419829363,14.0,9.0,5.0
classical monocyte,9.92862842432038,0.20277600169644144,0.037589014,0.38522318532932365,0.08225528111161484,0.13079847599047503,0.008382321,0.24812783772628103,0.15960678224376823,0.16678723884345825,0.3166755115278023,0.12093103167769154,59.52870551229106,15.0,18.0,3.0
macrophage,9.878526364594377,0.1958843350457023,0.059442293,0.4154726104133498,0.07724976371522607,0.14203326478552708,0.028687136,0.31116221475322836,0.12116386688165046,0.1689587999156147,0.3633174125832891,0.09920681529843826,58.467072265712936,16.0,19.0,3.0
B cell,9.84610773899485,0.16968273814085486,0.039531182,0.37307624270298956,0.10952911212850913,0.12065519129932105,0.011747608,0.25785718497552923,0.16323481158974673,0.14516896472008795,0.3154667138392594,0.13638196185912793,67.82515641673086,17.0,13.0,4.0
luminal epithelial cell of mammary gland,9.65411330485748,0.20663978254634716,0.071327776,0.44566306975647146,0.0849119000746099,0.1705568249346591,0.03988079,0.3622265463765552,0.10911154787791001,0.18859830374050313,0.40394480806651334,0.09701172397625996,51.18875999086823,18.0,25.0,7.0
large intestine goblet cell,9.46673512918766,0.16656028908637927,0.051278133,0.37873695382982486,0.08435269825160058,0.17405939649289578,0.03188633,0.36204964915384164,0.08854958305505821,0.1703098427896375,0.37039330149183325,0.0864511406533294,55.58536708228153,19.0,21.0,2.0
enterocyte of epithelium of large intestine,9.29725882164393,0.12412047449559209,0.035653118,0.31528981661654576,0.09952924164446808,0.15782735980317078,0.02508603,0.32961849165634766,0.10126413720699509,0.14097391714938143,0.32245415413644674,0.10039668942573159,65.95020560996538,20.0,14.0,6.0
myeloid dendritic cell,8.898942576915942,0.16202150825433562,0.045354903,0.37372486585293946,0.09558004175966321,0.1487067131109421,0.021440538,0.31570257680287755,0.11489079297080382,0.15536411068263886,0.3447137213279085,0.10523541736523351,57.27798098168082,21.0,20.0,1.0
monocyte,8.722376854060062,0.19186259939656322,0.044838082,0.3863435344065098,0.08555396522120394,0.14549076453116558,0.017729525,0.29241110914558643,0.11855200623411036,0.1686766819638644,0.3393773217760481,0.10205298572765714,51.710626225909856,22.0,24.0,2.0
natural killer cell,8.686953921396096,0.1862154715634853,0.04583712,0.39483460109676277,0.08455242761961902,0.13232812389658685,0.018242685,0.2800283035556342,0.13639638416249678,0.15927179773003608,0.3374314523261985,0.11047440589105789,54.54169567496429,23.0,22.0,1.0
intermediate monocyte,8.427981918508479,0.206498886595548,0.047842707,0.4038563594551566,0.08232785658195517,0.12373996024294324,0.0063021616,0.2367474497317059,0.17004575032019867,0.16511942341924563,0.3203019045934312,0.1261868034510769,51.04173539359724,24.0,26.0,2.0
mature NK T cell,8.274657171711656,0.179731303207524,0.047995713,0.39064803349254085,0.09112329581413903,0.12404556868455421,0.009786904,0.2595082257208562,0.1640317154378154,0.15188843594603912,0.3250781296066985,0.1275775056259772,54.47851984367898,25.0,23.0,2.0
adventitial cell,8.080287157455897,0.17918873572940588,0.06589218,0.4289167993395837,0.0894399242675727,0.15647586404509645,0.039808404,0.3524382333864025,0.1036852472114853,0.16783229988725118,0.3906775163629931,0.096562585739529,48.14500643132573,26.0,27.0,1.0
granulocyte,7.932484886776578,0.1438500376712565,0.032338683,0.28910902765493246,0.09295705472531925,0.08842256647461769,0.005229508,0.17943274957249838,0.17043355971860727,0.1161363020729371,0.23427088861371542,0.13169530722196326,68.3032328840188,27.0,11.0,16.0
fibroblast,7.507949833964307,0.1958265665372747,0.07159252,0.44094581048410875,0.0859497898940043,0.14511197133404322,0.033448633,0.3197712129252904,0.10731992348764686,0.17046926893565895,0.3803585117046996,0.09663485669082558,44.04283470470018,28.0,28.0,0.0
bladder urothelial cell,7.398116962180861,0.209149597048028,0.060771234,0.42160504746742145,0.08229057359851491,0.16543674352191495,0.02490496,0.3351023055604694,0.12070055505306722,0.18729317028497147,0.3783536765139454,0.10149556432579107,39.500196141292456,29.0,30.0,1.0
pancreatic ductal cell,6.787640090303802,0.208624188880661,0.08517558,0.47302317353617546,0.07398372860789636,0.17003623981045898,0.049798127,0.39029423904711363,0.09282699956870387,0.18933021434556,0.43165870629164454,0.08340536408830011,35.850802333721546,30.0,33.0,3.0
