cell_type,residual,rank_raw,norm_residual_by_avg_mean,rank_normalized,rank_delta,avg_mean_expr
stromal cell,16.984601860305755,1.0,113.4971052904219,2.0,1.0,0.14964788588083133
epithelial cell,16.26737024211543,2.0,99.05191778518449,3.0,1.0,0.16423074490485629
hematopoietic precursor cell,15.353906527873232,3.0,87.68158921407455,5.0,2.0,0.17510981114161467
hematopoietic stem cell,14.948369450470636,4.0,76.54815046818898,7.0,3.0,0.19528060912043477
pancreatic acinar cell,12.837687041017809,5.0,151.1773588473198,1.0,4.0,0.08491805346317179
basal cell,12.766119903451395,6.0,68.18118159974698,12.0,6.0,0.18723817340676258
T cell,11.669230240557653,7.0,84.10206570166808,6.0,1.0,0.138750815966298
neutrophil,11.597874253364406,8.0,98.01405843633303,4.0,4.0,0.11832868099118693
fibroblast of cardiac tissue,11.5219467495538,9.0,65.62115065652709,15.0,6.0,0.1755828210002251
myeloid leukocyte,11.50924569568494,10.0,71.20596044007499,10.0,0.0,0.16163317824174017
mesenchymal stem cell of adipose tissue,11.432484131377624,11.0,64.5407960943816,16.0,5.0,0.17713577803811506
plasma cell,11.0837158067887,12.0,72.11033280735332,8.0,4.0,0.15370495982038315
mesenchymal stem cell,10.340754745994705,13.0,61.63137209437286,17.0,4.0,0.1677839450038603
"CD4-positive, alpha-beta T cell",10.211698233902776,14.0,71.66926419829363,9.0,5.0,0.14248364829934876
classical monocyte,9.92862842432038,15.0,59.52870551229106,18.0,3.0,0.16678723884345825
macrophage,9.878526364594377,16.0,58.467072265712936,19.0,3.0,0.1689587999156147
B cell,9.84610773899485,17.0,67.82515641673086,13.0,4.0,0.14516896472008795
luminal epithelial cell of mammary gland,9.65411330485748,18.0,51.18875999086823,25.0,7.0,0.18859830374050313
large intestine goblet cell,9.46673512918766,19.0,55.58536708228153,21.0,2.0,0.1703098427896375
enterocyte of epithelium of large intestine,9.29725882164393,20.0,65.95020560996538,14.0,6.0,0.14097391714938143
myeloid dendritic cell,8.898942576915942,21.0,57.27798098168082,20.0,1.0,0.15536411068263886
monocyte,8.722376854060062,22.0,51.710626225909856,24.0,2.0,0.1686766819638644
natural killer cell,8.686953921396096,23.0,54.54169567496429,22.0,1.0,0.15927179773003608
intermediate monocyte,8.427981918508479,24.0,51.04173539359724,26.0,2.0,0.16511942341924563
mature NK T cell,8.274657171711656,25.0,54.47851984367898,23.0,2.0,0.15188843594603912
adventitial cell,8.080287157455897,26.0,48.14500643132573,27.0,1.0,0.16783229988725118
granulocyte,7.932484886776578,27.0,68.3032328840188,11.0,16.0,0.1161363020729371
fibroblast,7.507949833964307,28.0,44.04283470470018,28.0,0.0,0.17046926893565895
bladder urothelial cell,7.398116962180861,29.0,39.500196141292456,30.0,1.0,0.18729317028497147
pancreatic ductal cell,6.787640090303802,30.0,35.850802333721546,33.0,3.0,0.18933021434556
smooth muscle cell,6.705384890826327,31.0,39.54155280243677,29.0,2.0,0.1695781884016731
hepatocyte,6.058640371671017,32.0,38.09910255891385,31.0,1.0,0.15902317809986075
endothelial cell,5.971297637181498,33.0,35.528223914630345,35.0,2.0,0.16807194335212877
non-classical monocyte,5.892882939127471,34.0,35.645590358456474,34.0,0.0,0.1653187078645047
"CD8-positive, alpha-beta T cell",5.376250842092007,35.0,36.143842317491384,32.0,3.0,0.14874596881168428
