cell_type,human_interdonor_var,mouse_interdonor_var,human_n_donors,mouse_n_donors,human_mean_cells_per_donor,mouse_mean_cells_per_donor,mean_interdonor_var,residual_magnitude
stromal cell,374.8594665527344,280.4039611816406,5,12,398.6,165.5,327.6317138671875,16.984601860305755
epithelial cell,384.57550048828125,510.10797119140625,5,13,331.0,56.30769230769231,447.34173583984375,16.26737024211543
hematopoietic precursor cell,257.87188720703125,71.05091857910156,10,17,199.4,117.6470588235294,164.4614028930664,15.353906527873232
hematopoietic stem cell,209.54168701171875,271.0250549316406,9,13,95.11111111111111,153.46153846153845,240.2833709716797,14.948369450470636
pancreatic acinar cell,63.01777267456055,172.90151977539062,2,13,1000.0,152.46153846153845,117.95964622497559,12.837687041017809
basal cell,193.44937133789062,283.4964294433594,8,15,249.375,133.33333333333334,238.472900390625,12.766119903451395
T cell,164.1842498779297,258.74029541015625,9,25,219.33333333333334,77.64,211.46227264404297,11.669230240557653
neutrophil,188.9464874267578,245.6146697998047,9,15,219.44444444444446,43.4,217.28057861328125,11.597874253364406
fibroblast of cardiac tissue,138.84457397460938,276.5595397949219,5,25,389.2,79.72,207.70205688476562,11.5219467495538
myeloid leukocyte,301.81695556640625,311.39453125,5,11,198.6,45.54545454545455,306.6057434082031,11.50924569568494
mesenchymal stem cell of adipose tissue,181.44113159179688,260.4913024902344,5,21,399.6,95.23809523809524,220.96621704101562,11.432484131377624
plasma cell,208.5638885498047,176.65643310546875,14,16,141.85714285714286,100.1875,192.61016082763672,11.0837158067887
mesenchymal stem cell,177.8711700439453,240.63381958007812,6,26,333.3333333333333,75.34615384615384,209.25249481201172,10.340754745994705
"CD4-positive, alpha-beta T cell",156.70848083496094,244.74440002441406,11,26,179.45454545454547,65.65384615384616,200.7264404296875,10.211698233902776
classical monocyte,193.55352783203125,86.06719207763672,12,12,166.0,160.66666666666666,139.81035995483398,9.92862842432038
macrophage,205.43775939941406,256.2542724609375,14,35,141.35714285714286,56.74285714285714,230.84601593017578,9.878526364594377
B cell,114.9349365234375,252.49176025390625,10,29,199.4,67.89655172413794,183.71334838867188,9.84610773899485
luminal epithelial cell of mammary gland,89.30152893066406,301.71368408203125,2,15,1000.0,133.33333333333334,195.50760650634766,9.65411330485748
large intestine goblet cell,85.1413803100586,172.77366638183594,4,17,389.25,102.58823529411765,128.95752334594727,9.46673512918766
enterocyte of epithelium of large intestine,134.59426879882812,179.23660278320312,4,18,499.5,111.11111111111111,156.91543579101562,9.29725882164393
myeloid dendritic cell,348.2380676269531,280.7791442871094,10,21,53.7,28.285714285714285,314.50860595703125,8.898942576915942
monocyte,169.10020446777344,408.9446105957031,11,30,180.27272727272728,66.36666666666666,289.0224075317383,8.722376854060062
natural killer cell,172.1377716064453,247.5483856201172,12,32,164.58333333333334,61.9375,209.84307861328125,8.686953921396096
intermediate monocyte,237.4176483154297,94.63314056396484,13,12,153.53846153846155,144.91666666666666,166.02539443969727,8.427981918508479
mature NK T cell,174.31344604492188,201.05836486816406,13,17,151.92307692307693,115.3529411764706,187.68590545654297,8.274657171711656
adventitial cell,185.7911834716797,334.6734619140625,5,18,208.2,41.27777777777778,260.2323226928711,8.080287157455897
granulocyte,656.8366088867188,284.3983154296875,7,31,109.0,64.06451612903226,470.6174621582031,7.932484886776578
fibroblast,195.33920288085938,338.06439208984375,11,17,180.9090909090909,115.23529411764706,266.70179748535156,7.507949833964307
bladder urothelial cell,113.6463623046875,359.4726867675781,6,20,333.3333333333333,99.95,236.5595245361328,7.398116962180861
pancreatic ductal cell,101.82864379882812,357.29571533203125,3,15,666.6666666666666,43.13333333333333,229.5621795654297,6.787640090303802
smooth muscle cell,282.69927978515625,269.5496520996094,13,22,153.6153846153846,75.68181818181819,276.1244659423828,6.705384890826327
hepatocyte,319.0523986816406,293.8061828613281,3,18,665.0,111.05555555555556,306.4292907714844,6.058640371671017
endothelial cell,242.30450439453125,294.86517333984375,16,33,125.0,60.42424242424242,268.5848388671875,5.971297637181498
non-classical monocyte,185.56704711914062,247.60195922851562,9,21,141.33333333333334,53.095238095238095,216.58450317382812,5.892882939127471
"CD8-positive, alpha-beta T cell",172.70745849609375,245.0963592529297,16,27,124.125,71.44444444444444,208.90190887451172,5.376250842092007
