Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),57/93,2.1475579073793567e-47,8.076965289653761e-44,0,0,27.76435443823712,2983.478900147105,EIF4A2;RPL5;RPL3;RPL32;RPL34;RPL10A;RPL8;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RACK1;RPL36;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPS7;RPS8;RPS5;RPL22;RPS6;RPL13A;SARS1;RPL37A;ETF1;RPL27;RPL26;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPS27A;ZC3H15;RPL19;RWDD1;RPL35A;RPL23A;EIF3M;RPS28;EIF3I;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),58/183,3.246752049046958e-28,6.105517228232804e-25,0,0,8.105513513513513,513.0362688966954,RPL5;RPL3;RPL32;RPL34;RPL10A;RPL8;EEF1B2;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS18;RPL36;RPL38;RPL37;LARGE1;RPS11;RPL39;RPS13;RPS9;RPS7;RPS8;RPS5;PABPC4;RPL22;RPS6;RPL13A;EEF1G;SARS1;RPL37A;RPL27;RPL26;RPL28;B4GALT5;RPL10;RPL12;RPL11;GSPT1;RPS15A;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL35A;RPL23A;EEF2;EXT1;RPS28;RPL27A;AGO2;RPS20;FAU;RPS21;EIF4G2;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),51/158,2.257739359227852e-25,2.830452576685317e-22,0,0,8.280218068535826,469.904555535319,RPL5;RPL3;RPL32;RPL34;RPL10A;RPL8;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS18;RPL36;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPS7;RPS8;RPS5;PABPC4;RPL22;RPS6;RPL13A;SARS1;RPL37A;RPL27;RPL26;RPL28;RPL10;RPL12;RPL11;GSPT1;RPS15A;RPL13;RPL15;RPS2;RPS27A;RPL19;RPL35A;RPL23A;RPS28;RPL27A;AGO2;RPS20;FAU;RPS21;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),70/296,3.2669198346491668e-25,3.0717213745288795e-22,0,0,5.442394468400991,306.84644372909725,RPL5;RPL3;RPL32;RPL34;HNRNPU;RPL8;RPL10A;RPS15;RBM3;RPS14;RPL7A;RPS17;RPS16;XPO1;RPL18A;RPS18;RPL36;RPL38;KPNA4;RPL37;RPS11;RPL39;RPS13;AGFG1;RPS9;RPS7;RPS8;PABPC4;RPS5;RPL22;RPS6;RPL13A;SARS1;XRN2;RPL37A;SRSF3;RBMS1;RPL27;RPL26;RPL28;RPL10;RPL12;RPL11;GSPT1;HSPD1;RPS15A;TSPAN5;RPL13;RPL15;RPS2;RPS27A;RPL19;RBM39;RBPMS;GALNT2;RPL35A;RPL23A;RPS28;TSPAN14;HNRNPK;NOVA1;HNRNPF;RPL27A;AGO2;HNRNPD;RPS20;STUB1;FAU;RPS21;RPS23
GO_Biological_Process_2023,Translation (GO:0006412),60/234,1.013518171922136e-23,7.623683689198306e-21,0,0,6.019189284909366,318.6921735787918,RPL5;RPL3;RPL32;RPL34;RPL8;RPL10A;RPS15;EEF1B2;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS18;RPL36;RACK1;RPL38;RPL37;RPS11;RPL39;RPS13;RPS9;RPS7;RPS8;PABPC4;RPS5;RPL22;RPS6;RPL13A;EEF1G;SARS1;RPL37A;RPL27;ETF1;RPL26;RPL28;UBA52;RPL10;RPL12;RPL11;GSPT1;RPS15A;RPL13;RPL15;RPS2;RPS27A;ZC3H15;RPL19;RWDD1;RPL35A;RPL23A;EEF2;RPS28;RPL27A;AGO2;RPS20;RPL22L1;FAU;RPS21;RPS23
GO_Biological_Process_2023,protein-RNA Complex Assembly (GO:0022618),40/150,6.847908593202747e-17,4.2924973698392566e-14,0,0,6.252478960086659,232.71728746572916,RPL5;HSP90AB1;RPL10;CELF1;RPL11;RPS27L;RPS15;RPS14;SNRPD2;SNRPD1;RPL38;TXNL4A;HSP90AA1;RPS5;PTGES3;RPL23A;EIF2S2;LSM4;RPS28;EIF3M;EIF5;AGO3;EIF6;EIF3K;AGO4;EIF3L;EIF3I;AGO2;EIF3G;LUC7L3;STRAP;EIF3H;SNRPE;EIF3E;SNRPF;SRSF5;SRSF6;EIF3D;SNRPB;SRSF9
GO_Biological_Process_2023,Protein Modification Process (GO:0036211),97/711,4.4122616682318054e-16,2.370645162031403e-13,0,0,2.789103698990039,98.61426719153752,APP;UBE2D2;UBE2D3;PPP2R2A;PPP1CB;PPP1CC;RPS6KA5;AKT3;PIM3;LARGE1;MAP2K1;PRKCH;DAPK1;PRKCB;FBXW11;DAPK2;PRKCE;DYRK1A;ADAM10;PRKCA;CSNK1D;PPP4R3A;FBXO11;RBX1;CSNK2B;ERG;TNIK;UBA52;EPHA3;STK39;STK4;STK3;UGCG;GRK2;GRK5;STK38;ST8SIA4;STK38L;ATG5;CDK17;LYN;CDK19;YES1;UBE2I;NEK7;OGA;DCLK1;PTK2;PTPRD;CDK6;STK24;PTPRA;UST;CPE;CDK14;BMPR1A;FGFR1;UBE2M;GSK3B;BMPR2;PTPRM;ILK;PTPRK;PPP3CA;SERP1;PPP2R5E;BRD2;PPP2R5A;OXSR1;YWHAZ;DDOST;DAD1;LCK;BIRC6;B4GALT5;PPM1L;ROCK1;ROCK2;PPM1H;NEDD8;PAK1;MAPK8;MAPK1;PTK2B;CSK;FYN;PAK3;PAK2;MAP4K3;ARFGEF1;WWP2;HIPK1;HIPK2;PPP1CA;MAPK10;TAOK3;TAOK1
GO_Biological_Process_2023,Phosphorylation (GO:0016310),66/429,1.0113554252468525e-13,4.7546346929417646e-11,0,0,3.159368331199317,94.53561368859934,APP;GSK3B;BMPR2;ILK;PIK3CB;RPS6KA5;AKT3;PIM3;BRD2;MAP2K1;PRKCH;DAPK1;PRKCB;DAPK2;PRKCE;DYRK1A;ADAM10;PRKCA;CSNK1D;OXSR1;YWHAZ;LCK;CSNK2B;BIRC6;ERG;TNIK;TOP1;EPHA3;ROCK1;ROCK2;MAPKAP1;STK39;STK4;STK3;PAK1;MAPK8;GRK2;GRK5;STK38;PGK1;STK38L;MAPK1;PTK2B;RICTOR;CSK;FYN;PAK3;PAK2;MAP4K3;CDK17;LYN;CDK19;STAT3;NEK7;HIPK1;DCLK1;PTK2;HIPK2;MAPK10;CDK6;TAOK3;STK24;TAOK1;CDK14;BMPR1A;FGFR1
GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),42/202,1.4465580855755799e-13,6.045005510944174e-11,0,0,4.509745179063361,133.32799699666006,EIF4A2;APP;CYFIP1;RPL5;DDX6;MTPN;DDX3X;RPL10;RPS27L;MSI2;YBX1;BZW2;BZW1;GSPT1;RBM3;RPS6KA3;RACK1;EIF4H;IGF2BP2;PAIP2;EIF4E;YTHDF3;IGFBP5;DAPK1;PRMT1;SAMD4A;RPL13A;EEF2;EIF1;EIF5;EIF6;CSDE1;SERBP1;HNRNPD;EIF3H;ETF1;EIF3E;RPL26;VIM;EIF1B;EIF3D;EIF4G2
GO_Biological_Process_2023,Protein Phosphorylation (GO:0006468),72/500,2.215068568562028e-13,8.330872886361788e-11,0,0,2.9293902729607373,85.35751952554857,APP;GSK3B;BMPR2;ILK;IGF1R;RPS6KA3;RPS6KA5;AKT3;PIM3;ERC1;BRD2;MAP2K1;PRKCH;CAMK1D;DAPK1;PRKCB;DAPK2;PRKCE;DYRK1A;ADAM10;PRKCA;CSNK1D;OXSR1;YWHAZ;LCK;CSNK2B;BIRC6;ERG;TNIK;TOP1;EPHA3;DDR2;USP15;ROCK1;CAB39;ROCK2;STK39;STK4;STK3;PAK1;MAPK8;GRK2;GRK5;ERBB4;STK38;STK38L;MAPK1;PTK2B;RICTOR;CSK;FYN;PAK3;PAK2;MAP4K3;CDK17;LYN;MAP3K3;CDK19;NEK7;HIPK1;DCLK1;PTK2;HIPK2;MAPK10;CDK6;TAOK3;STK24;TAOK1;CDK14;FGFR2;BMPR1A;FGFR1
