Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Detection Of Chemical Stimulus Involved In Sensory Perception Of Taste (GO:0050912),13/45,1.591764220648854e-07,0.00026311862567325557,0,0,7.916869866529774,123.92476443260377,TAS2R60;TAS2R7;TAS2R40;RTP3;TAS2R41;TAS2R42;TAS2R16;TAS2R38;TAS2R39;TAS1R2;TAS2R1;TAS2R3;TAS2R4
GO_Biological_Process_2023,Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste (GO:0001580),12/41,4.0836870887985147e-07,0.00030093937301670743,0,0,8.0568700265252,118.52538336321678,TAS2R60;TAS2R7;TAS2R40;RTP3;TAS2R41;TAS2R42;TAS2R1;TAS2R16;TAS2R38;TAS2R3;TAS2R39;TAS2R4
GO_Biological_Process_2023,Sensory Perception Of Bitter Taste (GO:0050913),12/42,5.461694610103583e-07,0.00030093937301670743,0,0,7.7878974358974355,112.30410197402772,TAS2R60;TAS2R7;TAS2R40;RTP3;TAS2R41;TAS2R42;TAS2R1;TAS2R16;TAS2R38;TAS2R3;TAS2R39;TAS2R4
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),24/204,7.286914290143995e-05,0.03011317330402,0,0,2.60754586362063,24.841686025051978,WFDC12;CHGA;WFDC11;WFDC9;TRAV27;DEFB119;DEFB118;RNASE10;DEFB128;IL23R;DEFB135;RNASE12;DEFB110;WFDC5;CST11;NLRP10;IFNE;IL12B;IL12A;WFDC10A;EPPIN;LALBA;WFDC13;GALP
GO_Biological_Process_2023,Axoneme Assembly (GO:0035082),9/41,0.00014050274172160696,0.0464502064131632,0,0,5.458493098159509,48.41838156558529,CRNN;RP1L1;LRGUK;RP1;DNAAF3;JHY;PIERCE2;LRRC43;PIERCE1
GO_Biological_Process_2023,Regulation Of Acrosome Reaction (GO:0060046),5/12,0.00017154637279461998,0.0472610257049178,0,0,13.82455629909805,119.86798491495703,FAM170B;SPINK13;CCDC87;IQCF1;ZP2
GO_Biological_Process_2023,Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042509),11/65,0.0003093023960451661,0.0652646705102429,0,0,3.9569861870066783,31.977161682431937,IL21;TNFSF18;IL4;IL3;CSF2;IL23R;IL31RA;IL12B;IL12A;IL2;IL22RA2
GO_Biological_Process_2023,Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531),10/55,0.0003158604743387439,0.0652646705102429,0,0,4.31434095303082,34.77449400150495,IL21;TNFSF18;IL4;IL3;CSF2;IL23R;IL31RA;IL12B;IL12A;IL2
GO_Biological_Process_2023,Regulation Of NK T Cell Activation (GO:0051133),3/5,0.0011116679692666,0.2041763503553151,0,0,28.98018292682927,197.1201241538669,IL23R;IL12B;IL12A
GO_Biological_Process_2023,Positive Regulation Of Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002824),4/14,0.0039644076123327,0.2849202514428716,0,0,7.73265513733469,42.76466699592012,NLRP10;IL23R;CLEC6A;IL12B
