cell_type,spearman_rho,p_value,n_genes,significant,lineage
B cell,-0.16927806066589993,3.3191745678165776e-105,16324,True,hematopoietic
myeloid dendritic cell,-0.17308573876856811,5.643557635842197e-110,16324,True,hematopoietic
pancreatic ductal cell,-0.1746338188212513,6.030543872538164e-112,16324,True,epithelial
hematopoietic stem cell,-0.17536512768174004,6.961532600683374e-113,16324,True,hematopoietic
bladder urothelial cell,-0.18034711640009413,2.209833719885895e-119,16324,True,epithelial
basal cell,-0.18089072426115246,4.203297535517332e-120,16324,True,epithelial
hematopoietic precursor cell,-0.18217999967807633,8.033571516142848e-122,16324,True,hematopoietic
mature NK T cell,-0.18275157920105084,1.3765752701188363e-122,16324,True,hematopoietic
"CD8-positive, alpha-beta T cell",-0.1846566402482052,3.688952391599389e-125,16324,True,hematopoietic
classical monocyte,-0.18586861054811946,8.239275457370234e-127,16324,True,hematopoietic
enterocyte of epithelium of large intestine,-0.18641630988443117,1.4655406305238786e-127,16324,True,epithelial
natural killer cell,-0.18830155541675278,3.687643170959446e-130,16324,True,hematopoietic
macrophage,-0.18900353777483156,3.9061869212989665e-131,16324,True,hematopoietic
neutrophil,-0.1919390400644869,2.9679302960002694e-135,16324,True,hematopoietic
intermediate monocyte,-0.19228414359062787,9.631788749549931e-136,16324,True,hematopoietic
"CD4-positive, alpha-beta T cell",-0.19231325475528413,8.758619812511199e-136,16324,True,hematopoietic
monocyte,-0.19401754476579433,3.2699667880497857e-138,16324,True,hematopoietic
epithelial cell,-0.19437852625395233,9.939001561381307e-139,16324,True,epithelial
mesenchymal stem cell,-0.19483223740851394,2.2172579423179115e-139,16324,True,mesenchymal
large intestine goblet cell,-0.19573091613253812,1.1232954577692586e-140,16324,True,epithelial
non-classical monocyte,-0.19661434427286162,5.9006211441323606e-142,16324,True,hematopoietic
fibroblast,-0.19706594187708046,1.3013260093120256e-142,16324,True,mesenchymal
mesenchymal stem cell of adipose tissue,-0.19943077108968757,4.4666188000055235e-146,16324,True,mesenchymal
hepatocyte,-0.20230807806311404,2.3691340935061938e-150,16324,True,epithelial
luminal epithelial cell of mammary gland,-0.20476363961259503,4.714389799996571e-154,16324,True,epithelial
smooth muscle cell,-0.20794522006931576,6.395545816111578e-159,16324,True,mesenchymal
pancreatic acinar cell,-0.20827371570775285,1.9891203591416415e-159,16324,True,epithelial
T cell,-0.21805516782923917,6.233950556977452e-175,16324,True,hematopoietic
granulocyte,-0.21962223350169255,1.7317130640104915e-177,16324,True,hematopoietic
stromal cell,-0.22613580342910936,2.494865136243299e-188,16324,True,mesenchymal
plasma cell,-0.22704883895329092,7.069673785272713e-190,16324,True,hematopoietic
endothelial cell,-0.2285609231630056,1.867015557068462e-192,16324,True,endothelial
myeloid leukocyte,-0.23200539996660693,2.1237319588087075e-198,16324,True,hematopoietic
adventitial cell,-0.232617397909807,1.8224532567681953e-199,16324,True,mesenchymal
fibroblast of cardiac tissue,-0.24516030116483414,5.146943867388892e-222,16324,True,mesenchymal
