cell_type,hk_ratio_human,hk_ratio_mouse,residual_magnitude,lineage,progenitor
"CD8-positive, alpha-beta T cell",2.2115092142006496,2.8357859152125027,5.376250842092007,hematopoietic,False
non-classical monocyte,2.0977834927381522,2.6583199952884,5.892882939127471,hematopoietic,False
endothelial cell,2.037885648471164,2.4208969418399175,5.971297637181498,endothelial,False
hepatocyte,1.4808903350009355,2.4032688531422988,6.058640371671017,epithelial,False
smooth muscle cell,2.057807429023164,2.416111685929694,6.705384890826327,mesenchymal,False
pancreatic ductal cell,1.9310981473759525,2.6058868716962573,6.787640090303802,epithelial,False
bladder urothelial cell,2.0587942062978404,2.721964180562221,7.398116962180861,epithelial,False
fibroblast,2.0370105252529913,2.4135335130401137,7.507949833964307,mesenchymal,False
granulocyte,1.81724284253625,2.4954072466431376,7.932484886776578,hematopoietic,False
adventitial cell,2.139145249010066,2.3543629105148547,8.080287157455897,mesenchymal,False
mature NK T cell,2.171283966265564,2.9105304987519363,8.274657171711656,hematopoietic,False
intermediate monocyte,2.1078495471068934,2.705219897829096,8.427981918508479,hematopoietic,False
natural killer cell,2.189736138662186,2.8746472180790152,8.686953921396096,hematopoietic,False
monocyte,2.1148857301178916,2.7622710250726716,8.722376854060062,hematopoietic,False
myeloid dendritic cell,2.2031073879908067,2.770726904130086,8.898942576915942,hematopoietic,False
enterocyte of epithelium of large intestine,1.6757398650861735,2.44309983080007,9.29725882164393,epithelial,False
large intestine goblet cell,1.6512915063788236,2.657408409283943,9.466735129187661,epithelial,False
luminal epithelial cell of mammary gland,2.3890951669863814,2.8063699347355655,9.65411330485748,epithelial,False
B cell,2.1485790056416723,2.9133301946649093,9.84610773899485,hematopoietic,False
macrophage,2.0225879920687544,2.7392540457658026,9.878526364594375,hematopoietic,False
classical monocyte,2.1437900914686026,2.8343607829427873,9.928628424320381,hematopoietic,False
"CD4-positive, alpha-beta T cell",2.2240662657778874,2.8215719967342183,10.211698233902775,hematopoietic,False
mesenchymal stem cell,1.9884571731984721,2.4208174471371713,10.340754745994703,mesenchymal,True
plasma cell,2.565493466733583,3.115603867013704,11.083715806788701,hematopoietic,False
mesenchymal stem cell of adipose tissue,2.030604246480289,2.3859112576380728,11.432484131377624,mesenchymal,True
myeloid leukocyte,1.8857159866803432,2.737066628098337,11.50924569568494,hematopoietic,False
fibroblast of cardiac tissue,1.8041219776533393,2.491404459561282,11.5219467495538,mesenchymal,False
neutrophil,1.6603182357859292,2.1403022710078217,11.597874253364406,hematopoietic,False
T cell,2.18737457468038,2.915519139754135,11.669230240557653,hematopoietic,False
basal cell,2.099934539356551,2.7537564466812765,12.766119903451397,epithelial,True
pancreatic acinar cell,2.1381362682286946,2.1479254122691875,12.837687041017807,epithelial,False
hematopoietic stem cell,2.384675211123592,3.0251140407278445,14.948369450470635,hematopoietic,True
hematopoietic precursor cell,2.195550702093229,3.042260998034775,15.353906527873232,hematopoietic,True
epithelial cell,1.9269342520982546,2.660821020431481,16.26737024211543,epithelial,False
stromal cell,2.2661763129375854,2.4321607289516773,16.984601860305755,mesenchymal,False
