cell_type,n_active_tfs_human,n_active_tfs_mouse,mean_activity_human,mean_activity_mouse,entropy_human,entropy_mouse,residual_magnitude,lineage,progenitor
"CD8-positive, alpha-beta T cell",227,168,3.65211855707186,1.7885095013899919,7.684078040322201,7.631206063956851,5.376250842092007,hematopoietic,False
non-classical monocyte,244,178,4.048486999010434,1.974820172060167,7.712010857755768,7.606822208434365,5.892882939127471,hematopoietic,False
endothelial cell,257,203,5.136480325518525,2.735835148712686,7.749329849245866,7.59549061172089,5.971297637181498,endothelial,False
hepatocyte,250,150,4.712120849956403,1.752555023478655,7.633227834993807,7.4327332462009394,6.058640371671017,epithelial,False
smooth muscle cell,240,182,4.032316714822539,2.307576557382689,7.683490548596772,7.580995025675023,6.705384890826327,mesenchymal,False
pancreatic ductal cell,239,164,4.202385731343165,1.8600846292561035,7.697949725958497,7.595919724100435,6.787640090303802,epithelial,False
bladder urothelial cell,249,163,4.164173151061354,1.8460802729809243,7.749063890609355,7.551013142264159,7.398116962180861,epithelial,False
fibroblast,241,196,4.140727134670457,2.4965568239925573,7.737668451146746,7.635676320791877,7.507949833964307,mesenchymal,False
granulocyte,247,152,4.824774965217043,1.5726728276040824,7.694129450353455,7.590710772201902,7.932484886776578,hematopoietic,False
adventitial cell,229,185,3.460935039024324,2.0723270001376832,7.727296788932732,7.66729545780295,8.080287157455897,mesenchymal,False
mature NK T cell,235,153,3.9170224920020336,1.4847323715105312,7.690221368858917,7.601058430591608,8.274657171711656,hematopoietic,False
intermediate monocyte,249,159,4.397815694040835,1.5654809682608377,7.742575758423246,7.629045363505021,8.427981918508479,hematopoietic,False
natural killer cell,230,166,3.98285832230965,1.7637802583304094,7.68843861075992,7.625827593762173,8.686953921396096,hematopoietic,False
monocyte,248,178,4.310331196160727,1.7367300570628403,7.746767660322736,7.611041755113998,8.722376854060062,hematopoietic,False
myeloid dendritic cell,236,191,3.7904736181173293,2.01202403249397,7.7116026122994885,7.604040234527137,8.898942576915942,hematopoietic,False
enterocyte of epithelium of large intestine,237,169,3.630760121277737,1.61386982585253,7.740063965150405,7.617494052657077,9.29725882164393,epithelial,False
large intestine goblet cell,250,174,4.734803600843916,1.707398510401321,7.732024136235419,7.597560934355126,9.466735129187661,epithelial,False
luminal epithelial cell of mammary gland,242,167,3.748713943126982,1.950221174050049,7.738611470128839,7.514650675902226,9.65411330485748,epithelial,False
B cell,222,146,3.4763821740964578,1.5344836388366705,7.639556294417352,7.547188519601964,9.84610773899485,hematopoietic,False
macrophage,256,180,4.688915627911443,1.9621323463041287,7.7656190405080885,7.616643000119018,9.878526364594375,hematopoietic,False
classical monocyte,243,154,4.190515558792172,1.4841336343290148,7.73268426306542,7.631412906501194,9.928628424320381,hematopoietic,False
"CD4-positive, alpha-beta T cell",218,176,3.2718424347456043,1.8935827676412635,7.678655357457659,7.64319125179265,10.211698233902775,hematopoietic,False
mesenchymal stem cell,249,177,4.268823684085273,2.263833864284399,7.737520779870993,7.567236075964813,10.340754745994703,mesenchymal,True
plasma cell,221,146,2.8842635670610135,1.4303044669174405,7.687129996661,7.544990369592362,11.083715806788701,hematopoietic,False
mesenchymal stem cell of adipose tissue,237,191,3.8878707364633347,2.3812946009664255,7.73200340995943,7.593310457016756,11.432484131377624,mesenchymal,True
myeloid leukocyte,262,181,5.259030844808721,1.9088352063399345,7.7475849367214895,7.597970914635742,11.50924569568494,hematopoietic,False
fibroblast of cardiac tissue,238,180,4.218950591198478,2.001838467512836,7.653126958123278,7.661539339646841,11.5219467495538,mesenchymal,False
neutrophil,246,164,4.538855022693764,2.0631930033735384,7.670876303781542,7.5236482449379665,11.597874253364406,hematopoietic,False
T cell,231,148,4.043099986921527,1.4914599491615292,7.698506433910961,7.5822840920306644,11.669230240557653,hematopoietic,False
basal cell,254,182,4.230598427312181,2.306213858946016,7.747961086204851,7.552362335275954,12.766119903451397,epithelial,True
pancreatic acinar cell,199,43,2.306097394605801,0.6062371515646496,7.651848150092932,7.381203852964857,12.837687041017807,epithelial,False
hematopoietic stem cell,212,179,2.719443953702486,1.83334236711103,7.647902488693602,7.6366071855417035,14.948369450470635,hematopoietic,True
hematopoietic precursor cell,239,146,4.061769814179464,1.4045251655047006,7.688217043846573,7.572027525405981,15.353906527873232,hematopoietic,True
epithelial cell,244,176,4.169610098997376,2.008956475441156,7.732460118044573,7.536972084529206,16.26737024211543,epithelial,False
stromal cell,224,176,3.261248792376928,2.1399530273937666,7.718978061960572,7.585205297283108,16.984601860305755,mesenchymal,False
