Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122),16/763,1.1623894906702628e-06,0.0007767707337471745,0,0,4.8837891247529805,66.73713841097094,KLF12;JUND;RPL10;CREM;HMGB2;ARID5B;PRDM1;RUNX3;MACROH2A1;BACH2;ZFP36;ZEB2;DACH1;CUX1;EZR;ELANE
GO_Biological_Process_2023,Regulation Of Transcription By RNA Polymerase II (GO:0006357),27/2028,1.4823868964640736e-06,0.0007767707337471745,0,0,3.308434823684048,44.40533910200763,RPL10;CREM;HMGB2;PRDM1;BAZ2B;ETS1;IKZF3;MACROH2A1;BACH2;ZFP36;DACH1;CUX1;STAT4;JUNB;ELANE;KLF12;JUND;ARID5B;MAPK14;RUNX3;ZEB2;NFIA;TCF4;MAML3;ERG;EZR;SKAP1
GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),15/766,5.977382771411411e-06,0.0020880990481463,0,0,4.499647528785149,54.11963551519849,BTG2;JUND;BTG1;CNOT6L;FLT3;HMGB2;PPP2R5C;ETS1;AIF1;EREG;FTH1;STAT4;PRTN3;IL7R;JUNB
GO_Biological_Process_2023,Negative Regulation Of DNA-templated Transcription (GO:0045892),17/1025,1.2100219821369548e-05,0.0031702575931988,0,0,3.838735895964811,43.46326929512317,KLF12;JUND;RPL10;CREM;HMGB2;ARID5B;PRDM1;RUNX3;MACROH2A1;BACH2;EREG;ZFP36;ZEB2;DACH1;CUX1;EZR;ELANE
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),24/1922,1.959390799251714e-05,0.0041068831152315,0,0,2.9951749764294826,32.468570906528804,KLF12;JUND;BTG1;CREM;HMGB2;ARID5B;RHOH;PRDM1;BAZ2B;MAPK14;ETS1;IKZF3;RUNX3;BACH2;EREG;ZEB2;DACH1;CUX1;NFIA;STAT4;TCF4;ERG;JUNB;SKAP1
GO_Biological_Process_2023,Cellular Response To Cytokine Stimulus (GO:0071345),9/308,2.417374899685854e-05,0.0042223481581179,0,0,6.48347973097137,68.92096674889552,ZFP36;CSF3R;FLT3;STAT4;CXCR4;IRAK3;IL7R;AIF1;EREG
GO_Biological_Process_2023,Regulation Of Erythrocyte Differentiation (GO:0045646),4/36,3.0647360561549374e-05,0.0045883476955005,0,0,25.869791666666668,268.86381386041506,ZFP36;HMGB2;MAPK14;ETS1
GO_Biological_Process_2023,Regulation Of Epithelial Cell Proliferation (GO:0050678),5/91,9.34850092959024e-05,0.0122465362177632,0,0,12.12607099143207,112.5021635851238,ZFP36;GPX1;B2M;RUNX3;EREG
GO_Biological_Process_2023,Negative Regulation Of Cell Population Proliferation (GO:0008285),9/379,0.00011948621254911768,0.0139135056390528,0,0,5.220374220374221,47.15203602657199,BTG2;BTG1;FTH1;PPP2R5C;ETS1;B2M;RUNX3;AIF1;EREG
GO_Biological_Process_2023,Positive Regulation Of Erythrocyte Differentiation (GO:0045648),3/26,0.00029004938736300437,0.0303971757956428,0,0,26.728372926938594,217.7148751207531,HMGB2;MAPK14;ETS1
