Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),15/93,5.806269876609888e-19,4.708884869930619e-16,0,0,44.84615384615385,1883.098001450766,RPL10;RPL34;RPL7A;RPS28;RPS15A;RPL36AL;RPL13;RPL37;RPL26;RPS2;FAU;RPS27A;RPL39;RPL28;UBA52
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),15/183,1.900143461848609e-14,7.705081737796108e-12,0,0,20.72689075630252,654.850815183466,RPL10;RPL34;RPL7A;RPS28;RPS15A;RPL36AL;EEF1D;RPL13;RPL37;RPL26;RPS2;FAU;RPS27A;RPL39;RPL28
GO_Biological_Process_2023,Translation (GO:0006412),16/234,4.1489307453046535e-14,1.0257827910628424e-11,0,0,17.197029270423766,529.8979211223998,RPL10;RPL34;RPL7A;RPS28;RPS15A;RPL36AL;EEF1D;RPL13;RPL37;RPL26;RPS2;FAU;RPS27A;RPL39;RPL28;UBA52
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),14/158,5.0593479213950305e-14,1.0257827910628424e-11,0,0,22.333979328165373,683.7537429839198,RPL10;RPL34;RPL7A;RPS28;RPS15A;RPL36AL;RPL13;RPL37;RPL26;RPS2;FAU;RPS27A;RPL39;RPL28
GO_Biological_Process_2023,Gene Expression (GO:0010467),14/296,2.5144218034718937e-10,4.0783921652314116e-08,0,0,11.324921655945902,250.32389448736913,RPL10;RPL34;RPL7A;RPS28;RPS15A;RPL36AL;RPL13;RPL37;RPL26;RPS2;FAU;RPS27A;RPL39;RPL28
GO_Biological_Process_2023,Mucosal Immune Response (GO:0002385),4/28,1.0984632189032872e-05,0.0014847561175509,0,0,34.50694444444444,394.0352587856317,PIGR;PLA2G1B;FAU;RPL39
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),7/204,7.44162343400871e-05,0.00862165229283,0,0,7.528027946072813,71.56020234425996,CEBPB;PLA2G1B;FAU;MPO;RPL39;RNASE1;JCHAIN
GO_Biological_Process_2023,Antibacterial Humoral Response (GO:0019731),4/49,0.00010488236734037026,0.01063244998913,0,0,18.38425925925926,168.44892187136222,PLA2G1B;FAU;RPL39;JCHAIN
GO_Biological_Process_2023,Innate Immune Response In Mucosa (GO:0002227),3/21,0.00015108790718152863,0.0111392993385654,0,0,34.16151202749141,300.5409826909726,PLA2G1B;FAU;RPL39
GO_Biological_Process_2023,Lipid Catabolic Process (GO:0016042),3/21,0.00015108790718152863,0.0111392993385654,0,0,34.16151202749141,300.5409826909726,PNLIPRP1;PLA2G1B;PNLIP
GO_Biological_Process_2023,Response To Fibroblast Growth Factor (GO:0071774),3/20,0.00012997496316054035,0.0111392993385654,0,0,36.1728320194057,323.6806038860264,ZFP36;CD44;ZFP36L1
GO_Biological_Process_2023,Negative Regulation Of Erythrocyte Differentiation (GO:0045647),2/5,0.0002450871709985121,0.0152896688984456,0,0,135.35374149659864,1125.3170126751409,ZFP36;ZFP36L1
GO_Biological_Process_2023,Regulation Of Keratinocyte Apoptotic Process (GO:1902172),2/5,0.0002450871709985121,0.0152896688984456,0,0,135.35374149659864,1125.3170126751409,ZFP36;ZFP36L1
GO_Biological_Process_2023,"Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay (GO:0031086)",2/6,0.0003664321680484968,0.0212268920205236,0,0,101.51020408163264,803.1179907171842,ZFP36;ZFP36L1
GO_Biological_Process_2023,Integrated Stress Response Signaling (GO:0140467),3/29,0.0004032210189685461,0.021800816425566,0,0,23.640761300555116,184.7767981808264,CEBPB;CEBPD;JUNB
GO_Biological_Process_2023,Regulation Of Translation (GO:0006417),6/202,0.0005343384137035765,0.0270842783446,0,0,6.41684759009987,48.34761744232718,NIBAN1;IGFBP5;RPL10;RPL26;VIM;EIF1
GO_Biological_Process_2023,Neutrophil Migration (GO:1990266),4/77,0.0006019463184977087,0.0287163802530377,0,0,11.316780821917808,83.91780339915707,PLA2G1B;PDE4B;GP2;PPIB
GO_Biological_Process_2023,p38MAPK Cascade (GO:0038066),2/8,0.0006795551666861537,0.0290062757990774,0,0,67.66666666666667,493.5655481733249,ZFP36;ZFP36L1
GO_Biological_Process_2023,Modification-Dependent Macromolecule Catabolic Process (GO:0043632),2/8,0.0006795551666861537,0.0290062757990774,0,0,67.66666666666667,493.5655481733249,RPS27A;UBA52
GO_Biological_Process_2023,Defense Response To Gram-positive Bacterium (GO:0050830),4/85,0.0008735951596103323,0.0354242837221989,0,0,10.194958847736626,71.80200933754972,PLA2G1B;FAU;RPL39;RNASE1
GO_Biological_Process_2023,Retina Homeostasis (GO:0001895),3/39,0.0009726294551664332,0.0375620232447608,0,0,17.06529209621993,118.35645919802704,PIGR;IGKC;JCHAIN
GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),7/316,0.0010501374043681,0.0387118834064797,0,0,4.772140446114765,32.731320395228245,PLA2G1B;TPM2;STMN1;MYH11;FYN;VIM;MYL9
GO_Biological_Process_2023,Regulation Of Epithelial Cell Apoptotic Process (GO:1904035),2/11,0.0013218400851343,0.0466092308279965,0,0,45.10430839002267,298.984305122014,ZFP36;ZFP36L1
GO_Biological_Process_2023,Regulation Of Fibroblast Proliferation (GO:0048145),3/46,0.0015751859953084,0.0479979171285876,0,0,14.282186526012946,92.16840432528492,PLA2G1B;FTH1;EREG
GO_Biological_Process_2023,Regulation Of mRNA Catabolic Process (GO:0061013),3/46,0.0015751859953084,0.0479979171285876,0,0,14.282186526012946,92.16840432528492,ZFP36;VIM;ZFP36L1
GO_Biological_Process_2023,Regulation Of Vascular Associated Smooth Muscle Cell Migration (GO:1904752),2/12,0.0015810451022911,0.0479979171285876,0,0,40.59183673469388,261.8039188938469,IGFBP5;PRKG1
