Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Basement Membrane Organization (GO:0110011),4/5,2.9299625387746827e-09,2.7922542994522727e-06,0,0,829.125,16290.877003827774,LAMA2;LAMB1;LAMC1;NID1
GO_Biological_Process_2023,Positive Regulation Of Integrin-Mediated Signaling Pathway (GO:2001046),4/12,2.823818698304803e-07,9.1461694293333e-05,0,0,103.60416666666669,1562.3514066482542,LAMA2;LAMB1;LAMC1;NID1
GO_Biological_Process_2023,Positive Regulation Of Cell Adhesion (GO:0045785),7/88,2.8791719084994645e-07,9.1461694293333e-05,0,0,18.41669985397584,277.36641961337006,VIT;LAMA2;LAMB1;LAMC1;PLPP3;NID1;FBLN2
GO_Biological_Process_2023,Positive Regulation Of Muscle Cell Differentiation (GO:0051149),4/15,7.697717176424293e-07,0.00018339811172830877,0,0,75.33712121212122,1060.5336009814866,LAMA2;LAMB1;LAMC1;NID1
GO_Biological_Process_2023,Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044),4/19,2.15250350312219e-06,0.0004102671676950894,0,0,55.236111111111114,720.769328837962,LAMA2;LAMB1;LAMC1;NID1
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),8/176,2.865587099871367e-06,0.0004551507510295688,0,0,10.213250517598343,130.34903341046862,VIT;GSN;COL4A2;COL4A1;LUM;MMP2;LAMC1;NID1
GO_Biological_Process_2023,Regulation Of Extracellular Matrix Organization (GO:1903053),4/23,4.842628966725328e-06,0.0006592893436127482,0,0,43.598684210526315,533.5629998044093,LAMA2;LAMB1;LAMC1;NID1
GO_Biological_Process_2023,Regulation Of Muscle Cell Differentiation (GO:0051147),4/24,5.788898332949143e-06,0.0006896025139125667,0,0,41.416666666666664,499.4671309916732,LAMA2;LAMB1;LAMC1;NID1
GO_Biological_Process_2023,Endodermal Cell Differentiation (GO:0035987),4/31,1.6687556029356314e-05,0.0017670267662196,0,0,30.66820987654321,337.37629271966244,COL4A2;MMP2;COL6A1;LAMB1
GO_Biological_Process_2023,Endoderm Formation (GO:0001706),4/35,2.7346704779035945e-05,0.0026061409654421,0,0,26.705645161290324,280.5939309045606,COL4A2;MMP2;COL6A1;LAMB1
GO_Biological_Process_2023,Positive Regulation Of Cardiac Muscle Tissue Growth (GO:0055023),3/16,6.478177589668101e-05,0.0056124574935942,0,0,47.312450436161775,456.30427675438654,TGFBR3;IGF1;ZFPM2
GO_Biological_Process_2023,Central Nervous System Development (GO:0007417),8/283,8.79363945149918e-05,0.0063636581327853,0,0,6.205533596837944,57.952837815217535,VIT;C3;GSN;COL4A1;ZBTB16;SPOCK1;APOD;DCLK1
GO_Biological_Process_2023,Positive Regulation Of Cell Differentiation (GO:0045597),8/283,8.79363945149918e-05,0.0063636581327853,0,0,6.205533596837944,57.952837815217535,LAMA2;ZBTB16;PLA2G2A;TCF4;LAMB1;IGF1;LAMC1;NID1
