Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),46/93,4.2637964229629787e-85,2.5710692430466757e-82,0,0,359.8258471237195,69903.21366140683,RPL3;RPL32;RPL10;RPL34;RPL12;RPL11;RPL10A;RPL8;RPL6;RPS15;RPL7A;RPS14;RPS16;RPS15A;RPL18A;RPL36AL;RPS18;RPL36;RPL14;RPL13;RPL38;RPL37;RPL15;RPS2;RPS11;RPS27A;RPL39;RPS13;RPL19;RPS9;RPS7;RPS8;RPS5;RPS6;RPL35A;RPL23A;RPS28;RPL27A;RPL37A;RPL27;RPL26;FAU;RPL28;UBA52;RPS21;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),47/183,1.4508422790945782e-70,4.374289471470153e-68,0,0,128.8718091009989,20723.722552708256,RPL3;RPL32;RPL10;RPL34;RPL12;RPL11;RPL10A;RPL8;RPL6;RPS15;EEF1B2;RPS14;RPL7A;RPS16;RPS15A;RPL18A;RPS18;RPL36AL;RPL36;RPL14;RPL13;RPL38;RPL37;RPS2;RPL15;RPS11;RPS27A;RPL39;RPS13;RPL19;RPS9;RPS7;RPS8;RPS5;RPS6;RPL35A;RPL23A;RPS28;EEF1D;RPL27A;RPL37A;RPL27;RPL26;FAU;RPL28;RPS21;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),45/158,1.1091700303401904e-69,2.2294317609837828e-67,0,0,143.26870474658085,22747.45412588307,RPL3;RPL32;RPL10;RPL34;RPL12;RPL11;RPL10A;RPL8;RPL6;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL18A;RPS18;RPL36AL;RPL36;RPL14;RPL13;RPL38;RPL37;RPS2;RPL15;RPS11;RPS27A;RPL39;RPS13;RPL19;RPS9;RPS7;RPS8;RPS5;RPS6;RPL35A;RPL23A;RPS28;RPL27A;RPL37A;RPL27;RPL26;FAU;RPL28;RPS21;RPS23
GO_Biological_Process_2023,Translation (GO:0006412),48/234,6.354239434009448e-67,9.579015946769243e-65,0,0,97.8362282878412,14912.59699088543,RPL3;RPL32;RPL10;RPL34;RPL12;RPL11;RPL10A;RPL8;RPL6;RPS15;EEF1B2;RPS14;RPL7A;RPS16;RPS15A;RPL18A;RPS18;RPL36AL;RPL36;RPL14;RPL13;RPL38;RPL37;RPS2;RPL15;RPS11;RPS27A;RPL39;RPS13;RPL19;RPS9;RPS7;RPS8;RPS5;RPS6;RPL35A;RPL23A;RPS28;EEF1D;RPL27A;RPL37A;RPL27;RPL26;FAU;RPL28;UBA52;RPS21;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),45/296,4.375194588234045e-56,5.276484673410258e-54,0,0,64.04961970300616,8164.329074241991,RPL3;RPL32;RPL10;RPL34;RPL12;RPL11;RPL10A;RPL8;RPL6;RPS15;RPS14;RPL7A;RPS16;RPS15A;RPL18A;RPS18;RPL36AL;RPL36;RPL14;RPL13;RPL38;RPL37;RPS2;RPL15;RPS11;RPS27A;RPL39;RPS13;RPL19;RPS9;RPS7;RPS8;RPS5;RPS6;RPL35A;RPL23A;RPS28;RPL27A;RPL37A;RPL27;RPL26;FAU;RPL28;RPS21;RPS23
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),19/118,8.703759641701555e-24,8.747278439910062e-22,0,0,46.915949619653325,2491.156565139206,RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS15;RPS14;RPS28;RPS16;RPS15A;RPL14;RPL38;RPL26;RPS11;GLUL;RPS13;RPS23
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),19/155,1.9668410445823327e-21,1.6942930712616382e-19,0,0,34.088235294117645,1625.254049589691,RPS9;RPS7;RPS8;RPS5;RPS6;RPL11;RPL35A;RPS15;RPS14;RPS28;RPS16;RPS15A;RPL14;RPL27;RPL26;RPS11;GLUL;RPS13;RPS23
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),13/84,2.5448489682898126e-16,1.9181799098484464e-14,0,0,41.73174680265501,1498.4739423342644,RPS9;RPS7;RPS8;RPS5;RPS6;RPS15;RPS14;RPS28;RPS16;RPS15A;RPS11;RPS13;RPS23
GO_Biological_Process_2023,rRNA Processing (GO:0006364),11/101,3.0428859665514465e-12,2.0387335975894692e-10,0,0,27.20474406991261,721.4212446414549,RPS15;RPS14;RPS28;RPS16;RPS7;RPS6;RPL11;RPL14;RPL35A;RPL27;RPL26
GO_Biological_Process_2023,rRNA Metabolic Process (GO:0016072),10/91,2.8332357667194687e-11,1.7084411673318396e-09,0,0,27.18655692729767,660.2803589544516,RPS15;RPS28;RPS16;RPS7;RPS6;RPL11;RPL14;RPL35A;RPL27;RPL26
