gene,gene_set,group,specificity_score
ELANE,ECM_Organization,progenitor,0.8107827645831522
SCUBE3,ECM_Organization,progenitor,0.7862286260281023
CTSG,ECM_Organization,progenitor,0.8049239120647379
COL23A1,ECM_Organization,progenitor,0.762281380791954
COL9A2,ECM_Organization,progenitor,0.7825643126800408
COL16A1,ECM_Organization,progenitor,0.7836766765151237
MATN4,ECM_Organization,progenitor,0.7809779956089072
BIRC5,Interleukin_Signaling,progenitor,0.7683011287063123
IL24,Interleukin_Signaling,progenitor,0.7644129155303194
CTSG,Interleukin_Signaling,progenitor,0.8049239120647379
SOCS5,Interleukin_Signaling,progenitor,0.7666334365983846
IL11,Interleukin_Signaling,progenitor,0.8209705033099457
DUSP7,Interleukin_Signaling,progenitor,0.811752314200453
PRTN3,Interleukin_Signaling,progenitor,0.8139261565898437
CNTFR,Interleukin_Signaling,progenitor,0.7749669113536964
STX4,Interleukin_Signaling,differentiated,0.2851514219677615
IL19,Interleukin_Signaling,differentiated,0.253926699860228
CA1,Interleukin_Signaling,differentiated,0.3088880587701487
IL4R,Interleukin_Signaling,differentiated,0.2348837411445956
RALA,Interleukin_Signaling,differentiated,0.2955604789972097
CFL1,Interleukin_Signaling,differentiated,0.2544937321991837
FOS,Interleukin_Signaling,differentiated,0.1860241821505381
VEGFA,Interleukin_Signaling,differentiated,0.2785439612194106
IL10,Interleukin_Signaling,differentiated,0.289950653109803
PORCN,Growth_Factor_Receptors,progenitor,0.7609673285216703
DUSP9,Growth_Factor_Receptors,progenitor,0.7967277127095589
DUSP7,Growth_Factor_Receptors,progenitor,0.811752314200453
NTF4,Growth_Factor_Receptors,progenitor,0.7975629121403559
HBEGF,Growth_Factor_Receptors,differentiated,0.2898181276503675
IL10,Growth_Factor_Receptors,differentiated,0.289950653109803
GTF2F1,Growth_Factor_Receptors,differentiated,0.2849435430477392
GPR183,Inflammatory_Response,differentiated,0.3037852233501315
HBEGF,Inflammatory_Response,differentiated,0.2898181276503675
IL4R,Inflammatory_Response,differentiated,0.2348837411445956
IL10,Inflammatory_Response,differentiated,0.289950653109803
COL23A1,Integrin_Interactions,progenitor,0.762281380791954
COL9A2,Integrin_Interactions,progenitor,0.7825643126800408
COL16A1,Integrin_Interactions,progenitor,0.7836766765151237
MCM2,Myc_Targets_V1,progenitor,0.7957551688813767
CCNA2,Myc_Targets_V1,progenitor,0.7706204358149867
HNRNPA1,Myc_Targets_V1,differentiated,0.29497211663793
COPS5,Myc_Targets_V1,differentiated,0.3101650622930815
VDAC3,Myc_Targets_V1,differentiated,0.1991415104001066
PRPF31,Myc_Targets_V1,differentiated,0.281805366672103
HSP90AB1,Myc_Targets_V1,differentiated,0.3117651527075614
MRPL9,Myc_Targets_V1,differentiated,0.2135551012864497
VDAC3,Oxidative_Phosphorylation,differentiated,0.1991415104001066
HADHA,Oxidative_Phosphorylation,differentiated,0.2904646650266421
ATP6V1F,Oxidative_Phosphorylation,differentiated,0.2591720279195505
MDH2,Oxidative_Phosphorylation,differentiated,0.2488147305778213
AMACR,Bile_Acid_Metabolism,progenitor,0.7690679494758901
