gene,in_progenitor_top100,in_diff_top100,in_both
ACTG2,True,False,False
ANXA1,False,True,False
ANXA2,False,True,False
APOD,False,True,False
ARHGAP24,False,True,False
ARID5B,False,True,False
ARIH1,False,True,False
ASF1B,True,False,False
ATP23,True,False,False
ATP5F1E,False,True,False
C11orf96,False,True,False
C3,False,True,False
CBLB,False,True,False
CCDC86,True,False,False
CCL2,False,True,False
CCNB2,True,False,False
CD44,False,True,False
CD74,False,True,False
CDCA3,True,False,False
CDCA8,True,False,False
CEBPB,False,True,False
CEBPD,False,True,False
CEBPE,True,False,False
CFD,False,True,False
CHADL,True,False,False
CHAF1B,True,False,False
CHI3L1,True,False,False
CILP,False,True,False
CKAP2L,True,False,False
CLIC4,False,True,False
CNN1,True,False,False
CNTN2,True,False,False
CNTN6,True,False,False
COL16A1,True,False,False
COL4A1,False,True,False
COL4A2,False,True,False
COL6A2,False,True,False
COL6A3,False,True,False
COL9A2,True,False,False
CRELD1,True,False,False
CRIP1,False,True,False
CRISPLD2,False,True,False
CTSG,True,False,False
CXCL14,False,True,False
DACH1,True,False,False
DCLK1,False,True,False
DCN,False,True,False
DSCC1,True,False,False
DUSP7,True,False,False
DUSP9,True,False,False
EBF1,False,True,False
EGFR,False,True,False
ELANE,True,False,False
ELL2,False,True,False
ELOVL4,True,False,False
EME1,True,False,False
EMP1,False,True,False
ENSG00000286131,True,False,False
ERRFI1,False,True,False
EXT1,False,True,False
FAM167A,True,False,False
FAM187A,True,False,False
FAM43B,True,False,False
FAM53A,True,False,False
FBLN2,False,True,False
FBN1,False,True,False
FLNC,True,False,False
FNDC3B,False,True,False
FSTL1,False,True,False
FYN,False,True,False
GADD45B,False,True,False
GALNT15,False,True,False
GFPT2,False,True,False
GJB4,True,False,False
GPC6,False,True,False
GPR3,True,False,False
GPX3,False,True,False
GRIK3,True,False,False
GSN,False,True,False
IGF1,False,True,False
IGFBP5,False,True,False
IGFBP6,False,True,False
IL11,True,False,False
IL17B,True,False,False
IRX4,True,False,False
ITGB1,False,True,False
JUND,False,True,False
KAZN,False,True,False
KCTD11,True,False,False
KCTD4,True,False,False
KIF20A,True,False,False
KRT14,True,False,False
KRT23,True,False,False
KRT71,True,False,False
LAMA2,False,True,False
LAMC1,False,True,False
LGALS1,False,True,False
LGALS3,False,True,False
LGR5,True,False,False
LGR6,True,False,False
LPP,False,True,False
LRRTM1,True,False,False
MAN1A1,False,True,False
MATN4,True,False,False
MCM2,True,False,False
MCM8,True,False,False
MFAP5,False,True,False
MFGE8,False,True,False
MGST1,False,True,False
MIR143,True,False,False
MIR145,True,False,False
MIR218-1,True,False,False
MIR490,True,False,False
MIR711,True,False,False
MPO,True,False,False
MS4A3,True,False,False
MT-ND3,False,True,False
MT1X,False,True,False
NEGR1,False,True,False
NID1,False,True,False
NNMT,False,True,False
NOP2,True,False,False
NPY,True,False,False
NTF4,True,False,False
NUSAP1,True,False,False
OXTR,True,False,False
PCBP4,True,False,False
PIMREG,True,False,False
PLA2G2A,False,True,False
PLAC9,False,True,False
PLIN2,False,True,False
PODNL1,True,False,False
POLE,True,False,False
PRC1,True,False,False
PRR9,True,False,False
PRTN3,True,False,False
RAB44,True,False,False
RBP1,False,True,False
REM2,True,False,False
RHAG,True,False,False
RORA,False,True,False
RPL26,False,True,False
RPL28,False,True,False
RPL37,False,True,False
RPL39,False,True,False
RPS28,False,True,False
RRS1,True,False,False
RTN4,False,True,False
S100A10,False,True,False
S100A11,False,True,False
S100A4,False,True,False
S100A6,False,True,False
SAMD14,True,False,False
SAMD4A,False,True,False
SCUBE3,True,False,False
SERPINB10,True,False,False
SERPINF1,False,True,False
SIK1,True,False,False
SIK3,False,True,False
SLC27A6,True,False,False
SLC35D3,True,False,False
SLC52A3,True,False,False
SMTN,True,False,False
SNAI2,True,False,False
SOCS3,False,True,False
SOD2,False,True,False
SOX5,False,True,False
SPARCL1,False,True,False
SPOCK1,False,True,False
STAC2,True,False,False
STPG1,True,False,False
SYT12,True,False,False
TAGLN,False,True,False
TEX29,True,False,False
TFAP2B,True,False,False
TFAP2C,True,False,False
TGM1,True,False,False
THEM5,True,False,False
TIMP3,False,True,False
TMEM132A,True,False,False
TMEM200C,True,False,False
TMEM88B,True,False,False
TNFAIP6,False,True,False
TOX4,True,False,False
TRAIP,True,False,False
TRIO,False,True,False
TTC9,True,False,False
TXNIP,False,True,False
UAP1,False,True,False
UBA52,False,True,False
UBC,False,True,False
UBE2C,True,False,False
UHRF1,True,False,False
VCAN,False,True,False
VIM,False,True,False
WNT10A,True,False,False
WNT6,True,False,False
ZBTB16,False,True,False
ZFAND3,False,True,False
ZSWIM6,False,True,False
