rank,cell_type,residual_magnitude,pct_of_ssr
1,stromal cell,16.984601860305755,7.7139225479719284
2,epithelial cell,16.26737024211543,7.076185912540729
3,hematopoietic precursor cell,15.353906527873232,6.303798417398276
4,hematopoietic stem cell,14.948369450470635,5.975196306970579
5,pancreatic acinar cell,12.837687041017807,4.4069497700323375
6,basal cell,12.766119903451397,4.357951276999373
7,T cell,11.669230240557653,3.6412370219707757
8,neutrophil,11.597874253364406,3.5968416916893196
9,fibroblast of cardiac tissue,11.5219467495538,3.5499011473224513
10,myeloid leukocyte,11.50924569568494,3.5420790950413616
11,mesenchymal stem cell of adipose tissue,11.432484131377624,3.4949884640660205
12,plasma cell,11.083715806788701,3.284999406882843
13,mesenchymal stem cell,10.340754745994703,2.859361123421278
14,"CD4-positive, alpha-beta T cell",10.211698233902775,2.788434690427616
15,classical monocyte,9.928628424320381,2.635985685125016
16,macrophage,9.878526364594375,2.6094492727194516
17,B cell,9.84610773899485,2.592350376096916
18,luminal epithelial cell of mammary gland,9.65411330485748,2.492236862140579
19,large intestine goblet cell,9.466735129187661,2.396431305746961
20,enterocyte of epithelium of large intestine,9.29725882164393,2.3113960916176732
21,myeloid dendritic cell,8.898942576915942,2.1175873838077197
22,monocyte,8.722376854060062,2.0343900607321332
23,natural killer cell,8.686953921396096,2.017899663300451
24,intermediate monocyte,8.427981918508479,1.8993793957597678
25,mature NK T cell,8.274657171711656,1.830899690052305
26,adventitial cell,8.080287157455897,1.7458950037876997
27,granulocyte,7.932484886776578,1.682608346214706
28,fibroblast,7.507949833964307,1.5073262289885305
29,bladder urothelial cell,7.398116962180861,1.4635478240205633
30,pancreatic ductal cell,6.787640090303802,1.2319757074590096
31,smooth muscle cell,6.705384890826327,1.2022975307439046
32,hepatocyte,6.058640371671017,0.9815555454440041
33,endothelial cell,5.971297637181498,0.9534588847997993
34,non-classical monocyte,5.892882939127471,0.9285817846366725
35,"CD8-positive, alpha-beta T cell",5.376250842092007,0.7729004840712476
