cell_type,residual_magnitude_10x,pct_of_ssr_10x,rank_10x
hematopoietic precursor cell,15.789672076865584,7.093059487657221,1
fibroblast,15.24387124560622,6.611163912329067,2
pancreatic acinar cell,14.776817911830015,6.212254287427857,3
epithelial cell,13.904019196307711,5.500068500223764,4
stromal cell,12.361073899524607,4.3471015605484045,5
basal cell,12.14653638546001,4.197515339582829,6
plasma cell,11.778215305818653,3.9468112634890673,7
luminal epithelial cell of mammary gland,11.708432938003668,3.9001824756097236,8
fibroblast of cardiac tissue,11.67653454903243,3.8789601535448264,9
myeloid leukocyte,11.025899153469716,3.458720061449483,10
enterocyte of epithelium of large intestine,10.845834630608886,3.3466734449099445,11
neutrophil,10.817652271654719,3.329303714256124,12
classical monocyte,10.554921289667467,3.169548334990006,13
mesenchymal stem cell,10.549527907218586,3.1663099936755374,14
T cell,10.245652000798591,2.9865279428311053,15
large intestine goblet cell,9.403335676335516,2.5156560375699932,16
macrophage,9.115643701908189,2.364079432449993,17
granulocyte,9.03298342387249,2.321399077688663,18
hematopoietic stem cell,9.028224851213992,2.318953897396857,19
B cell,9.013730120383762,2.311513757006929,20
natural killer cell,8.91678879465292,2.2620611496947736,21
adventitial cell,8.89870703168129,2.2528962848089846,22
myeloid dendritic cell,8.889502572606407,2.2482380873908028,23
mesenchymal stem cell of adipose tissue,8.858307001218416,2.2324864724726416,24
intermediate monocyte,8.435390767078143,2.024406825588027,25
"CD4-positive, alpha-beta T cell",8.11626679248483,1.8741312825905128,26
monocyte,7.516135800768921,1.6072247721950927,27
bladder urothelial cell,7.270095437697206,1.503722178270352,28
pancreatic ductal cell,6.990472157714571,1.3902740021498388,29
non-classical monocyte,6.795841919047389,1.3139351079924941,30
smooth muscle cell,6.421204137013878,1.173060293235496,31
mature NK T cell,6.3350502376236655,1.1417933452813462,32
endothelial cell,5.784372487644919,0.9519187574251584,33
"CD8-positive, alpha-beta T cell",4.519504856724082,0.5811243800285071,34
hepatocyte,4.051161789762492,0.4669243862385876,35
