cell_type,residual_magnitude,rank,residual_magnitude_10x,rank_10x
stromal cell,16.984601860305755,1,12.361073899524607,5
epithelial cell,16.26737024211543,2,13.904019196307711,4
hematopoietic precursor cell,15.353906527873232,3,15.789672076865584,1
hematopoietic stem cell,14.948369450470636,4,9.028224851213992,19
pancreatic acinar cell,12.837687041017809,5,14.776817911830015,3
basal cell,12.766119903451395,6,12.14653638546001,6
T cell,11.669230240557653,7,10.245652000798591,15
neutrophil,11.597874253364406,8,10.817652271654719,12
fibroblast of cardiac tissue,11.5219467495538,9,11.67653454903243,9
myeloid leukocyte,11.50924569568494,10,11.025899153469716,10
mesenchymal stem cell of adipose tissue,11.432484131377624,11,8.858307001218416,24
plasma cell,11.0837158067887,12,11.778215305818653,7
mesenchymal stem cell,10.340754745994705,13,10.549527907218586,14
"CD4-positive, alpha-beta T cell",10.211698233902776,14,8.11626679248483,26
classical monocyte,9.92862842432038,15,10.554921289667467,13
macrophage,9.878526364594377,16,9.115643701908189,17
B cell,9.84610773899485,17,9.013730120383762,20
luminal epithelial cell of mammary gland,9.65411330485748,18,11.708432938003668,8
large intestine goblet cell,9.46673512918766,19,9.403335676335516,16
enterocyte of epithelium of large intestine,9.29725882164393,20,10.845834630608886,11
myeloid dendritic cell,8.898942576915942,21,8.889502572606407,23
monocyte,8.722376854060062,22,7.516135800768921,27
natural killer cell,8.686953921396096,23,8.91678879465292,21
intermediate monocyte,8.427981918508479,24,8.435390767078143,25
mature NK T cell,8.274657171711656,25,6.3350502376236655,32
adventitial cell,8.080287157455897,26,8.89870703168129,22
granulocyte,7.932484886776578,27,9.03298342387249,18
fibroblast,7.507949833964307,28,15.24387124560622,2
bladder urothelial cell,7.398116962180861,29,7.270095437697206,28
pancreatic ductal cell,6.787640090303802,30,6.990472157714571,29
smooth muscle cell,6.705384890826327,31,6.421204137013878,31
hepatocyte,6.058640371671017,32,4.051161789762492,35
endothelial cell,5.971297637181498,33,5.784372487644919,33
non-classical monocyte,5.892882939127471,34,6.795841919047389,30
"CD8-positive, alpha-beta T cell",5.376250842092007,35,4.519504856724082,34
