cell_type,human_variance,mouse_variance,mean_variance,residual_magnitude
stromal cell,2620.879150390625,1951.306884765625,2286.093017578125,16.984601860305755
epithelial cell,2624.9814453125,2691.153564453125,2658.0675048828125,16.26737024211543
hematopoietic precursor cell,2200.67431640625,1684.51708984375,1942.595703125,15.353906527873232
hematopoietic stem cell,2211.43115234375,2394.90234375,2303.166748046875,14.948369450470636
pancreatic acinar cell,1085.75732421875,862.488525390625,974.1229248046875,12.837687041017809
basal cell,2156.1298828125,2088.10302734375,2122.116455078125,12.766119903451395
T cell,2846.15234375,2042.0478515625,2444.10009765625,11.669230240557653
neutrophil,2396.77880859375,1699.6558837890625,2048.2173461914062,11.597874253364406
fibroblast of cardiac tissue,2370.4140625,2373.47705078125,2371.945556640625,11.5219467495538
myeloid leukocyte,2503.02490234375,2090.655517578125,2296.8402099609375,11.50924569568494
mesenchymal stem cell of adipose tissue,1992.453369140625,2148.6591796875,2070.5562744140625,11.432484131377624
plasma cell,1848.54052734375,1954.5390625,1901.539794921875,11.0837158067887
mesenchymal stem cell,1904.5693359375,2034.04541015625,1969.307373046875,10.340754745994705
"CD4-positive, alpha-beta T cell",2511.2080078125,2763.89990234375,2637.553955078125,10.211698233902776
classical monocyte,1895.611328125,1756.768310546875,1826.1898193359375,9.92862842432038
macrophage,2206.865234375,2188.185546875,2197.525390625,9.878526364594377
B cell,2336.844970703125,2110.373046875,2223.6090087890625,9.84610773899485
luminal epithelial cell of mammary gland,2059.2099609375,1820.6552734375,1939.9326171875,9.65411330485748
large intestine goblet cell,2327.65380859375,1958.650634765625,2143.1522216796875,9.46673512918766
enterocyte of epithelium of large intestine,1646.99267578125,2081.05908203125,1864.02587890625,9.29725882164393
myeloid dendritic cell,2346.900634765625,2044.40576171875,2195.6531982421875,8.898942576915942
monocyte,2153.01953125,2088.2529296875,2120.63623046875,8.722376854060062
natural killer cell,2715.37890625,2343.19091796875,2529.284912109375,8.686953921396096
intermediate monocyte,1975.8046875,1780.56591796875,1878.185302734375,8.427981918508479
mature NK T cell,2549.301513671875,1883.585205078125,2216.443359375,8.274657171711656
adventitial cell,2378.191650390625,2487.810791015625,2433.001220703125,8.080287157455897
granulocyte,2860.7080078125,1711.8515625,2286.27978515625,7.932484886776578
fibroblast,2189.908203125,2471.60791015625,2330.758056640625,7.507949833964307
bladder urothelial cell,1426.841064453125,1265.53076171875,1346.1859130859375,7.398116962180861
pancreatic ductal cell,1664.89404296875,2368.576904296875,2016.7354736328125,6.787640090303802
smooth muscle cell,2384.00390625,2554.73974609375,2469.371826171875,6.705384890826327
hepatocyte,1692.31494140625,1792.70751953125,1742.51123046875,6.058640371671017
endothelial cell,2525.20751953125,2689.15966796875,2607.18359375,5.971297637181498
non-classical monocyte,2117.24951171875,2126.7451171875,2121.997314453125,5.892882939127471
"CD8-positive, alpha-beta T cell",2704.02783203125,2435.15673828125,2569.59228515625,5.376250842092007
