Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Microglial Cell Activation (GO:0001774),4/20,3.485623108253881e-09,1.3349936504612363e-06,0,0,311.9375,6074.863967903783,C1QA;GRN;TYROBP;AIF1
GO_Biological_Process_2023,Positive Regulation Of Neuron Death (GO:1901216),3/34,5.0165522904334224e-06,0.0007263807565427586,0,0,113.561669829222,1385.7666714337506,C1QA;GRN;TYROBP
GO_Biological_Process_2023,Cell Junction Disassembly (GO:0150146),2/5,9.482777500558208e-06,0.0007263807565427586,0,0,739.8888888888889,8557.579526684436,C1QB;C1QC
GO_Biological_Process_2023,Glycolipid Transport (GO:0046836),2/5,9.482777500558208e-06,0.0007263807565427586,0,0,739.8888888888889,8557.579526684436,NPC2;PSAP
GO_Biological_Process_2023,Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455),2/5,9.482777500558208e-06,0.0007263807565427586,0,0,739.8888888888889,8557.579526684436,C1QB;C1QC
GO_Biological_Process_2023,Synapse Pruning (GO:0098883),2/8,2.650430025143172e-05,0.0016918578327163,0,0,369.8888888888889,3897.964407357134,C1QB;C1QC
GO_Biological_Process_2023,Macrophage Activation Involved In Immune Response (GO:0002281),2/11,5.196871583395421e-05,0.0018361949517414,0,0,246.55555555555551,2432.2381677726335,GRN;TYROBP
GO_Biological_Process_2023,Cellular Response To Thyroid Hormone Stimulus (GO:0097067),2/11,5.196871583395421e-05,0.0018361949517414,0,0,246.55555555555551,2432.2381677726335,CTSS;CTSB
GO_Biological_Process_2023,Neutrophil Activation Involved In Immune Response (GO:0002283),2/11,5.196871583395421e-05,0.0018361949517414,0,0,246.55555555555551,2432.2381677726335,FCER1G;TYROBP
GO_Biological_Process_2023,Positive Regulation Of Interleukin-6 Production (GO:0032755),3/76,5.737834681405649e-05,0.0018361949517414,0,0,48.12328767123287,469.9644989426725,CD74;TYROBP;AIF1
GO_Biological_Process_2023,Proteolysis Involved In Protein Catabolic Process (GO:0051603),3/78,6.201358205717819e-05,0.0018361949517414,0,0,46.83529411764706,453.7476887104782,CTSZ;CTSS;CTSB
GO_Biological_Process_2023,Response To Thyroid Hormone (GO:0097066),2/12,6.232515501994467e-05,0.0018361949517414,0,0,221.88888888888889,2148.58238291385,CTSS;CTSB
GO_Biological_Process_2023,Astrocyte Activation (GO:0048143),2/12,6.232515501994467e-05,0.0018361949517414,0,0,221.88888888888889,2148.58238291385,C1QA;GRN
GO_Biological_Process_2023,B Cell Mediated Immunity (GO:0019724),2/15,9.897575036981038e-05,0.0027076937422598,0,0,170.65811965811966,1573.5763478145914,CD74;FCER1G
GO_Biological_Process_2023,Neutrophil Activation (GO:0042119),2/18,0.00014396293387323563,0.0032434002160852,0,0,138.63888888888889,1226.393330101256,FCER1G;TYROBP
GO_Biological_Process_2023,Myeloid Cell Activation Involved In Immune Response (GO:0002275),2/17,0.0001280437171265482,0.0032434002160852,0,0,147.88888888888889,1325.548639908665,FCER1G;TYROBP
GO_Biological_Process_2023,Protein Catabolic Process (GO:0030163),3/102,0.00013783717764729214,0.0032434002160852,0,0,35.43850267379679,315.0283525400414,CTSZ;CTSS;CTSB
GO_Biological_Process_2023,Regulation Of Interleukin-6 Production (GO:0032675),3/114,0.0001915686685451725,0.0040761555584889,0,0,31.58823529411765,270.4036407129932,CD74;TYROBP;AIF1
GO_Biological_Process_2023,Positive Regulation Of Neuron Apoptotic Process (GO:0043525),2/23,0.0002373444131594564,0.0047843636968458,0,0,105.6031746031746,881.3639106067293,GRN;TYROBP
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production (GO:0001819),4/320,0.0002544719946539349,0.0048731386976228,0,0,15.556962025316457,128.7543923507482,CD74;FCER1G;TYROBP;AIF1
GO_Biological_Process_2023,Positive Regulation Of Peptidase Activity (GO:0010952),2/25,0.00028109904986625353,0.0050234018505044,0,0,96.41062801932368,788.3307567801231,GRN;CTSS
GO_Biological_Process_2023,Synapse Organization (GO:0050808),3/131,0.00028855049794020246,0.0050234018505044,0,0,27.36948529411765,223.07883396526145,C1QB;C1QA;C1QC
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),2/26,0.00030434158117427734,0.005032498095853,0,0,92.38888888888889,748.1060808668657,FCER1G;CTSS
GO_Biological_Process_2023,T Cell Activation Involved In Immune Response (GO:0002286),2/27,0.0003284920428102522,0.005032498095853,0,0,88.68888888888888,711.3733953565135,CD74;FCER1G
GO_Biological_Process_2023,Regulation Of Peptidase Activity (GO:0052547),2/27,0.0003284920428102522,0.005032498095853,0,0,88.68888888888888,711.3733953565135,CTSS;CTSB
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),2/28,0.0003535487787187227,0.0052080454711257,0,0,85.27350427350427,677.710245242856,FCER1G;CTSS
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),2/30,0.00040637445946356223,0.0057644969620201,0,0,79.17460317460318,618.2139479571657,CD74;FCER1G
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),2/31,0.0004341401026524155,0.0059384164041383,0,0,76.44061302681992,591.8141768431133,FCER1G;CTSS
GO_Biological_Process_2023,Positive Regulation Of Response To External Stimulus (GO:0032103),3/155,0.0004724089891016131,0.0062390566491695,0,0,23.020123839009287,176.280406867155,GRN;AIF1;ETS1
GO_Biological_Process_2023,Macrophage Activation (GO:0042116),2/35,0.0005541829397838258,0.0070750688645735,0,0,67.16161616161617,503.57885305588366,C1QA;AIF1
GO_Biological_Process_2023,Regulation Of Chemokine Production (GO:0032642),2/41,0.0007610076105649785,0.0094021262853673,0,0,56.81196581196581,407.9591818331578,CD74;AIF1
GO_Biological_Process_2023,Regulation Of B Cell Proliferation (GO:0030888),2/44,0.0008763666329947344,0.0101711642556661,0,0,52.74603174603175,371.31761233322095,CD74;TYROBP
GO_Biological_Process_2023,Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961),2/44,0.0008763666329947344,0.0101711642556661,0,0,52.74603174603175,371.31761233322095,CD74;RBM47
GO_Biological_Process_2023,Regulation Of Fibroblast Proliferation (GO:0048145),2/46,0.0009576675617417908,0.0104796193184887,0,0,50.343434343434346,349.9377081556704,CD74;FTH1
