Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),8/93,1.9325929816237524e-14,5.275978839832844e-12,0,0,156.0392156862745,4927.301601773486,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),8/158,1.4745526243291885e-12,2.0127643322093423e-10,0,0,88.13333333333334,2400.987005566438,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),8/183,4.830916312848716e-12,4.396133844692332e-10,0,0,75.44761904761904,1965.8620266785515,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23
GO_Biological_Process_2023,Translation (GO:0006412),8/234,3.476172564142752e-11,2.372487775027428e-09,0,0,58.27138643067847,1403.3209068427332,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23
GO_Biological_Process_2023,Gene Expression (GO:0010467),8/296,2.261055640300575e-10,1.2345363796041141e-08,0,0,45.583333333333336,1012.406705262009,RPL32;RPS8;RPS18;RPL37A;RPL35A;RPL37;RPL39;RPS23
GO_Biological_Process_2023,B Cell Activation (GO:0042113),5/92,2.7085609581676593e-08,1.2323952359662848e-06,0,0,76.2183908045977,1328.0493067733955,CD79B;CD79A;MEF2C;BANK1;MS4A1
GO_Biological_Process_2023,B Cell Receptor Signaling Pathway (GO:0050853),4/46,1.1546728254537656e-07,4.5032240192696855e-06,0,0,118.67857142857144,1895.8045656441736,CD79B;CD79A;MEF2C;MS4A1
GO_Biological_Process_2023,B Cell Proliferation (GO:0042100),3/31,3.775486561735298e-06,0.00012883847891921704,0,0,125.74789915966386,1570.2116644461864,CD79A;MEF2C;MS4A1
GO_Biological_Process_2023,Lymphocyte Proliferation (GO:0046651),3/38,7.054141025398755e-06,0.00021397561110376225,0,0,100.56302521008404,1192.8681197467536,CD79A;MEF2C;MS4A1
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),4/134,8.587970710364753e-06,0.00023445160039295776,0,0,38.17307692307692,445.29459530078253,CD79B;CD79A;MEF2C;MS4A1
GO_Biological_Process_2023,B Cell Differentiation (GO:0030183),3/68,4.1113387043807226e-05,0.0010203595148144,0,0,54.067873303167424,546.0410101028511,CD79B;CD79A;MS4A1
GO_Biological_Process_2023,Lymphocyte Differentiation (GO:0030098),3/91,9.821177076997982e-05,0.002234317785017,0,0,39.8903743315508,368.12371156267426,CD79B;CD79A;MS4A1
GO_Biological_Process_2023,Ribonucleoprotein Complex Biogenesis (GO:0022613),3/118,0.00021210055094831673,0.0044541115699146,0,0,30.48337595907928,257.8421143931205,RPS8;RPL35A;RPS23
GO_Biological_Process_2023,Positive Regulation Of B Cell Proliferation (GO:0030890),2/29,0.0003795101348772626,0.0073960151622368,0,0,82.11111111111111,646.758779988934,CD74;MEF2C
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),2/30,0.00040637445946356223,0.0073960151622368,0,0,79.17460317460318,618.2139479571657,CD74;HLA-DQB2
GO_Biological_Process_2023,Ribosome Biogenesis (GO:0042254),3/155,0.0004724089891016131,0.0080604783765462,0,0,23.020123839009287,176.280406867155,RPS8;RPL35A;RPS23
GO_Biological_Process_2023,Positive Regulation Of Neuron Differentiation (GO:0045666),2/42,0.0007985794740225155,0.012824246847538,0,0,55.388888888888886,395.07100210657006,MEF2C;TCF4
GO_Biological_Process_2023,Regulation Of B Cell Proliferation (GO:0030888),2/44,0.0008763666329947344,0.0132915606004201,0,0,52.74603174603175,371.31761233322095,CD74;MEF2C
GO_Biological_Process_2023,Positive Regulation Of B Cell Activation (GO:0050871),2/52,0.00122252374335,0.0175657358912932,0,0,44.28888888888889,297.0383992061624,CD74;MEF2C
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Proliferation (GO:0050671),2/74,0.0024576407666974,0.0335467964654205,0,0,30.72222222222222,184.5961136225927,CD74;MEF2C
GO_Biological_Process_2023,Regulation Of Neuron Differentiation (GO:0045664),2/79,0.0027950276574232,0.0363353595465021,0,0,28.72005772005772,168.87144870732206,MEF2C;TCF4
GO_Biological_Process_2023,Ribosomal Small Subunit Biogenesis (GO:0042274),2/84,0.0031529901666195,0.0391257416130513,0,0,26.962059620596207,155.2853944898215,RPS8;RPS23
GO_Biological_Process_2023,Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050730),2/90,0.0036094335277519,0.0428424066554905,0,0,25.116161616161616,141.25842758872437,CD74;BANK1
GO_Biological_Process_2023,Positive Regulation Of Cardiac Muscle Cell Differentiation (GO:2000727),1/5,0.0049904406959516,0.0504589003701778,0,0,262.8421052631579,1393.123889480945,MEF2C
GO_Biological_Process_2023,Nephron Tubule Development (GO:0072080),1/5,0.0049904406959516,0.0504589003701778,0,0,262.8421052631579,1393.123889480945,MEF2C
