Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,B Cell Activation (GO:0042113),4/92,1.9197360386602072e-06,0.0004876129538196926,0,0,56.51136363636363,743.8773248744081,CD79B;CD79A;BANK1;MS4A1
GO_Biological_Process_2023,Regulation Of Plasma Membrane Repair (GO:1905684),2/5,9.482777500558208e-06,0.0010692489974329,0,0,739.8888888888889,8557.579526684436,ANXA2;S100A10
GO_Biological_Process_2023,B Cell Receptor Signaling Pathway (GO:0050853),3/46,1.262892516653142e-05,0.0010692489974329,0,0,81.82079343365253,922.8993354216932,CD79B;CD79A;MS4A1
GO_Biological_Process_2023,Regulation Of Exocytosis (GO:0017157),3/54,2.0530658518209544e-05,0.0013036968159063,0,0,68.95847750865052,744.3096195574882,FGB;ANXA2;S100A10
GO_Biological_Process_2023,B Cell Differentiation (GO:0030183),3/68,4.1113387043807226e-05,0.0020885600618254,0,0,54.067873303167424,546.0410101028511,CD79B;CD79A;MS4A1
GO_Biological_Process_2023,Positive Regulation Of Secretion By Cell (GO:1903532),3/73,5.0861068971298995e-05,0.0021531185864516,0,0,50.19327731092437,496.2314582905286,FGB;ANXA2;S100A10
GO_Biological_Process_2023,Membrane Raft Organization (GO:0031579),2/14,8.583035665856277e-05,0.0031144157987535,0,0,184.88888888888889,1731.1401456194585,ANXA2;S100A10
GO_Biological_Process_2023,Lymphocyte Differentiation (GO:0030098),3/91,9.821177076997982e-05,0.0031182237219468,0,0,39.8903743315508,368.12371156267426,CD79B;CD79A;MS4A1
GO_Biological_Process_2023,Positive Regulation Of Protein Processing (GO:0010954),2/20,0.00017856345892201654,0.0050394576184658,0,0,123.22222222222224,1063.4775841223657,ANXA2;S100A10
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),3/134,0.00030840217370871873,0.0078334152122014,0,0,26.738661876964525,216.15817338090815,CD79B;CD79A;MS4A1
GO_Biological_Process_2023,B Cell Proliferation (GO:0042100),2/31,0.0004341401026524155,0.0100246896430648,0,0,76.44061302681992,591.8141768431133,CD79A;MS4A1
GO_Biological_Process_2023,Positive Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900026),2/35,0.0005541829397838258,0.0103758743920091,0,0,67.16161616161617,503.57885305588366,FGB;S100A10
GO_Biological_Process_2023,Regulation Of Receptor Internalization (GO:0002090),2/36,0.000586430503116779,0.0103758743920091,0,0,65.18300653594771,485.05650058138406,CD63;ANXA2
GO_Biological_Process_2023,Positive Regulation Of Exocytosis (GO:0045921),2/37,0.0006195695304718364,0.0103758743920091,0,0,63.31746031746032,467.69351055771176,FGB;S100A10
GO_Biological_Process_2023,Lymphocyte Proliferation (GO:0046651),2/38,0.0006535983868982156,0.0103758743920091,0,0,61.55555555555556,451.387965030658,CD79A;MS4A1
GO_Biological_Process_2023,Membrane Assembly (GO:0071709),2/38,0.0006535983868982156,0.0103758743920091,0,0,61.55555555555556,451.387965030658,ANXA2;S100A10
GO_Biological_Process_2023,Positive Regulation Of Receptor-Mediated Endocytosis (GO:0048260),2/43,0.0008370330222898128,0.0125062580977419,0,0,54.03523035230352,382.87456973669936,CD63;ANXA2
GO_Biological_Process_2023,Regulation Of Substrate Adhesion-Dependent Cell Spreading (GO:1900024),2/51,0.0011762077962531,0.0163432121479431,0,0,45.19501133786848,304.8611297728522,FGB;S100A10
GO_Biological_Process_2023,Regulation Of Cell Development (GO:0060284),2/52,0.00122252374335,0.0163432121479431,0,0,44.28888888888889,297.0383992061624,ANXA2;S100A10
GO_Biological_Process_2023,Positive Regulation Of Cell-Substrate Adhesion (GO:0010811),2/71,0.002265165629135,0.0287676034900154,0,0,32.06280193236715,195.26590722566357,FGB;S100A10
GO_Biological_Process_2023,Vesicle Organization (GO:0016050),2/94,0.0039298718288353,0.0475327354535324,0,0,24.019323671497585,133.04659989721253,ANXA2;S100A10
GO_Biological_Process_2023,Cellular Response To Cold (GO:0070417),1/5,0.0049904406959516,0.0487527667989123,0,0,262.8421052631579,1393.123889480945,NFKBIA
GO_Biological_Process_2023,Urea Cycle (GO:0000050),1/5,0.0049904406959516,0.0487527667989123,0,0,262.8421052631579,1393.123889480945,CPS1
GO_Biological_Process_2023,Induction Of Bacterial Agglutination (GO:0043152),1/5,0.0049904406959516,0.0487527667989123,0,0,262.8421052631579,1393.123889480945,FGB
GO_Biological_Process_2023,Negative Regulation Of Amyloid Precursor Protein Biosynthetic Process (GO:0042985),1/5,0.0049904406959516,0.0487527667989123,0,0,262.8421052631579,1393.123889480945,ITM2B
GO_Biological_Process_2023,Positive Regulation Of Vesicle Fusion (GO:0031340),1/5,0.0049904406959516,0.0487527667989123,0,0,262.8421052631579,1393.123889480945,ANXA2
GO_Biological_Process_2023,Cell-Matrix Adhesion (GO:0007160),2/109,0.005244730259552,0.049339314293564,0,0,20.636552440290757,108.3528679492363,FGB;CD63
