Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Retina Homeostasis (GO:0001895),3/39,7.637120838980064e-06,0.0024056930642787,0,0,97.76470588235294,1151.9116576164165,IGKC;B2M;JCHAIN
GO_Biological_Process_2023,Antigen Receptor-Mediated Signaling Pathway (GO:0050851),3/134,0.00030840217370871873,0.0485733423591232,0,0,26.738661876964525,216.15817338090815,IGKC;FYN;SKAP1
GO_Biological_Process_2023,Negative Regulation Of Receptor Binding (GO:1900121),1/9,0.0089657734963174,0.0783018576954147,0,0,131.39473684210526,619.439581424405,B2M
GO_Biological_Process_2023,Myelin Maintenance (GO:0043217),1/9,0.0089657734963174,0.0783018576954147,0,0,131.39473684210526,619.439581424405,CXCR4
GO_Biological_Process_2023,Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632),1/9,0.0089657734963174,0.0783018576954147,0,0,131.39473684210526,619.439581424405,SKAP1
GO_Biological_Process_2023,Positive Regulation Of Integrin Activation (GO:0033625),1/10,0.0099572476243861,0.0783018576954147,0,0,116.78947368421052,538.3357753631753,SKAP1
GO_Biological_Process_2023,Regulation Of Respiratory Burst (GO:0060263),1/10,0.0099572476243861,0.0783018576954147,0,0,116.78947368421052,538.3357753631753,JCHAIN
GO_Biological_Process_2023,Negative Regulation Of Response To Cytokine Stimulus (GO:0060761),1/10,0.0099572476243861,0.0783018576954147,0,0,116.78947368421052,538.3357753631753,IRAK3
GO_Biological_Process_2023,Positive Regulation Of Cellular Senescence (GO:2000774),1/10,0.0099572476243861,0.0783018576954147,0,0,116.78947368421052,538.3357753631753,B2M
GO_Biological_Process_2023,Regulation Of Calcium Ion Import Across Plasma Membrane (GO:1905664),1/10,0.0099572476243861,0.0783018576954147,0,0,116.78947368421052,538.3357753631753,FYN
GO_Biological_Process_2023,snRNA Transcription By RNA Polymerase II (GO:0042795),1/10,0.0099572476243861,0.0783018576954147,0,0,116.78947368421052,538.3357753631753,ELL2
GO_Biological_Process_2023,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),2/152,0.0099664642884558,0.0783018576954147,0,0,14.688888888888888,67.69417619445412,IRAK3;S100A8
GO_Biological_Process_2023,Response To Lipopolysaccharide (GO:0032496),2/159,0.0108632827727134,0.0783018576954147,0,0,14.02901627742392,63.44435645442206,IRAK3;S100A8
GO_Biological_Process_2023,Melanocyte Differentiation (GO:0030318),1/11,0.0109477797028559,0.0783018576954147,0,0,105.10526315789474,474.5101770765117,LRMDA
GO_Biological_Process_2023,Negative Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903427),1/11,0.0109477797028559,0.0783018576954147,0,0,105.10526315789474,474.5101770765117,FYN
GO_Biological_Process_2023,Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903037),1/11,0.0109477797028559,0.0783018576954147,0,0,105.10526315789474,474.5101770765117,SKAP1
GO_Biological_Process_2023,Cellular Component Maintenance (GO:0043954),1/12,0.0119373705403343,0.0783018576954147,0,0,95.54545454545456,423.0830518492731,FYN
